	ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)	CLUSTER	PREPROCESSED_SENTENCE
S29-PMC1852384	PMC1852384	1/2007	S29-PMC1852384	['over time, ADDITIONAL preoperative STUDIES, including serum Insulin, iron, ferritin, Vitamin B12, 25-Oh Vitamin D, and Thiamine (Vitamin B1) were added.rygb was performed in a standard fashion with the following common elements: (1) open technique; (2) 20–30\xa0ml pouch, nondivided Stomach, ta 90b (us surgical, norwalk, ct, usa) applied twice; (3) hand-sewn two-layer retrocolic, Antegastric Gastrojejunostomy, 12\xa0mm in length, tested with Methylene Blue under pressure intraoperatively; (4) side-to-side, functional end-to-end Jejunojejunostomy with dispsable Gia (us surgical) or lc (ethicon endosurgery, sommerville, nj, usa) 75\xa0mm staplers, and ta55 (us surgical) or Tx 60 (ethicon endosurgery) staplers and routinely oversewn with 3–0 silk lembert Sutures.']	[('FUTURE_WORK', 11), ('FUTURE_WORK', 35)]	2	[('PR_000045358', 'insulin family protein', 60, 'insulin'), ('CHEBI_33279', 'vitamin D5', 85, 'vitamin B12'), ('PR_000004481', 'V-type proton ATPase subunit B, kidney isoform', 85, 'vitamin B12'), ('CHEBI_86198', '1,2-di-[(11Z)-eicosenoyl]-sn-glycero-3-phosphocholine', 98, '25-OH'), ('CHEBI_27300', 'vitamin D', 104, 'vitamin D'), ('CHEBI_26948', 'vitamin B1', 119, 'thiamine'), ('PR_000004483', 'V-type proton ATPase subunit C 1', 129, 'vitamin B1'), ('UBERON_0000945', 'stomach', 280, 'stomach'), ('UBERON_0008960', 'melon organ', 379, 'antegastric'), ('UBERON_0003487', 'skin sebaceous gland', 391, 'gastrojejunostomy'), ('CHEBI_6872', 'methylene blue', 439, 'methylene blue'), ('UBERON_0003655', 'molar tooth', 527, 'jejunojejunostomy'), ('UBERON_0003631', 'pedal digit 1', 560, 'GIA'), ('CHEBI_9750', 'Triton X-100', 670, 'TX'), ('UBERON_4200215', 'suture', 752, 'sutures')]	0	['time, preoperative studies, serum iron, ferritin, vitamin b12, 25-oh thiamine (vitamin b1) added.rygb fashion following elements: (1) technique; (2) 20–30\xa0ml pouch, nondivided stomach, ta 90b (us surgical, norwalk, ct, usa) twice; (3) hand-sewn two-layer retrocolic, antegastric gastrojejunostomy, 12\xa0mm length, methylene blue pressure intraoperatively; (4) side-to-side, functional end-to-end jejunojejunostomy dispsable gia (us surgical) lc (ethicon endosurgery, sommerville, nj, usa) 75\xa0mm staplers, ta55 (us surgical) tx 60 (ethicon endosurgery) staplers routinely oversewn 3–0 silk lembert sutures.']
S15-PMC2582131	PMC2582131	11/2008	S15-PMC2582131	['for instance, in both Animal and Human studies, Vitamin D depletion was significantly RELATED to Insulin resistance and impaired Insulin secretion.']	[('SUPERFICIAL_RELATIONSHIP', 86)]	1	[('NCBITaxon_33208', 'Metazoa', 22, 'animal'), ('NCBITaxon_9606', 'Homo sapiens', 33, 'human'), ('CHEBI_27300', 'vitamin D', 48, 'vitamin D'), ('PR_000045358', 'insulin family protein', 97, 'insulin'), ('PR_000045358', 'insulin family protein', 129, 'insulin')]	0	['instance, animal human studies,  depletion  resistance  secretion.']
S90-PMC2582131	PMC2582131	11/2008	S90-PMC2582131	['second, Vitamin D CAN promote Insulin sensitivity by stimulating the Expression of Insulin receptors and enhancing Insulin responsiveness for Glucose transport.']	[('INCOMPLETE_EVIDENCE', 18)]	1	[('CHEBI_27300', 'vitamin D', 8, 'vitamin D'), ('PR_000045358', 'insulin family protein', 30, 'insulin'), ('GO_0010467', 'gene expression', 69, 'expression'), ('PR_000045358', 'insulin family protein', 83, 'insulin'), ('PR_000045358', 'insulin family protein', 115, 'insulin'), ('CHEBI_17234', 'glucose', 142, 'glucose')]	0	['second,   sensitivity expression  receptors  responsiveness glucose transport.']
S93-PMC2582131	PMC2582131	11/2008	S93-PMC2582131	['for instance, Endogenous Production Of Vitamin D In the Skin due to sun exposure is a MAJOR source of Plasma 25-[Oh] D. sun exposure could be positively CORRELATED with outdoor physical activity, a PROTECTIVE FACTOR for Insulin resistance and gdm[32]–[34].']	[('IMPORTANT_CONSIDERATION', 86), ('SUPERFICIAL_RELATIONSHIP', 153), ('SUPERFICIAL_RELATIONSHIP', 198)]	3	[('GO_0009790', 'embryo development', 14, 'endogenous'), ('GO_1902907', 'proteasome storage granule disassembly', 25, 'production of vitamin D in ... skin'), ('CHEBI_27300', 'vitamin D', 39, 'vitamin D'), ('UBERON_0001969', 'blood plasma', 102, 'plasma'), ('CHEBI_34300', '2-naphthoyl-CoA', 109, '25-[OH] D'), ('PR_000045358', 'insulin family protein', 220, 'insulin')]	0	['instance, endogenous production  skin sun exposure plasma 25-[oh] d. sun exposure positively outdoor physical activity,  resistance gdm[32]–[34].']
S115-PMC2582131	PMC2582131	11/2008	S115-PMC2582131	['longitudinal STUDIES with serial measurements of maternal Plasma 25-[Oh] D concentrations, indices of Insulin sensitivity and secretion ARE NEEDED to ELUCIDATE the mechanisms and patho-physiological consequences of maternal Vitamin D deficiency during Pregnancy.']	[('FUTURE_WORK', 13), ('FUTURE_WORK', 136), ('FUTURE_WORK', 150)]	3	[('UBERON_0001969', 'blood plasma', 58, 'plasma'), ('CHEBI_34300', '2-naphthoyl-CoA', 65, '25-[OH] D'), ('PR_000045358', 'insulin family protein', 102, 'insulin'), ('CHEBI_27300', 'vitamin D', 224, 'vitamin D'), ('GO_0007565', 'female pregnancy', 252, 'pregnancy')]	0	['longitudinal serial measurements maternal plasma 25-[oh] concentrations, indices  sensitivity secretion mechanisms patho-physiological maternal  pregnancy.']
S118-PMC2582131	PMC2582131	11/2008	S118-PMC2582131	['HOWEVER, DUE TO the PREDISPOSITION of asian, black, and hispanic women for Insulin resistance and Vitamin D deficiency, IT IS POSSIBLE that adequate Vitamin D status MAY BE even more IMPORTANT in these populations.']	[('ALTERNATIVE_OPTIONS_CONTROVERSY', 0), ('PROBLEM_COMPLICATION', 9), ('SUPERFICIAL_RELATIONSHIP', 20), ('INCOMPLETE_EVIDENCE', 120), ('INCOMPLETE_EVIDENCE', 166), ('IMPORTANT_CONSIDERATION', 183)]	6	[('PR_000045358', 'insulin family protein', 75, 'insulin'), ('CHEBI_27300', 'vitamin D', 98, 'vitamin D'), ('CHEBI_27300', 'vitamin D', 149, 'vitamin D')]	0	['however, asian, black, hispanic women  resistance  deficiency,  status populations.']
S128-PMC2873552	PMC2873552	4/2010	S128-PMC2873552	"['[""""caption (table-wrap): table 2\\n\\nfunctions and diseases related to both ceu and yri Signaturesceuyri diabetes 1.70e-172.70e-20 Coronary Artery disease 3.78e-173.12e-13 Genetic disorder 1.09e-144.53e-14 Cardiovascular disease 1.34e-144.78e-11 non-Insulin-dependent diabetes mellitus 1.03e-128.66e-15 Endocrine System disorder 1.91e-121.25e-18 hypertension 2.13e-122.83e-11 Neurological disorder 2.49e-123.27e-12 crohn\'s disease 7.59e-127.25e-09 bipolar affective disease 3.50e-115.24e-09 Metabolic disorder 5.66e-119.83e-16 inflammatory disorder 2.56e-091.08e-08 Digestive System disorder 2.66e-091.31e-07 Skeletal and muscular disorder 1.49e-081.58e-08 progressive motor neuropathy 2.53e-085.59e-12 Autoimmune disease 7.28e-081.09e-12 immunological disorder 2.46e-073.66e-13 rheumatoid arthritis 3.78e-072.54e-07 shape change of Epithelial Cells 8.86e-07 alzheimer\'s disease 3.60e-062.27e-07 parkinson\'s disease 7.24e-065.29e-06 shape change of Dermal Cells 9.33e-06 Insulin-dependent diabetes mellitus 3.76e-15 neuropathy 5.38e-12 amyotrophic lateral sclerosis 1.36e-09 arthritis 1.44e-07\\n\\nVitamin D HYPOTHESIS\\nan INTERESTING HYPOTHESIS HAS BEEN PROPOSED by mcgrace [28] claiming that low Prenatal Vitamin D increases the risk of a wide range of diseases such as multiple sclerosis, diabetes, schizophrenia, Prostate cancer, Breast cancer and Colorectal cancer because of its versatile function in normal development.""""]']"	[('INCOMPLETE_EVIDENCE', 1099), ('ANOMALY_CURIOUS_FINDING', 1113), ('INCOMPLETE_EVIDENCE', 1125), ('INCOMPLETE_EVIDENCE', 1136), ('INCOMPLETE_EVIDENCE', 1145)]	5	[('GO_0036367', 'light adaption', 82, 'signaturesCEUYRI'), ('UBERON_0001621', 'coronary artery', 125, 'Coronary artery'), ('SO_0000704', 'gene', 166, 'Genetic'), ('UBERON_0004535', 'cardiovascular system', 200, 'Cardiovascular'), ('PR_000045358', 'insulin family protein', 244, 'insulin'), ('UBERON_0000949', 'endocrine system', 297, 'Endocrine system'), ('UBERON_0001016', 'nervous system', 370, 'Neurological'), ('GO_0008152', 'metabolic process', 485, 'Metabolic'), ('UBERON_0004854', 'gastrointestinal system mesentery', 560, 'Digestive system'), ('UBERON_0004288', 'skeleton', 603, 'Skeletal'), ('UBERON_0005445', 'segment of pes', 697, 'Autoimmune'), ('CL_0000066', 'epithelial cell', 827, 'epithelial cells'), ('UBERON_0000483', 'epithelium', 827, 'epithelial'), ('CL_0000346', 'hair follicle dermal papilla cell', 943, 'dermal cells'), ('PR_000045358', 'insulin family protein', 965, 'Insulin'), ('CHEBI_28384', 'vitamin K', 1089, 'Vitamin D'), ('GO_0007565', 'female pregnancy', 1188, 'prenatal'), ('CHEBI_27300', 'vitamin D', 1197, 'vitamin D'), ('UBERON_0002367', 'prostate gland', 1307, 'prostate'), ('UBERON_0000310', 'breast', 1324, 'breast'), ('UBERON_0012652', 'colorectum', 1342, 'colorectal')]	0	"['[""""caption (table-wrap): table 2\\n\\nfunctions diseases ceu yri signaturesceuyri diabetes 1.70e-172.70e-20 coronary artery disease 3.78e-173.12e-13 genetic disorder 1.09e-144.53e-14 cardiovascular disease 1.34e-144.78e-11sulin-dependent diabetes mellitus 1.03e-128.66e-15 endocrine system disorder 1.91e-121.25e-18 hypertension 2.13e-122.83e-11 neurological disorder 2.49e-123.27e-12 crohn*s disease 7.59e-127.25e-09 bipolar disease 3.50e-115.24e-09 metabolic disorder 5.66e-119.83e-16 inflammatory disorder 2.56e-091.08e-08 digestive system disorder 2.66e-091.31e-07 skeletal muscular disorder 1.49e-081.58e-08 progressive motor neuropathy 2.53e-085.59e-12 autoimmune disease 7.28e-081.09e-12 immunological disorder 2.46e-073.66e-13 rheumatoid arthritis 3.78e-072.54e-07 epithelial cells 8.86e-07 alzheimer*s disease 3.60e-062.27e-07 parkinson*s disease 7.24e-065.29e-06 dermal cells 9.33sulin-dependent diabetes mellitus 3.76e-15 neuropathy 5.38e-12 amyotrophic lateral sclerosis 1.36e-09 arthritis 1.44e-07\\n\\nvitamin hypothesis\\nan mcgrace [28] pitamin diseases sclerosis, diabetes, schizophrenia, prostate cancer, breast cancer colorectal cancer versatile normal development.""""]']"
S16-PMC3004407	PMC3004407	12/2010	S16-PMC3004407	['RATHER, Vitamin D is now seen as a preprohormone whose active Metabolites act not only to ensure Calcium Homeostasis and bone health [5] but also act as mediators of Immune function in general [6,7], and specific to Pregnancy, play a ROLE in Immune tolerance, Insulin resistance, and Preeclampsia [8–12].']	[('ALTERNATIVE_OPTIONS_CONTROVERSY', 0), ('SUPERFICIAL_RELATIONSHIP', 234)]	2	[('CHEBI_27300', 'vitamin D', 8, 'vitamin D'), ('CHEBI_25212', 'metabolite', 62, 'metabolites'), ('GO_0055073', 'cadmium ion homeostasis', 97, 'calcium homeostasis'), ('UBERON_0002405', 'immune system', 166, 'immune'), ('GO_0007565', 'female pregnancy', 216, 'pregnancy'), ('UBERON_0002405', 'immune system', 242, 'immune'), ('PR_000045358', 'insulin family protein', 260, 'insulin'), ('GO_0007128', 'meiotic prophase I', 284, 'preeclampsia')]	0	['rather,  preprohormone whose metabolites ensure calcium homeostasis bone [5] immune [6,7], pregnancy, play immune tolerance,  resistance, preeclampsia [8–12].']
S155-PMC3366611	PMC3366611	4/2012	S155-PMC3366611	['a modest negative ASSOCIATION between maternal bmi and diet quality HAS BEEN IDENTIFIED [131], and obesity is ASSOCIATED with lower levels of Vitamin D [132] and Folic Acid levels during the Childbearing years [133], which MAY increase the risk of Insulin resistance and Neural Tube defects, respectively [134].']	[('SUPERFICIAL_RELATIONSHIP', 18), ('INCOMPLETE_EVIDENCE', 68), ('INCOMPLETE_EVIDENCE', 77), ('SUPERFICIAL_RELATIONSHIP', 110), ('INCOMPLETE_EVIDENCE', 223)]	5	[('CHEBI_27300', 'vitamin D', 142, 'vitamin D'), ('CHEBI_30751', 'formic acid', 162, 'folic acid'), ('GO_0007129', 'homologous chromosome pairing at meiosis', 191, 'childbearing'), ('PR_000045358', 'insulin family protein', 248, 'insulin'), ('UBERON_0001049', 'neural tube', 271, 'neural tube')]	0	['maternal bmi diet [131], obesity levels  [132] folic acid levels childbearing [133], increase  resistance neural tube defects, respectively [134].']
S14-PMC3427192	PMC3427192	4/2012	S14-PMC3427192	['Vitamin D overview\nVitamin D, a fat-soluble Nutrient, is a Secosteroid Hormone which is widely recognized as a modulator of calcium absorption and bone health and further Regulates Neuromuscular function, Cellular Differentiation, Insulin secretion, and Blood pressure.25,26vitamin D also plays an IMPORTANT ROLE in Immune Regulation through interactions between 1,25-Dihydroxyvitamin D and Vitamin D receptors ( vdrs ) .']	[('IMPORTANT_CONSIDERATION', 298), ('SUPERFICIAL_RELATIONSHIP', 308)]	2	[('CHEBI_28384', 'vitamin K', 0, 'Vitamin D'), ('PR_000017319', 'vacuolar protein sorting-associated protein 13A', 0, 'Vitamin'), ('CHEBI_28384', 'vitamin K', 19, 'Vitamin D'), ('CHEBI_33284', 'nutrient', 44, 'nutrient'), ('CHEBI_26661', 'shidasterone', 59, 'secosteroid hormone'), ('GO_0065007', 'biological regulation', 171, 'regulates'), ('UBERON_0001016', 'nervous system', 181, 'neuromuscular'), ('GO_0030154', 'cell differentiation', 205, 'cellular differentiation'), ('PR_000045358', 'insulin family protein', 231, 'insulin'), ('UBERON_0000178', 'blood', 254, 'blood'), ('PR_000006444', 'diacylglycerol kinase delta', 282, 'D'), ('UBERON_0002405', 'immune system', 316, 'immune'), ('GO_0065007', 'biological regulation', 323, 'regulation'), ('CHEBI_67472', '15-epi-lupulin B', 363, '1,25-dihydroxyvitamin D'), ('CHEBI_27300', 'vitamin D', 391, 'vitamin D')]	0	['vitamin overview\nvitamin d, fat-soluble nutrient, secosteroid hormone modulator calcium absorption bone neuromuscular function, cellular differentiation,  secretion, blood pressure.25,26vitamin plays immune 1,25-dihydroxyvitamin  receptors vdrs .']
