	ARTICLE	ARTICLE DATE	NUM SENTENCES
12	PMC3427250	8/2012	7
18	PMC4113768	7/2014	6
0	PMC2290997	4/2008	3
40	PMC5685050	10/2014	3
32	PMC5084041	10/2016	3
28	PMC4944244	7/2016	3
17	PMC3873449	12/2013	3
10	PMC3356951	4/2012	2
27	PMC4934634	11/2015	2
14	PMC3672018	5/2013	2
43	PMC6011374	6/2018	2
5	PMC3103150	3/2011	2
4	PMC3075531	7/2010	1
42	PMC5956785	5/2018	1
41	PMC5941617	5/2018	1
2	PMC2821652	2/2010	1
39	PMC5539754	8/2017	1
38	PMC5489519	6/2017	1
37	PMC5474873	6/2017	1
36	PMC5418719	5/2017	1
35	PMC5310660	1/2017	1
34	PMC5223368	12/2016	1
33	PMC5085625	9/2016	1
3	PMC3004407	12/2010	1
31	PMC5028238	10/2016	1
30	PMC4989298	8/2016	1
29	PMC4971719	8/2016	1
11	PMC3427192	4/2012	1
9	PMC3348565	4/2012	1
26	PMC4910255	6/2016	1
25	PMC4896250	4/2016	1
24	PMC4864049	1/2016	1
23	PMC4719746	1/2016	1
1	PMC2685863	5/2009	1
21	PMC4303849	1/2015	1
20	PMC4188019	1/2010	1
19	PMC4169453	9/2014	1
6	PMC3257641	3/2010	1
7	PMC3271033	1/2012	1
16	PMC3827489	10/2013	1
15	PMC3702245	6/2013	1
8	PMC3347028	3/2012	1
13	PMC3476426	8/2012	1
22	PMC4417995	4/2015	1
