	IGNORANCE CATEGORY	ARTICLE	CUE SPAN	CUE	SENTENCE	SENTENCE SPAN
0	full_unknown	BMJ_2008_Nov_7_337_a2001	[(4234, 4236), (4246, 4254)]	no ... policies	['The only antenatal supplement promoted by the Ministry of Health in China is folic acid to prevent congenital neural tube defects.11There are no specific policies or programmes for the distribution of multiple micronutrient or iron-folic acid supplements during pregnancy, even to disadvantaged women.']	(4092, 4393)
1	full_unknown	BMJ_2008_Nov_7_337_a2001	[(9474, 9490)]	Newly identified	['Newly identified pregnant women were interviewed to record their sociodemographic status and their menstrual, reproductive, medical, and family history.']	(9474, 9626)
237	full_unknown	BMJ_2010_Apr_29_340_c1640	[(4010, 4017)]	not yet	['This evidence comes from both case-control and cohort studies and indicates that age of operation for such a protective effect might include both childhood and early adulthood.67891011\nExposure to ultraviolet radiation in early life has not yet been formally examined but might be linked to excess risk of multiple sclerosis at birth through seasonal deficiency in maternal vitamin D concentrations.12A study of half siblings with multiple sclerosis has also shown that risk can be maternally mediated.13Pregnancy is a vulnerable time for vitamin D deficiency because of increased physiological needs and reduced maternal outdoor activity.14Experimental data on animal fetal development indicate that cerebral white matter is responsive to vitamin D and that oligodendrocytes in the brain and spinal cord have vitamin D receptors.1516Furthermore, maternal vitamin D depletion alters neurogenesis in the developing rat brain,17with subsequent altered gene expression in adult life.18A recent genetic study in humans has further implicated vitamin D as a strong environmental candidate by showing direct functional interaction with the major locus that determines susceptibility to multiple sclerosis.19Although human evidence pertaining to fetal development has been difficult to obtain, the body of related evidence to date has led some to recommend antenatal supplementation with vitamin D to prevent multiple sclerosis.14\nAs an indicator of possible perinatal environmental exposures, such as ultraviolet radiation, individual studies in the northern hemisphere have examined month of birth and risk of multiple sclerosis with varied results.2021222324A large recent pooled analysis of births in the northern hemisphere, however, showed an excess of multiple sclerosis among people born in May and a relative deficit among those born in November; these results were stronger in familial cases and suggested interactions between genes and environment that are related to climate and that might act during gestation or shortly after birth.12We examined month of birth and risk of multiple sclerosis in Australia.']	(3773, 5885)
238	full_unknown	BMJ_2010_Apr_29_340_c1640	[(26569, 26584)]	remains unknown	['By the time of delivery, maternal and infant cord serum 25-hydroxyvitamin D3concentrations are highly correlated.37Unfortunately, much remains unknown, leading to large international variations in maternal vitamin D monitoring and supplementation during pregnancy.353839\nA maternal effect operating antenatally would also be consistent with the stronger maternal than paternal “parent of origin” effect in familial multiple sclerosis.1340It has been previously proposed14that maternal vitamin D deficiency, a problem for some dark skinned women migrating to regions with low ambient ultraviolet radiation, such as the UK, might explain the increase in incidence of disease seen among second generation migrants in such locations.41Our findings are consistent with this explanation.']	(26434, 27215)
652	full_unknown	BMJ_2012_Jan_30_344_e184	[(26633, 26642)]	not known	['However, the allergy outcomes from this trial were obtained through linkage to a national registry of doctors’ visits.17The expected event rates in Olsen et al were low, and whether diagnoses were made according to standard definitions is not known.17The planned allergy assessments of the children in our study at 3 and 6 years of age will be important in documenting the progression of allergic disease and whether n-3 LCPUFA supplementation during pregnancy has long term effects.']	(26394, 26877)
1061	full_unknown	BMJ_2014_Feb_10_348_g1285	[(4445, 4469)]	remains to be determined	['While meta-analyses indicate that interventions seem effective in limiting gestational weight gain, the effect on maternal and perinatal outcomes, which have been under-reported, remains to be determined.171819\nWe conducted a randomised trial to evaluate whether provision of antenatal lifestyle advice to overweight or obese pregnant women was effective in improving maternal and infant health outcomes.']	(4266, 4670)
1062	full_unknown	BMJ_2014_Feb_10_348_g1285	[(13752, 13763)]	unexplained	['There were 10 stillborn infants (two from placental abruption, one from severe intrauterine growth restriction, one from acute chorioamnionitis, and one from motor vehicle collision in lifestyle advice group; and two from placental insufficiency, one from obstetric cholestasis, and two unexplained in standard care group) and two neonatal deaths (excluding lethal congenital anomalies) from complications of extreme prematurity, one in each group.']	(13465, 13913)
1063	full_unknown	BMJ_2014_Feb_10_348_g1285	[(27666, 27690)]	remains to be determined	['It is difficult, however, to separate the relative contribution of each of these components, with maternal deposition of adipose tissue likely to have the greatest causal impact in terms of both short term pregnancy related outcomes and the longer term health of the child.30\nWhile the effect of any changes in maternal dietary intake, including specific nutritional components, and physical activity on in utero growth remains to be determined, observational studies suggest that consumption of a diet high in polyunsaturated fatty acids is associated with reduced early childhood adiposity as measured by skinfold thickness31and predictive of fat mass determined by DEXA at ages 4 and 6 years.32Together, these findings highlight the potential impact of relatively modest changes in the quality of maternal diet on in utero growth and future childhood adiposity.']	(27246, 28110)
1064	full_unknown	BMJ_2014_Feb_10_348_g1285	[(31924, 31948)]	remains to be determined	['Alternate approaches might entail the use of drugs, including metformin, which is currently being evaluated.4243\n\nWhat is already known on this topic\nOverweight and obesity is common during pregnancy\nIncreasing maternal BMI and high gestational weight gain are both associated with an increased risk of complications during pregnancy and childbirth\nSystematic reviews have indicated that while antenatal dietary and lifestyle interventions seem effective in limiting gestational weight gain, the effect on clinically relevant outcomes remains to be determined\n\nWhat this study adds\nThe findings of this randomised trial indicate that providing a dietary and lifestyle intervention to pregnant women who are overweight or obese was not associated with a reduction in the incidence of infants born large for gestational age or in improving maternal pregnancy and birth outcomes\n\nPubMed Central:']	(31389, 32281)
1263	full_unknown	PMC1074510	[(17869, 17881)]	There was no	['There was no obvious difference in the prevalence of maternal diseases and drug uses between the two study groups.']	(17869, 17983)
1692	full_unknown	PMC1168874	[(3197, 3199), (3212, 3216)]	no ... data	['There is no appropriate data for drugs in category C. The definition of category D is as follows: “There is positive evidence of human fetal risk, but the benefits from use in pregnant women may be acceptable despite the risk” (e.g.']	(3188, 3420)
1693	full_unknown	PMC1168874	[(26752, 26755)]	new	['According to the estimation of the WHO expert committee about one-third of major CAs are preventable by this new primary preventive method.']	(26643, 26782)
2082	full_unknown	PMC1182379	[(7248, 7257)]	uncertain	['Considerable progress has been made over the last 30 years, but insufficient interest by vaccine manufacturers (Stanley Plotkin, personal communication) and technical challenges make it is uncertain when a vaccine will become available [24].']	(7059, 7300)
2444	full_unknown	PMC1184067	[(10913, 10920)]	unknown	['Sixteen letters were returned because of unknown addresses.']	(10872, 10931)
2445	full_unknown	PMC1184067	[(19005, 19013)]	not know	['As the MHLW only recently recommended folic acid supplementation to reproductive-aged women,[15] it is not too surprising that many FP/GPs do not know the importance of folic acid and few provide this care.']	(18863, 19069)
2940	full_unknown	PMC1247491	[(1640, 1647)]	unknown	['While there’s no doubt that EMTI is related to poor fetal outcomes, the follow-up data on child development are only available until 5–6 years of age, so it’s still unknown whether these developmental delays persist over the long term, said Victor Pop, a professor in the Department of Clinical Health Psychology at Tilburg University, Netherlands, whose landmark study on EMTI was published in the February 1999 issue of Clinical Endocrinology .']	(1475, 1921)
2941	full_unknown	PMC1247491	[(3716, 3729)]	not yet known	['“While it is not yet known whether early identification and treatment of thyroid deficiency will avoid fetal death and neuropsychological deficits in the offspring, it is clear that women themselves will benefit,” said James Haddow, medical director of the Foundation for Blood Research in Scarborough, Maine.']	(3703, 4012)
3009	full_unknown	PMC1247630	[(810, 841)]	has not been rigorously studied	['The effect of maternal diet on child leukemia risk has not been rigorously studied; the few studies that have been done have focused on specific dietary factors, and the results have been mixed.']	(759, 953)
3045	full_unknown	PMC1252725	[(7938, 7950)]	not recorded	['The personal data of controls are not recorded in the HCCSCA.']	(7904, 7965)
3046	full_unknown	PMC1252725	[(11908, 11920)]	There was no	['There was no obvious difference in the proportion of unmarried women and in the distribution of employment status between case and control mothers with infusion.']	(11908, 12069)
3047	full_unknown	PMC1252725	[(13065, 13078)]	not evaluated	['Mothers with surgical interventions are not evaluated here because these pregnant women were evaluated previously (10).']	(13025, 13144)
3213	full_unknown	PMC1280409	[(1046, 1053)]	unknown	['Schizophrenia and schizophrenia spectrum disorders (SSDs) are mental illnesses of unknown etiology, typically diagnosed in adolescence or adulthood.']	(964, 1112)
3509	full_unknown	PMC1281283	[(3273, 3288)]	remains unclear	['The net effect of the beneficial nutrients and harmful contaminants contained within fish has not been well studied and remains unclear (Chapman and Chan 2000).']	(3153, 3313)
3510	full_unknown	PMC1281283	[(9984, 9989)]	novel	['In the testing phase, the infant was presented with the previously seen photo simultaneously with a novel photo of another infant’s face.']	(9884, 10021)
3511	full_unknown	PMC1281283	[(10261, 10266)]	novel	['The computer then calculated a novelty preference, the percentage of the total test time that the infant spent looking at the novel stimulus.']	(10135, 10276)
3512	full_unknown	PMC1281283	[(10800, 10805)]	novel	['This test reflects the infant’s ability to encode a stimulus into memory, to recognize that stimulus, and to look preferentially at a novel stimulus (McCall and Carriger 1993), and is correlated with later IQ (Rose and Feldman 1995;Rose et al.']	(10666, 10909)
3513	full_unknown	PMC1281283	[(19763, 19769), (19791, 19800)]	Little ... available	['Little information has been available about the balance of risk and benefit for fish consumption.']	(19763, 19860)
3514	full_unknown	PMC1281283	[(22473, 22480)]	unclear	['A recently updated federal advisory reiterated health warnings while encouraging women to consume up to two seafood meals per week (U.S. Department of Health and Human Services 2004), but it is unclear to what extent women understand the details of the health message or simply hear that seafood contains mercury and therefore is harmful.']	(22279, 22617)
3756	full_unknown	PMC1281295	[(4802, 4807)]	novel	['In this article we first examine the rationale and methods of exposure data collection in the population studies and then review the substantial challenges associated with the analysis of pesticides in novel and complex matrices, and the interpretation of these analytical findings.']	(4600, 4882)
3757	full_unknown	PMC1281295	[(13089, 13098)]	not clear	['It is not clear whether the lack of strong associations is due to confounding factors (e.g., dietary exposure), to variability in the biologic measurements (including toxicokinetic considerations (discussed below), or to a relatively weak link between residential contamination and child exposures.']	(13083, 13381)
3758	full_unknown	PMC1281295	[(13498, 13505)]	not yet	['Environmental monitoring in these studies has focused almost exclusively on the home or residential setting and has not yet been extended to child care centers and schools.']	(13382, 13554)
3759	full_unknown	PMC1281295	[(29244, 29253)]	not clear	['It is not clear that these techniques provide an adequate or appropriate saliva sample for pesticide analysis.']	(29238, 29348)
3760	full_unknown	PMC1281295	[(39787, 39807)]	not been established	['Environmental measurements, such as surface wipes and indoor air or house dust samples, can characterize residential pesticide contamination, but their validity for exposure classification has not been established.']	(39594, 39808)
3761	full_unknown	PMC1281295	[(41703, 41708)]	novel	['Substantial resources will be needed for validation of existing methods, support of novel methods, and enhancement of analytical capabilities.']	(41619, 41761)
4188	full_unknown	PMC1361787	[(3994, 4014)]	yet to be determined	['The validity of FFQs for assessing dietary intake among pregnant women of other racial/ethnic backgrounds has yet to be determined.']	(3884, 4015)
4391	full_unknown	PMC1409785	[(12195, 12197), (12208, 12212)]	no ... data	['There is no empirical data to justify this and health care workers need to be persuaded to do away with all wrongly-held traditional beliefs that may affect sound judgment and appropriate discharge of their duties.']	(12186, 12400)
4392	full_unknown	PMC1409785	[(14632, 14646)]	knowledge gaps	['Conclusion\nWe conclude therefore that knowledge gaps exist among primary health care workers in our locality concerning neonatal jaundice and its management, and we recommend that regular training workshops or seminars be conducted to bridge these gaps.']	(14594, 14847)
4517	full_unknown	PMC1448690	[(12798, 12809)]	unexplained	['Differences related to gender and birth order thus remain unexplained.']	(12740, 12810)
4518	full_unknown	PMC1448690	[(22468, 22477)]	not clear	['Whether the mechanism is aerosolized exposure, for example, from animal dung, or increased exposure to Gram-negative organisms and their products in food, is not clear.']	(22310, 22478)
4519	full_unknown	PMC1448690	[(37720, 37722), (37728, 37737)]	no ... available	['Although it is generally accepted that, in the US and Europe, helminth infections have steadily declined [103] there is no data available to show whether there might be a temporal trend suggesting a link between reductions in helminth infections and the rise in atopy in the developed world.']	(37600, 37891)
4520	full_unknown	PMC1448690	[(39970, 39972), (39983, 39987)]	no ... data	['Since foods are only controlled for pathogens, there are no available data to indicate what trends might have occurred in the broad microbial content of our diet during the period critical for the rise in atopy.']	(39913, 40124)
4521	full_unknown	PMC1448690	[(49269, 49283)]	remain unclear	['This is not yet a widely held view, since the biological mechanisms remain unclear [171].']	(49201, 49290)
4522	full_unknown	PMC1448690	[(82441, 82449)]	whatever	['Data published since the 1980s, as reviewed in this paper, show that our modern homes, whatever their visual appearance, still abound with a rich mixture of bacteria, viruses, fungi and moulds, as well as dust mites and other insects, and that our opportunities for exposure to these are quite likely to have increased rather than decreased, since a rising proportion of time is spent indoors [5].']	(82354, 82751)
4523	full_unknown	PMC1448690	[(86418, 86425)]	no data	['For example, changes must have occurred in the non-pathogenic microbial flora of water or foods consequent on changing technologies of water purification and food production etc, but as food and water is only routinely monitored for pathogen content there are no data to show what these trends might have been.']	(86158, 86468)
4524	full_unknown	PMC1448690	[(95624, 95632)]	Whatever	['Whatever the reality regarding atopy and microbial exposure, ‘targeted hygiene’ with its emphasis on selective hygiene intervention when and where risks of infection are greatest makes sense on its own merits because it seeks to maximize protection against the harmful effects of ID, while retaining the beneficial effects which microbes may have on our human and natural environment.']	(95624, 96008)
6109	full_unknown	PMC1459875	[(13321, 13335)]	could not find	['Although 60% of low educated subjects were recognized with abnormal weight gain, we could not find any significant difference between weight gain and educational level.']	(13237, 13405)
6110	full_unknown	PMC1459875	[(16415, 16422)]	unknown	"[""Although the biological mechanism underlining this association is unknown, it appears that a rate of pregnancy weight gain below the lower limit of the IOM's recommended range especially in late pregnancy may be related to a higher risk of preterm birth [3].""]"	(16349, 16607)
6304	full_unknown	PMC1481554	[(14533, 14542)]	not known	['The other differences in micronutrient content between the two preparations are not known to affect constipation rate.']	(14453, 14571)
6462	full_unknown	PMC1544352	[(24189, 24200)]	interpreted	['Regression analysis outcomes\nTable4shows that after adjusting for demographic factors and clinical variables such as previous miscarriage or whether the current pregnancy was planned, the women less likely to used herbal supplements were those who: used an interpreted version of the questionnaire (OR 0.43; 95% CI 0.18, 0.98); had a language other than English as their first language (OR 0.51; 95% CI 0.31, 0.83); had not completed a degree (OR 0.56; 95% CI 0.38, 0.82); smoked during pregnancy (OR 0.41; 95% CI 0.20, 0.85); or those having other than their first baby (OR 0.56; 95% CI 0.37, 0.84).']	(23932, 24532)
6655	full_unknown	PMC1592148	[(4573, 4588)]	remains unclear	['Despite the growing interest, for most people it remains unclear what is meant by internatal care.']	(4524, 4622)
6656	full_unknown	PMC1592148	[(5716, 5723)]	unclear	['Even for women with healthcare coverage, it is unclear how much and what internatal care they are currently getting.']	(5669, 5785)
6657	full_unknown	PMC1592148	[(27755, 27769)]	knowledge gaps	['Even though there are several ways of getting this amount of folic acid everyday, two-thirds of U.S. women of childbearing age still do not consume enough folic acid, and surveys continue to find substantial knowledge gaps regarding the benefits of folic acid.']	(27547, 27807)
6658	full_unknown	PMC1592148	[(32333, 32341)]	not know	['Our model of internatal care is unlikely to be effective without effective psychosocial interventions, but we will not know what these are as long as we keep looking for quick biomedical fixes.']	(32218, 32411)
6659	full_unknown	PMC1592148	[(45668, 45675)]	unknown	['The extent to which this recommendation is adhered is presently unknown.']	(45604, 45676)
6660	full_unknown	PMC1592148	[(64753, 64776)]	not yet been elucidated	['Many pre-disease pathways leading to recurrence of adverse birth outcomes have not yet been elucidated.']	(64674, 64777)
6661	full_unknown	PMC1592148	[(65231, 65234)]	new	['Our proposal will need to be updated and revised continually as new research data emerge.']	(65167, 65256)
7557	full_unknown	PMC1626394	[(185, 188)]	new	['But new research suggests that a weekly iron supplement coinciding with the renewal of the small intestine’s mucosal lining cells (where nutrient absorption occurs) works better than a daily supplement and prevents problems resulting from too much iron at the wrong times.']	(181, 453)
7575	full_unknown	PMC1626432	[(522, 525)]	new	['In light of a new analysis of NTDs and folate pathway genes, however, that blanket recommendation may need to be fine-tuned [ EHP 114:1547–1552; Boyles et al.]']	(508, 667)
7576	full_unknown	PMC1626432	[(3088, 3105)]	poorly understood	['Although the preventive effect of folic acid supplementation is undeniable, its protective mechanism of action is still poorly understood.']	(2968, 3106)
7643	full_unknown	PMC1665416	[(356, 359)]	gap	['To address this gap in knowledge, we examined the association between prenatal exposure to airborne PAHs and birth weight, birth length, and birth head circumference, respectively, in Krakow, Poland, and New York City (NYC).']	(340, 564)
7644	full_unknown	PMC1665416	[(13513, 13520)]	unknown	['Twenty-three NYC subjects, whose method of gestational age calculation is unknown, were not included in this analysis.']	(13439, 13557)
7645	full_unknown	PMC1665416	[(17658, 17665)]	unknown	['Among 687 fully enrolled NYC women (243 African Americans, 442 Dominicans, 2 with unknown ethnic background), valid PAH data were available for 534 mothers; 10 cases had cord cotinine level > 25 ng/mL; birth weight measurements were available for 448 newborns; birth length measurements were available for 436 newborns; and birth head circumference measurements were available for 425.']	(17576, 17961)
7646	full_unknown	PMC1665416	[(20962, 20979)]	not be determined	['For the remaining 23 newborns, reliability of the gestational age could not be determined because LMP and sonogram data were missing.']	(20890, 21023)
7927	full_unknown	PMC1764147	[(12026, 12033)]	unclear	['Both total caloric intake [based on a 24-hr dietary recall survey and a U.S. Department of Agriculture (USDA) database (Food and Nutrition Database for Dietary Studies;USDA 2004)] and BMI are related to thyroid function, but the interrelationship as to cause or effect is unclear.']	(11754, 12034)
7928	full_unknown	PMC1764147	[(26321, 26330)]	not known	['Non-Hispanic blacks have also been shown to have lower urinary perchlorate levels than non-Hispanic whites, although the reason for this difference is not known (Blount et al.']	(26170, 26345)
7929	full_unknown	PMC1764147	[(28134, 28141)]	unknown	['Fasting for 60 hr can reduce TSH in humans, but fasting for shorter periods has unknown effects on thyroid function.']	(28054, 28170)
