	OBO_ID	OBO_LABEL	ENRICHMENT_P_VALUE	TOTAL_POPULATION	TOTAL_SUCCESSES	TOTAL_VITAMIN_D_GENE_LIST	TOTAL_SUCCESSES_IN_VITAMIN_D_GENE_LIST	BONFERRONI_CRRECTION_P_VALUE	BONFERRONI_CRRECTION_P_VALUE_REJECT	BH_CRRECTION_P_VALUE	BH_CRRECTION_P_VALUE_REJECT
10663	GO_0006955	immune response	0.0	327724	473	51868	473	0.0	True	0.0	True
4146	CL_0000771	eosinophil	0.0	327724	476	51868	476	0.0	True	0.0	True
16194	GO_0042571	immunoglobulin complex, circulating	0.0	327724	1522	51868	1522	0.0	True	0.0	True
6596	UBERON_0002240	spinal cord	0.0	327724	1760	51868	1252	0.0	True	0.0	True
11710	UBERON_0000310	breast	0.0	327724	1753	51868	1753	0.0	True	0.0	True
3670	UBERON_0000160	intestine	0.0	327724	1121	51868	1121	0.0	True	0.0	True
337	UBERON_0002405	immune system	0.0	327724	3021	51868	1374	0.0	True	0.0	True
15749	CHEBI_17234	glucose	0.0	327724	5470	51868	5470	0.0	True	0.0	True
17168	UBERON_0002046	thyroid gland	0.0	327724	1309	51868	1309	0.0	True	0.0	True
14564	UBERON_0000955	brain	0.0	327724	3995	51868	3995	0.0	True	0.0	True
6755	CHEBI_16412	lipopolysaccharide	0.0	327724	659	51868	659	0.0	True	0.0	True
6041	UBERON_0001013	adipose tissue	0.0	327724	1263	51868	1263	0.0	True	0.0	True
6013	PR_000045358	insulin family protein	0.0	327724	5283	51868	2455	0.0	True	0.0	True
12646	CHEBI_15377	water	0.0	327724	2218	51868	2218	0.0	True	0.0	True
14005	CHEBI_27563	arsenic atom	0.0	327724	989	51868	989	0.0	True	0.0	True
5696	NCBITaxon_10088	Mus <genus>	0.0	327724	13897	51868	3961	0.0	True	0.0	True
6561	GO_0007568	aging	0.0	327724	1078	51868	1078	0.0	True	0.0	True
9262	GO_0007596	blood coagulation	0.0	327724	1269	51868	1269	0.0	True	0.0	True
3409	UBERON_0002113	kidney	0.0	327724	1973	51868	1973	0.0	True	0.0	True
8083	UBERON_0002107	liver	0.0	327724	3595	51868	3595	0.0	True	0.0	True
4990	UBERON_0001987	placenta	0.0	327724	5247	51868	5247	0.0	True	0.0	True
14610	GO_0007420	brain development	0.0	327724	563	51868	526	0.0	True	0.0	True
6192	GO_0005634	nucleus	0.0	327724	701	51868	701	0.0	True	0.0	True
3120	UBERON_0001898	hypothalamus	0.0	327724	1027	51868	1027	0.0	True	0.0	True
2739	UBERON_0002048	lung	0.0	327724	1772	51868	1772	0.0	True	0.0	True
14208	SO_0000704	gene	0.0	327724	14403	51868	14403	0.0	True	0.0	True
15400	GO_0010467	gene expression	0.0	327724	9800	51868	6414	0.0	True	0.0	True
13248	GO_0006915	apoptotic process	0.0	327724	596	51868	596	0.0	True	0.0	True
6634	GO_0005739	mitochondrion	0.0	327724	964	51868	964	0.0	True	0.0	True
16274	CL_0000084	T cell	0.0	327724	871	51868	871	0.0	True	0.0	True
6339	CHEBI_18059	lipid	0.0	327724	2029	51868	1184	0.0	True	0.0	True
4016	UBERON_0000178	blood	0.0	327724	9155	51868	9155	0.0	True	0.0	True
5420	UBERON_0000479	tissue	0.0	327724	2922	51868	1552	0.0	True	0.0	True
14385	GO_0065007	biological regulation	0.0	327724	6678	51868	3020	0.0	True	0.0	True
15049	GO_0006936	muscle contraction	2.1871011218264345e-285	327724	355	51868	355	3.846236032843968e-281	True	1.0683988980122133e-282	True
11568	CL_0000775	neutrophil	2.1871011218264345e-285	327724	355	51868	355	3.846236032843968e-281	True	1.0683988980122133e-282	True
15198	GO_0045202	synapse	3.566815616717743e-282	327724	351	51868	351	6.272601943559823e-278	True	1.695297822583736e-279	True
2487	GO_0006306	DNA methylation	1.0739071906156639e-275	327724	2532	51868	1156	1.8885731854167065e-271	True	4.969929435307122e-273	True
13946	GO_0016020	membrane	6.022706032448309e-275	327724	342	51868	342	1.0591530828663596e-270	True	2.715777135554768e-272	True
4889	NCBITaxon_9986	Oryctolagus cuniculus	4.664032160446513e-267	327724	5344	51868	1880	8.202166957361238e-263	True	2.0505417393403096e-264	True
3457	CL_0000542	lymphocyte	1.653918976396312e-264	327724	329	51868	329	2.908581911890554e-260	True	7.094102224123302e-262	True
16571	UBERON_0001155	colon	7.367853850562267e-251	327724	312	51868	312	1.2957107781598803e-246	True	3.0850256622854292e-248	True
9294	UBERON_0000948	heart	3.230614360766048e-241	327724	2084	51868	973	5.681358414843172e-237	True	1.3212461429867841e-238	True
6600	GO_0008152	metabolic process	9.620782910220906e-240	327724	5698	51868	1905	1.6919108825914487e-235	True	3.845252005889656e-237	True
8167	UBERON_0001969	blood plasma	7.161567063786318e-239	327724	4206	51868	1540	1.259433183837462e-234	True	2.798740408527693e-236	True
13599	CL_0000236	B cell	1.3576295089468473e-231	327724	288	51868	288	2.3875272544339256e-227	True	5.190276640073751e-229	True
4338	GO_0006629	lipid metabolic process	3.472753635254916e-229	327724	285	51868	285	6.107184542959295e-225	True	1.299400966587084e-226	True
15390	GO_0005783	endoplasmic reticulum	2.271265380794834e-224	327724	279	51868	279	3.994247298665795e-220	True	8.321348538887071e-222	True
2192	SO_0000167	promoter	2.523825424795693e-219	327724	1206	51868	669	4.4383993920457053e-215	True	9.057957942950419e-217	True
9799	GO_0006006	glucose metabolic process	5.587366227809328e-206	327724	260	51868	259	9.825942248225486e-202	True	1.965188449645097e-203	True
5022	CHEBI_16480	nitric oxide	2.6940673189876307e-200	327724	249	51868	249	4.737786787171647e-196	True	9.289778014062054e-198	True
11490	UBERON_0001913	milk	1.3508581360060442e-199	327724	2246	51868	954	2.3756191179802294e-195	True	4.5684983038081337e-197	True
3682	GO_0032991	protein-containing complex	1.755783656085006e-195	327724	243	51868	243	3.0877211375910915e-191	True	5.825888938851116e-193	True
9206	PR_000001470	interleukin-28B	6.205539694482034e-195	327724	1834	51868	830	1.0913062106716104e-190	True	2.0209374271696492e-192	True
7126	CHEBI_35366	fatty acid	1.2906008981515873e-189	327724	1986	51868	865	2.2696507394893813e-185	True	4.126637708162512e-187	True
6652	CHEBI_17855	triglyceride	3.61568297427085e-187	327724	1204	51868	628	6.3585400785527165e-183	True	1.1354535854558423e-184	True
2786	CHEBI_17823	calcitriol	7.637121009806661e-182	327724	226	51868	226	1.3430641007845994e-177	True	2.356252808394034e-179	True
14452	UBERON_0001911	mammary gland	3.0712814681920597e-180	327724	224	51868	224	5.401155589962556e-176	True	9.312337224073373e-178	True
12363	NCBITaxon_9606	Homo sapiens	9.127386259993698e-175	327724	5578	51868	1719	1.6051421476824916e-170	True	2.720579911326257e-172	True
4802	GO_0071514	genetic imprinting	1.4152883757272903e-172	327724	632	51868	413	2.4889261375540126e-168	True	4.148210229256688e-170	True
1672	GO_0006953	acute-phase response	5.467507450047097e-161	327724	200	51868	200	9.615158601652824e-157	True	1.576255508467676e-158	True
13025	CL_0000576	monocyte	3.465802274808485e-160	327724	199	51868	199	6.094959880478202e-156	True	9.830580452384196e-158	True
15703	GO_0042593	glucose homeostasis	9.264655023665227e-159	327724	201	51868	200	1.6292822324617668e-154	True	2.586162273748836e-156	True
1232	UBERON_0002371	bone marrow	3.7082614496944354e-148	327724	184	51868	184	6.521348585432634e-144	True	1.018960716473849e-145	True
1654	CL_0000540	neuron	5.6664107613613174e-148	327724	1328	51868	611	9.964949964930013e-144	True	1.533069225373848e-145	True
16113	CL_0000738	leukocyte	5.699448744327753e-145	327724	483	51868	328	1.0023050561774786e-140	True	1.5186440245113312e-142	True
9981	CHEBI_16199	urea	1.521702628472724e-142	327724	177	51868	177	2.6760662424321323e-138	True	3.9941287200479585e-140	True
6037	GO_0005886	plasma membrane	9.642317041791969e-142	327724	176	51868	176	1.6956978749695356e-137	True	2.4936733455434347e-139	True
7047	CHEBI_15358	histone	1.260319660294161e-137	327724	922	51868	473	2.2163981545933115e-133	True	3.2121712385410315e-135	True
9039	SO_0001026	genome	7.360737761560848e-136	327724	1903	51868	750	1.2944593427480908e-131	True	1.8492276324972723e-133	True
7615	GO_0031012	extracellular matrix	1.6194262295800662e-130	327724	162	51868	162	2.8479229673395046e-126	True	4.01115910892888e-128	True
1524	PR_000001204	C-C chemokine receptor type 8	3.227913699251611e-129	327724	420	51868	288	5.676609031503883e-125	True	7.88417921042206e-127	True
10736	GO_0030324	lung development	2.6079588006943436e-127	327724	158	51868	158	4.586356346901073e-123	True	6.282679927261744e-125	True
494	CHEBI_59132	antigen	2.422226509470525e-124	327724	706	51868	386	4.259727539554865e-120	True	5.756388566966034e-122	True
6912	CL_0000125	glial cell	4.198818663717202e-124	327724	154	51868	154	7.384042502013071e-120	True	9.845390002684098e-122	True
3937	GO_0043277	apoptotic cell clearance	1.684604210926733e-122	327724	152	51868	152	2.962544965335753e-118	True	3.898085480704938e-120	True
13146	CHEBI_16113	cholesterol	8.531058868328391e-122	327724	1064	51868	494	1.5002720125842308e-117	True	1.9484052111483518e-119	True
6694	GO_0001503	ossification	1.0670202356905247e-121	327724	151	51868	151	1.8764617864853568e-117	True	2.4057202390837906e-119	True
5394	PR_000013057	peroxisome proliferator-activated receptor delta	5.004237978037665e-121	327724	620	51868	353	8.800452908177038e-117	True	1.1139813807819035e-118	True
1074	GO_0046323	glucose import	1.3674955220626273e-119	327724	152	51868	151	2.4048776250993364e-115	True	3.0060970313741705e-117	True
4318	CHEBI_41879	dexamethasone	2.7111562485906075e-119	327724	148	51868	148	4.767839378771442e-115	True	5.886221455273386e-117	True
5911	GO_0008150	biological_process	1.087528013966107e-117	327724	146	51868	146	1.9125267653607957e-113	True	2.332349713854629e-115	True
6237	GO_0009986	cell surface	4.362124679183417e-116	327724	144	51868	144	7.671232460811957e-112	True	9.13241959620471e-114	True
4906	CHEBI_29108	calcium(2+)	4.362124679183417e-116	327724	144	51868	144	7.671232460811957e-112	True	9.13241959620471e-114	True
5432	CL_0000232	erythrocyte	1.3804849331556959e-112	327724	743	51868	383	2.427720803447607e-108	True	2.856142121703067e-110	True
5145	CL_0000235	macrophage	4.853073162959623e-112	327724	473	51868	291	8.534614464380793e-108	True	9.923970307419526e-110	True
14678	UBERON_0001986	endothelium	1.069954972385657e-109	327724	683	51868	360	1.8816228144374167e-105	True	2.1627848441809386e-107	True
15992	PR_000043452	core histone	9.319105248081512e-104	327724	698	51868	357	1.6388578489276147e-99	True	1.862338464690471e-101	True
4485	UBERON_0000473	testis	2.9156876534734476e-103	327724	128	51868	128	5.1275283073984045e-99	True	5.761267761121804e-101	True
15589	UBERON_0007023	adult organism	4.2204968400161016e-103	327724	5567	51868	1508	7.422165742852317e-99	True	8.246850825391462e-101	True
13155	GO_0006952	defense response	4.685101274175263e-100	327724	124	51868	124	8.239219100764617e-96	True	9.054086923917164e-98	True
4914	UBERON_0000062	organ	7.617737779703819e-100	327724	840	51868	395	1.3396553659387137e-95	True	1.456147136889906e-97	True
16252	UBERON_0002331	umbilical cord	9.428514129748556e-100	327724	438	51868	265	1.658098494857581e-95	True	1.782901607373743e-97	True
4829	UBERON_0001638	vein	8.898633606085511e-99	327724	213	51868	173	1.564913705966198e-94	True	1.6648018148576574e-96	True
1723	NCBITaxon_33208	Metazoa	1.383794155692009e-96	327724	9570	51868	2290	2.433540402199967e-92	True	2.5616214759999654e-94	True
17543	UBERON_0001264	pancreas	1.999891460157215e-93	327724	502	51868	280	3.517009121832478e-89	True	3.663551168575498e-91	True
2114	GO_0006508	proteolysis	3.0660230449309773e-91	327724	113	51868	113	5.391908126815616e-87	True	5.5586681719748625e-89	True
7115	UBERON_0000088	trophoblast	3.15855048307609e-91	327724	265	51868	190	5.554626879537611e-87	True	5.6679866117730726e-89	True
8374	PR_000001309	CD70 molecule	8.682041986849799e-91	327724	441	51868	256	1.5268239038074057e-86	True	1.5422463674822278e-88	True
6382	GO_0045087	innate immune response	1.940771971571305e-90	327724	112	51868	112	3.413041589205297e-86	True	3.413041589205297e-88	True
15528	UBERON_0001005	respiratory airway	3.670611231306332e-90	327724	757	51868	356	6.455136911375315e-86	True	6.391224664728036e-88	True
14862	GO_0005576	extracellular region	7.775915080118146e-89	327724	110	51868	110	1.367472425989577e-84	True	1.3406592411662521e-86	True
3151	CHEBI_16382	iodide	7.15471086996026e-88	327724	675	51868	328	1.2582274535912113e-83	True	1.2215800520303022e-85	True
12972	GO_0005737	cytoplasm	1.2480176374631358e-85	327724	106	51868	106	2.1947638172426706e-81	True	2.1103498242717987e-83	True
14724	GO_0071735	IgG immunoglobulin complex	1.7638382639406246e-85	327724	427	51868	245	3.1018859709659824e-81	True	2.9541771152056973e-83	True
16046	CL_0000097	mast cell	7.89896818829241e-85	327724	105	51868	105	1.3891125455931031e-80	True	1.3104835335783993e-82	True
10024	UBERON_0001977	blood serum	5.546625971320077e-82	327724	5874	51868	1497	9.754296433163487e-78	True	9.116164890806997e-80	True
1823	UBERON_0000995	uterus	1.4071546993336285e-81	327724	709	51868	329	2.474622254248119e-77	True	2.291316902081592e-79	True
16839	UBERON_0002109	pair of nares	5.657635631734005e-80	327724	190	51868	148	9.949518021967421e-76	True	9.127998185291212e-78	True
2794	UBERON_0001135	smooth muscle tissue	2.0328867979546215e-78	327724	97	51868	97	3.575034722882998e-74	True	3.25003156625727e-76	True
16227	CL_0000623	natural killer cell	9.679610615448621e-77	327724	205	51868	152	1.7022563228327946e-72	True	1.5335642548043193e-74	True
9499	UBERON_0000483	epithelium	9.720640297718835e-76	327724	287	51868	184	1.7094718027568344e-71	True	1.5263141096043164e-73	True
17157	GO_0005622	intracellular anatomical structure	4.2895210742924817e-75	327724	355	51868	208	7.543551761250759e-71	True	6.675709523230759e-73	True
4234	CL_0000081	blood cell	6.593223876768556e-75	327724	96	51868	95	1.1594843509685182e-70	True	1.0170915359372966e-72	True
16414	CL_0000451	dendritic cell	2.062874980055634e-74	327724	92	51868	92	3.6277719399258383e-70	True	3.154584295587685e-72	True
