	OBO_ID	OBO_LABEL	ENRICHMENT_P_VALUE	TOTAL_POPULATION	TOTAL_SUCCESSES	TOTAL_VITAMIN_D	TOTAL_SUCCESSES_IN_VITAMIN_D	BONFERRONI_CRRECTION_P_VALUE	BONFERRONI_CRRECTION_P_VALUE_REJECT	BH_CRRECTION_P_VALUE	BH_CRRECTION_P_VALUE_REJECT
2518	CHEBI_71657	versiconol acetate	0.0	327724	4139	10841	1176	0.0	True	0.0	True
3558	UBERON_0001977	blood serum	0.0	327724	5874	10841	946	0.0	True	0.0	True
11647	CHEBI_28384	vitamin K	3.4760823103936887e-255	327724	1907	10841	465	6.1123431345962625e-251	True	2.037447711532087e-251	True
9361	CHEBI_52024	4-(4-dihexadecylaminostyryl)-N-methylpyridium iodide	5.8281968682521015e-248	327724	361	10841	233	1.0248301373134495e-243	True	2.5620753432836238e-244	True
16664	GO_0007565	female pregnancy	5.109329028819633e-229	327724	76080	10841	3987	8.984244164276443e-225	True	1.7968488328552887e-225	True
13487	PR_000006444	diacylglycerol kinase delta	7.266643006795884e-215	327724	803	10841	292	1.2777665063149882e-210	True	2.1296108438583136e-211	True
6423	PR_000017269	ventral anterior homeobox 2	7.778124111000509e-211	327724	251	10841	183	1.3677053436783296e-206	True	1.9538647766833276e-207	True
3489	PR_000017299	VIP peptides	2.3500537824178804e-130	327724	509	10841	180	4.132334571003601e-126	True	5.165418213754501e-127	True
4737	PR_000008775	estradiol 17-beta-dehydrogenase 11	4.267937967764072e-130	327724	1594	10841	298	7.504742122516343e-126	True	8.338602358351492e-127	True
8974	CHEBI_33279	vitamin D5	4.960724805684292e-119	327724	958	10841	224	8.72293849831526e-115	True	8.410995402842673e-116	True
13203	PR_000017319	vacuolar protein sorting-associated protein 13A	5.261655449912955e-119	327724	742	10841	200	9.252094943126942e-115	True	8.410995402842673e-116	True
11120	CHEBI_22313	alkaline earth metal atom	1.3255617426757568e-115	327724	833	10841	207	2.330867768321051e-111	True	1.9423898069342088e-112	True
16633	CHEBI_62218	23,24-dihydrocucurbitacin D	3.740612731720089e-100	327724	412	10841	141	6.577493427456604e-96	True	5.059610328812772e-97	True
1760	CHEBI_33229	vitamin (role)	6.267971047583169e-99	327724	964	10841	203	1.1021600290070244e-94	True	7.87257163576446e-96	True
8496	PR_000008838	serine protease HTRA1	8.851480371111328e-98	327724	479	10841	148	1.5564443084562159e-93	True	1.0376295389708107e-94	True
82	UBERON_0002240	spinal cord	1.3776155978653864e-95	327724	1760	10841	268	2.4223992672864954e-91	True	1.5139995420540597e-92	True
11254	CHEBI_30778	gallic acid	2.500900935104783e-83	327724	167	10841	88	4.39758420428825e-79	True	2.5868142378166178e-80	True
17478	GO_0042359	vitamin D metabolic process	9.241234397338547e-78	327724	52	10841	52	1.62497865642801e-73	True	9.027659202377834e-75	True
12162	PR_000004370	asialoglycoprotein receptor 2	1.0279403619680112e-68	327724	131	10841	71	1.8075303324845508e-64	True	9.513317539392372e-66	True
8341	CHEBI_26536	retinoic acid	5.364736600371823e-67	327724	737	10841	145	9.433352838093813e-63	True	4.716676419046907e-64	True
17522	UBERON_0002405	immune system	1.3442266841516835e-66	327724	3021	10841	308	2.3636882014123202e-62	True	1.1255658101963431e-63	True
7229	PR_000004900	complement C3	1.7057829634720366e-64	327724	111	10841	64	2.9994487629692294e-60	True	1.3633858013496496e-61	True
17215	CHEBI_6784	mestranol	6.6921730233409e-63	327724	111	10841	63	1.1767517044242639e-58	True	5.116311758366365e-60	True
11764	CHEBI_86198	1,2-di-[(11Z)-eicosenoyl]-sn-glycero-3-phosphocholine	4.669638749098598e-61	327724	82	10841	55	8.211092776414974e-57	True	3.421288656839573e-58	True
11281	PR_000001683	vasopressin V2 receptor	1.3425217555781368e-57	327724	67	10841	49	2.360690255008596e-53	True	9.442761020034383e-55	True
2309	UBERON_0002048	lung	1.2226023384371726e-55	327724	1772	10841	209	2.149823951907924e-51	True	8.2685536611843245e-53	True
2119	CHEBI_33237	vitamin D4	7.699865768138472e-55	327724	156	10841	66	1.353944396669469e-50	True	5.014608876553589e-52	True
13586	CHEBI_72652	7,2'-dihydroxy-4'-methoxyisoflavan-4-ylium cation	3.3802627398556033e-54	327724	753	10841	131	5.943854001762092e-50	True	2.1228050006293187e-51	True
13757	GO_0042368	vitamin D biosynthetic process	3.715072614192284e-45	327724	30	10841	30	6.532583684795712e-41	True	2.2526150637226594e-42	True
8459	CHEBI_27568	selenium atom	8.35095647767894e-45	327724	377	10841	85	1.4684321870350647e-40	True	4.8947739567835494e-42	True
6162	CHEBI_33010	chromide(1-)	1.461445488874378e-42	327724	104	10841	48	2.569805747636706e-38	True	8.289695960118407e-40	True
