PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	C_START	C_END	CONCEPT_MENTION_ID
PMC1247630	PMC1247630.nxml.gz-9	[562]	[758]	New findings from the NIEHS-funded Northern California Childhood Leukemia Study (NCCLS) show that the disease may originate even earlier—in the foods a woman eats before she even becomes pregnant.	even	[686]	[690]	PMC1247630.nxml.gz-11
PMC1533075	PMC1533075.nxml.gz-6	[467]	[755]	Although risk estimates varied by study center, combined results suggest that maternal supplementation for two trimesters may decrease risk of brain tumor (odds ratio [OR] 0.7, 95% confidence interval [CI] 0.5-0.9), with a trend of less risk with longer duration of use (p trend = 0.0007)	Although	[467]	[475]	PMC1533075.nxml.gz-5
PMC1626394	PMC1626394.nxml.gz-12	[2115]	[2271]	Ironically, both early gestational iron-deficiency anemia and hemoconcentration later in pregnancy increase the risk of premature birth and low birth weight	Ironically	[2115]	[2125]	PMC1626394.nxml.gz-11
PMC1626394	PMC1626394.nxml.gz-23	[2793]	[2910]	however, mature cells will stop absorbing iron entirely if they are flooded with it, even if there is an iron deficit	even	[2878]	[2882]	PMC1626394.nxml.gz-24
PMC2265032	PMC2265032.nxml.gz-30	[2863]	[3017]	Although China has set goals to cut emissions of major pollutants, emissions of sulfur dioxide and some indicators of poor water quality increased in 2006	Although	[2863]	[2871]	PMC2265032.nxml.gz-29
PMC2265032	PMC2265032.nxml.gz-42	[4414]	[4515]	Although potentially toxic at high doses, these glycosides are used to treat congestive heart failure	Although	[4414]	[4422]	PMC2265032.nxml.gz-41
PMC2396486	PMC2396486.nxml.gz-103	[16762]	[17025]	Several of the components of the network converge on MAPK1, a MAP kinase that serves to integrate multiple biochemical signals (previously known as ERK2), that was found to be significantly down-regulated in the proteomics study.10.1371/journal.pone.0002383.g002
	found to be	[16926]	[16937]	PMC2396486.nxml.gz-105
PMC2396486	PMC2396486.nxml.gz-110	[17546]	[17721]	Calcium binding proteins have been of interest to schizophrenia research for some time[27], in particular with respect to the expression in cortical GABAergic interneurons[28]	interest	[17584]	[17592]	PMC2396486.nxml.gz-111
PMC2396486	PMC2396486.nxml.gz-127	[18496]	[18617]	The potential links between vitamin D and neuronal calcium binding proteins has been noted in a recent review article[30]	has been noted	[18572]	[18586]	PMC2396486.nxml.gz-130
PMC2396486	PMC2396486.nxml.gz-146	[19483]	[19619]	Curiously, it has recently been shown that dynamin 1-like protein is also important for mitochondrial fission and general morphology[33]	Curiously	[19483]	[19492]	PMC2396486.nxml.gz-145
PMC2396486	PMC2396486.nxml.gz-167	[20827]	[20929]	Thus, these neuropeptides are of interest as potential targets for novel antipsychotic agents[39],[40]	interest	[20860]	[20868]	PMC2396486.nxml.gz-168
PMC2396486	PMC2396486.nxml.gz-173	[20931]	[21152]	Curiously, it has been shown that calcium concentration is an important modulator of thimet oligopeptidase activity[41], thus the disruption of this protein may also be down-stream consequence of altered calcium buffering	Curiously	[20931]	[20940]	PMC2396486.nxml.gz-172
PMC2396486	PMC2396486.nxml.gz-186	[21525]	[21744]	Similarly, mitogen-activated protein kinase 1, significantly down-regulated in this study, has been found to be down-regulated at both the mRNA and protein levels in post-mortem schizophrenia brain tissue (thalamus)[48]	found to be	[21625]	[21636]	PMC2396486.nxml.gz-189
PMC2396486	PMC2396486.nxml.gz-206	[22359]	[22490]	Disappointingly, we found no overlap with the proteins identified in the current study versus those in the previous publication[18]	Disappointingly	[22359]	[22374]	PMC2396486.nxml.gz-208
PMC2396486	PMC2396486.nxml.gz-227	[23158]	[23349]	For example, we have shown that while habituated DVD rats have normal locomotion activity in the open field at baseline, they have pronounced hyperlocomotion after exposure to MK-801[10],[12]	while	[23190]	[23195]	PMC2396486.nxml.gz-230
PMC2396486	PMC2396486.nxml.gz-231	[23351]	[23404]	We plan to explore these issues in future experiments	issues	[23376]	[23382]	PMC2396486.nxml.gz-233
PMC2396486	PMC2396486.nxml.gz-56	[3838]	[4037]	Dopamine projections involve a range of cortical and subcortical regions, however its role in the nucleus accumbens has been of particular interest with respect to neuropsychiatric disorders[14]–[16]	however	[3912]	[3919]	PMC2396486.nxml.gz-57
PMC2396486	PMC2396486.nxml.gz-56	[3838]	[4037]	Dopamine projections involve a range of cortical and subcortical regions, however its role in the nucleus accumbens has been of particular interest with respect to neuropsychiatric disorders[14]–[16]	interest	[3977]	[3985]	PMC2396486.nxml.gz-60
PMC2396486	PMC2396486.nxml.gz-89	[11668]	[11835]	Although many proteins were found to be significantly altered in DVD-deficient adults, the fold-change level was insufficient for confirmation analysis by western blot	Although	[11668]	[11676]	PMC2396486.nxml.gz-88
PMC2396486	PMC2396486.nxml.gz-89	[11668]	[11835]	Although many proteins were found to be significantly altered in DVD-deficient adults, the fold-change level was insufficient for confirmation analysis by western blot	found to be	[11696]	[11707]	PMC2396486.nxml.gz-90
PMC2672462	PMC2672462.nxml.gz-11	[477]	[636]	The medical management of gestational diabetes is still evolving, and recent randomized controlled trials have added considerably to our knowledge in this area	considerably	[594]	[606]	PMC2672462.nxml.gz-14
PMC2672462	PMC2672462.nxml.gz-20339	[14537]	[14740]	Although there was an initial small uncontrolled report which suggested that Lispro may have teratogenic effects when used in type 1 diabetic pregnancy,37this has not been borne out in subsequent studies	Although	[14537]	[14545]	PMC2672462.nxml.gz-335
PMC2672462	PMC2672462.nxml.gz-258	[11620]	[11675]	Measures of cardiorespiratory fitness however, improved	however	[11658]	[11665]	PMC2672462.nxml.gz-260
PMC2672462	PMC2672462.nxml.gz-270	[12002]	[12245]	Therefore, it seems reasonable to recommend that when there is no medical or obstetric contraindication, women with GDM should maintain a sensible level of light and moderate intensity physical activity until the latter stages of the pregnancy	seems	[12016]	[12021]	PMC2672462.nxml.gz-271
PMC2672462	PMC2672462.nxml.gz-315	[13951]	[14066]	Human insulin does not normally cross the placenta, though antibody bound animal insulin has been reported to do so	though	[14003]	[14009]	PMC2672462.nxml.gz-318
PMC2672462	PMC2672462.nxml.gz-363	[15565]	[15632]	In one study, aspart was detected in the cord blood for one subject	detected	[15590]	[15598]	PMC2672462.nxml.gz-365
PMC2672462	PMC2672462.nxml.gz-39	[1606]	[1684]	In some specific populations however, the incidence can be considerably higher	however	[1635]	[1642]	PMC2672462.nxml.gz-42
PMC2672462	PMC2672462.nxml.gz-39	[1606]	[1684]	In some specific populations however, the incidence can be considerably higher	considerably	[1665]	[1677]	PMC2672462.nxml.gz-45
PMC2672462	PMC2672462.nxml.gz-400	[16555]	[16712]	Whilst insulin detemir has a lower binding affinity to the IGF-1 receptor than natural insulin, there is even less information regarding its use in pregnancy	even	[16660]	[16664]	PMC2672462.nxml.gz-402
PMC2672462	PMC2672462.nxml.gz-405	[16877]	[17120]	Although their safety has not been proven, it is often rationalized that a change in the basal insulin will result in deterioration in glycemic control, and therefore the risk of continuing glargine is less than the risk from changing insulins	Although	[16877]	[16885]	PMC2672462.nxml.gz-406
PMC2672462	PMC2672462.nxml.gz-470	[19508]	[19702]	Higher glucose levels, either in the glucose tolerance test upon which GDM was diagnosed, or on self-monitoring, and early dietary failure have been found to be associated with glyburide failure	found to be	[19657]	[19668]	PMC2672462.nxml.gz-474
PMC2672462	PMC2672462.nxml.gz-49	[1975]	[2117]	The key factor which results in the development of gestational diabetes appears to be a failure to compensate with increased insulin secretion	appears to be	[2047]	[2060]	PMC2672462.nxml.gz-51
PMC2672462	PMC2672462.nxml.gz-495	[20398]	[20551]	There are studies which have used metformin during pregnancy in women with polycystic ovary syndrome, without any noticeable adverse effects on the fetus	without any	[20500]	[20511]	PMC2672462.nxml.gz-496
PMC2672462	PMC2672462.nxml.gz-502	[21245]	[21568]	Interestingly fetal death and malformations were not a component of the primary outcome; however, 19 events in the metformin group were classified as serious fetal or neonatal adverse events (including 11 congenital anomalies) compared to 23 events in the insulin arm (including 18 congenital anomalies and one fetal death)	Interestingly	[21245]	[21258]	PMC2672462.nxml.gz-501
PMC2672462	PMC2672462.nxml.gz-535	[22841]	[23022]	However, as there was no evaluation of glycemic control early in pregnancy, and more women on metformin had pre-existing type 2 diabetes, the groups do not appear to be well matched	appear to be	[22997]	[23009]	PMC2672462.nxml.gz-538
PMC2672462	PMC2672462.nxml.gz-570	[24101]	[24268]	In contradistinction, metformin reduces insulin resistance and hepatic gluconeogenesis, which theoretically would be beneficial for the preservation of β-cell function	In contradistinction	[24101]	[24121]	PMC2672462.nxml.gz-571
PMC2672462	PMC2672462.nxml.gz-577	[24394]	[24626]	As there is transplacental passage of metformin,77,78its effect on fetal insulin resistance might even provide further benefit in light of data of insulin resistance and insulin secretory defects in offspring of diabetic pregnancies	even	[24492]	[24496]	PMC2672462.nxml.gz-581
PMC2672462	PMC2672462.nxml.gz-58	[2321]	[2431]	The diagnosis is made with an oral glucose tolerance test, though the criteria vary around the world (Table 1)	though	[2380]	[2386]	PMC2672462.nxml.gz-59
PMC2672462	PMC2672462.nxml.gz-584	[24629]	[24790]	However, any pharmacological agent which crosses the placenta must be viewed with caution as there always remains the possibility of unexpected long-term effects	unexpected	[24762]	[24772]	PMC2672462.nxml.gz-590
PMC2672462	PMC2672462.nxml.gz-598	[25040]	[25173]	Furthermore, metformin can promote the development of lactic acidosis, which surely must be a concern in situations of fetal distress	surely	[25117]	[25123]	PMC2672462.nxml.gz-600
PMC2672462	PMC2672462.nxml.gz-61	[2433]	[2646]	Risk factors for the development of GDM include obesity, older age, family history, previous history of GDM or poor obstetric outcomes, ethnicity, polycystic ovary syndrome and as more recently noted, hypertension	noted	[2627]	[2632]	PMC2672462.nxml.gz-68
PMC2672462	PMC2672462.nxml.gz-640	[26664]	[26873]	Furthermore, the high frequency of gastrointestinal side effects experienced by people with type 2 diabetes suggests that any future role of acarbose, even if subsequent studies confirm safety, will be limited	even	[26815]	[26819]	PMC2672462.nxml.gz-645
PMC2672462	PMC2672462.nxml.gz-679	[29625]	[29800]	It therefore seems likely that the decreased mortality rate was at least in part a consequence of treatment of GDM, rather than only to other improvements in obstetric outcome	seems	[29638]	[29643]	PMC2672462.nxml.gz-681
PMC2672462	PMC2672462.nxml.gz-691	[29949]	[30103]	Although hyperglycemia usually resolves with the conclusion of the pregnancy, women who have had GDM are at high risk of developing diabetes later in life	Although	[29949]	[29957]	PMC2672462.nxml.gz-690
PMC2672462	PMC2672462.nxml.gz-96	[3790]	[4048]	Amongst sibships discordant for exposure to hyperglycemia, the sibling exposed to hyperglycemia had a considerably higher risk of subsequent diabetes, suggesting that genetic factors were not predominantly responsible for the difference in diabetes incidence	considerably	[3892]	[3904]	PMC2672462.nxml.gz-98
PMC2874300	PMC2874300.nxml.gz-33	[1622]	[1744]	If breastfeeding is not possible, hydrolyzed formulas seem to confer a greater protective effect than traditional formulas	seem	[1676]	[1680]	PMC2874300.nxml.gz-35
PMC2874300	PMC2874300.nxml.gz-38	[1746]	[1857]	Solid foods should be introduced at age 4-6 months. The order of introduction seems to have little effect on AM	seems	[1824]	[1829]	PMC2874300.nxml.gz-40
PMC2885310	PMC2885310.nxml.gz-149	[10664]	[10865]	We also reported results after stratification so that we (and readers) could assess associations (even with a fair amount of statistical imprecision) without an over-reliance on model-based assumptions	even	[10762]	[10766]	PMC2885310.nxml.gz-153
PMC2885310	PMC2885310.nxml.gz-181	[14793]	[15020]	Compared with women who did not snore during pregnancy, the adjusted mean 1-hour glucose concentrations were noted to be 6.4 mg/dl higher among those women who snored during pregnancy (β = 6.4 mg/dl, 95% CI 0.32-12.5, p = 0.04)	noted	[14902]	[14907]	PMC2885310.nxml.gz-182
PMC2885310	PMC2885310.nxml.gz-183	[15858]	[16011]	The positive association remained, though was attenuated somewhat, after further adjustment for maternal pre-pregnancy BMI (RR = 4.18; 95% CI 0.94-18.60)	though	[15893]	[15899]	PMC2885310.nxml.gz-186
PMC2885310	PMC2885310.nxml.gz-187	[16013]	[16167]	We also noted that associations between short sleep duration and GDM risk were particularly pronounced among overweight women (far right column of Table2)	noted	[16021]	[16026]	PMC2885310.nxml.gz-188
