PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	C_START	C_END	CONCEPT_MENTION_ID
PMC1626394	PMC1626394.nxml.gz-1	[49]	[179]	Pregnant women are famously exhorted to faithfully take their daily prenatal vitamins, which often contain iron and other minerals	exhorted	[77]	[85]	PMC1626394.nxml.gz-2
PMC2396486	PMC2396486.nxml.gz-116	[17913]	[18072]	Calcium binding proteins are central to a wide range of cellular functions, of which calcium sequestration and buffering are particularly important for neurons	important	[18051]	[18060]	PMC2396486.nxml.gz-118
PMC2396486	PMC2396486.nxml.gz-131	[18732]	[18871]	These proteins are essential for clathrin-mediated endocytosis, a role of particular importance in neurons for neurotransmitter release[31]	essential	[18751]	[18760]	PMC2396486.nxml.gz-132
PMC2396486	PMC2396486.nxml.gz-131	[18732]	[18871]	These proteins are essential for clathrin-mediated endocytosis, a role of particular importance in neurons for neurotransmitter release[31]	importance	[18817]	[18827]	PMC2396486.nxml.gz-134
PMC2396486	PMC2396486.nxml.gz-135	[18873]	[19033]	Apart from this function, these proteins are essential for the insertion of dopamine receptor 2 (DRD2) into the nonsynaptic membrane of dopaminergic neurons[32]	essential	[18918]	[18927]	PMC2396486.nxml.gz-136
PMC2396486	PMC2396486.nxml.gz-146	[19483]	[19619]	Curiously, it has recently been shown that dynamin 1-like protein is also important for mitochondrial fission and general morphology[33]	important	[19557]	[19566]	PMC2396486.nxml.gz-148
PMC2396486	PMC2396486.nxml.gz-149	[19621]	[19835]	It is known that down-regulation of calcium binding proteins shift essential calcium buffering requirements to the mitochondrial compartment, which, in turn, leads to compromised mitochondrial energy production[34]	essential	[19688]	[19697]	PMC2396486.nxml.gz-151
PMC2396486	PMC2396486.nxml.gz-158	[20180]	[20369]	In the core region of the nucleus accumbens, neurons have dense spines, which may reflect the degree of synaptic plasticity required for the integrative function of cells in this region[36]	required	[20304]	[20312]	PMC2396486.nxml.gz-160
PMC2396486	PMC2396486.nxml.gz-173	[20931]	[21152]	Curiously, it has been shown that calcium concentration is an important modulator of thimet oligopeptidase activity[41], thus the disruption of this protein may also be down-stream consequence of altered calcium buffering	important	[20993]	[21002]	PMC2396486.nxml.gz-175
PMC2396486	PMC2396486.nxml.gz-84	[11294]	[11526]	Generally, a peptide match with at least 30% total sequence coverage was required for confidence in identification, but very low and high mass protein, and those resulting from protein fragmentation may not always meet the criterion	required	[11367]	[11375]	PMC2396486.nxml.gz-86
PMC2672462	PMC2672462.nxml.gz-104	[4212]	[4482]	There is also concern that this leads to an intergenerational effect, with GDM promoting diabetes in the offspring, with perpetuation of the vicious cycle when the offspring herself develops GDM, thereby predisposing the grandchild to the development of diabetes as well	concern	[4226]	[4233]	PMC2672462.nxml.gz-105
PMC2672462	PMC2672462.nxml.gz-133	[5796]	[5856]	Self-care is an important component of the management of GDM	important	[5812]	[5821]	PMC2672462.nxml.gz-134
PMC2672462	PMC2672462.nxml.gz-181	[7896]	[8015]	The aim is to achieve normoglycemia whilst providing the required nutrients for normal fetal growth and maternal health	required	[7953]	[7961]	PMC2672462.nxml.gz-184
PMC2672462	PMC2672462.nxml.gz-2	[102]	[294]	As gestational diabetes is associated with adverse pregnancy outcomes, and has long-term implications for both mother and child, it is important that it is recognized and appropriately managed	important	[237]	[246]	PMC2672462.nxml.gz-5
PMC2672462	PMC2672462.nxml.gz-20	[811]	[984]	The current experience is that the short acting insulin analogs lispro and aspart are safe, but there are only limited data to support the use of long acting insulin analogs	safe	[897]	[901]	PMC2672462.nxml.gz-22
PMC2672462	PMC2672462.nxml.gz-20349	[26927]	[27052]	Transplacental transfer occurs,67,81and until studies demonstrating safety are performed, they should be avoided in pregnancy	safety	[26995]	[27001]	PMC2672462.nxml.gz-655
PMC2672462	PMC2672462.nxml.gz-236	[10403]	[10569]	Emphasis is given to spreading the dietary intake over six meals daily, with three main meals and three snacks, in order to avoid large carbohydrate loads at any time	Emphasis	[10403]	[10411]	PMC2672462.nxml.gz-235
PMC2672462	PMC2672462.nxml.gz-282	[12545]	[12627]	When treatment targets are not achieved by dietary means, then insulin is required	required	[12619]	[12627]	PMC2672462.nxml.gz-284
PMC2672462	PMC2672462.nxml.gz-293	[13255]	[13351]	The required dosage of insulin usually increases gradually over the third trimester of pregnancy	required	[13259]	[13267]	PMC2672462.nxml.gz-294
PMC2672462	PMC2672462.nxml.gz-332	[14378]	[14535]	There is now increasing evidence that the newer rapid acting insulin analogs lispro and aspart are also safe in pregnancy, and indeed, they are commonly used	safe	[14482]	[14486]	PMC2672462.nxml.gz-334
PMC2672462	PMC2672462.nxml.gz-437	[18298]	[18398]	Only 4% of women treated with glyburide achieved inadequate control and required a switch to insulin	required	[18370]	[18378]	PMC2672462.nxml.gz-439
PMC2672462	PMC2672462.nxml.gz-449	[18892]	[18969]	Most, but not all, suggest that glyburide is as safe as insulin for the fetus	safe	[18940]	[18944]	PMC2672462.nxml.gz-453
