	OBO_ID	OBO_LABEL	ENRICHMENT_P_VALUE	TOTAL_POPULATION	TOTAL_SUCCESSES	TOTAL_IGNORANCE_CATEGORY	TOTAL_SUCCESSES_IN_IGNORANCE_CATEGORY	BONFERRONI_CRRECTION_P_VALUE	BONFERRONI_CRRECTION_P_VALUE_REJECT	BH_CRRECTION_P_VALUE	BH_CRRECTION_P_VALUE_REJECT
4515	CHEBI_27300	vitamin D	0.0	182892	11398	8688	11398	0.0	True	0.0	True
429	CHEBI_71657	versiconol acetate	0.0	182892	2904	8688	968	0.0	True	0.0	True
5238	UBERON_0001977	blood serum	2.0224694616780883e-274	182892	3424	8688	744	2.755816888482563e-270	True	9.186056294941877e-271	True
1720	CHEBI_52024	4-(4-dihexadecylaminostyryl)-N-methylpyridium iodide	1.0400647653773538e-199	182892	274	8688	200	1.4171922493031823e-195	True	3.5429806232579557e-196	True
7413	CHEBI_28384	vitamin K	4.1094148660778227e-172	182892	1272	8688	361	5.599488696517641e-168	True	1.1198977393035283e-168	True
11687	PR_000006444	diacylglycerol kinase delta	6.422785691037739e-154	182892	574	8688	236	8.751687782608024e-150	True	1.4586146304346706e-150	True
9702	PR_000017269	ventral anterior homeobox 2	4.759932735688575e-150	182892	193	8688	146	6.485884345649253e-146	True	9.265549065213219e-147	True
9860	PR_000008775	estradiol 17-beta-dehydrogenase 11	3.3036582951577784e-104	182892	1072	8688	257	4.501564792981989e-100	True	5.626955991227486e-101	True
2023	GO_0007565	female pregnancy	1.794436671975083e-95	182892	51416	8688	3314	2.445099409233248e-91	True	2.7167771213702754e-92	True
7494	PR_000017319	vacuolar protein sorting-associated protein 13A	7.098812108445754e-77	182892	444	8688	143	9.672841378968185e-73	True	9.672841378968184e-74	True
1876	CHEBI_62218	23,24-dihydrocucurbitacin D	1.9024249238658815e-76	182892	239	8688	108	2.59224420125965e-72	True	2.356585637508773e-73	True
5519	UBERON_0002240	spinal cord	7.439555660627372e-73	182892	1147	8688	224	1.0137138543170858e-68	True	8.447615452642381e-70	True
10570	PR_000008838	serine protease HTRA1	7.47418752946803e-70	182892	334	8688	119	1.018432792765314e-65	True	7.834098405887029e-67	True
8124	CHEBI_22313	alkaline earth metal atom	1.3770630590161874e-69	182892	626	8688	160	1.876386124215457e-65	True	1.3402758030110408e-66	True
9792	PR_000017299	VIP peptides	5.526271189118574e-63	182892	270	8688	102	7.530097122292969e-59	True	4.8390695952334773e-60	True
340	GO_0042359	vitamin D metabolic process	5.682160100083343e-63	182892	47	8688	47	7.742511352373564e-59	True	4.8390695952334773e-60	True
3386	CHEBI_30778	gallic acid	1.5065606040157685e-62	182892	110	8688	69	2.052839479031886e-58	True	1.2075526347246387e-59	True
1326	CHEBI_33229	vitamin (role)	6.993779958019067e-59	182892	643	8688	149	9.529724570796781e-55	True	5.294291428220434e-56	True
11263	CHEBI_28934	vitamin D2	1.1379181972711387e-57	182892	43	8688	43	1.5505273356016536e-53	True	8.160670187377125e-55	True
2470	PR_000004900	complement C3	3.252174291218381e-51	182892	68	8688	50	4.431412689214166e-47	True	2.215706344607083e-48	True
5243	PR_000004370	asialoglycoprotein receptor 2	2.634518691564024e-45	182892	77	8688	49	3.5897951691251387e-41	True	1.709426271011971e-42	True
12205	CHEBI_6784	mestranol	5.1755572216701666e-45	182892	74	8688	48	7.05221427024777e-41	True	3.2055519410217134e-42	True
10839	UBERON_0002048	lung	1.135960248187404e-43	182892	1133	8688	177	1.5478594341801567e-39	True	6.729823626870247e-41	True
11606	CHEBI_33279	vitamin D5	8.825401611540803e-42	182892	578	8688	119	1.2025492235885499e-37	True	5.010621764952291e-39	True
3846	UBERON_0002405	immune system	3.046933618559959e-41	182892	2644	8688	295	4.1517517486497995e-37	True	1.66070069945992e-38	True
