	IGNORANCE_CATEGORY	ENRICHMENT_P_VALUE	TOTAL_POPULATION	TOTAL_SUCCESSES	TOTAL_IGNORANCE_CATEGORY	TOTAL_SUCCESSES_IN_IGNORANCE_CATEGORY	BONFERRONI_CRRECTION_P_VALUE	BONFERRONI_CRRECTION_P_VALUE_REJECT	BH_CRRECTION_P_VALUE	BH_CRRECTION_P_VALUE_REJECT
2	incomplete_evidence	0.0	182892	177807	8688	10380	0.0	True	0.0	True
4	superficial_relationship	0.0	182892	103185	8688	6769	0.0	True	0.0	True
7	important_consideration	1.970966830288073e-71	182892	47503	8688	2989	2.562256879374495e-70	True	8.54085626458165e-71	True
3	probable_understanding	1.504244433877911e-50	182892	35687	8688	2252	1.9555177640412843e-49	True	4.888794410103211e-50	True
9	alternative_options_controversy	1.151744964563545e-45	182892	42610	8688	2583	1.4972684539326085e-44	True	2.994536907865217e-45	True
12	question_answered_by_this_work	2.7244130743492587e-42	182892	22471	8688	1493	3.5417369966540364e-41	True	5.902894994423393e-42	True
5	future_work	2.3755075156411184e-34	182892	23394	8688	1497	3.088159770333454e-33	True	4.411656814762077e-34	True
0	full_unknown	1.5344458747444787e-07	182892	4956	8688	315	1.9947796371678223e-06	True	2.3714769600705714e-07	True
6	future_prediction	1.6417917415873186e-07	182892	366	8688	42	2.1343292640635142e-06	True	2.3714769600705714e-07	True
8	anomaly_curious_finding	0.00015417348484826363	182892	33930	8688	1741	0.0020042553030274273	True	0.0002004255303027427	True
1	explicit_question	0.9999882820952628	182892	6867	8688	256	1.0	False	0.9999997743931949	False
10	difficult_task	0.9999989175272586	182892	6341	8688	226	1.0	False	0.9999997743931949	False
11	problem_complication	0.9999997743931949	182892	12390	8688	477	1.0	False	0.9999997743931949	False
