PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
BMJ_2014_Feb_10_348_g1285.nxml.gz	0	['Antenatal lifestyle advice for women who are overweight or obese: LIMIT randomised trial\n\nAbstract\nObjective To determine the effect of antenatal dietary and lifestyle interventions on health outcomes in overweight and obese pregnant women.']	(0, 240)
BMJ_2014_Feb_10_348_g1285.nxml.gz	1	['Design Multicentre randomised trial.']	(241, 277)
BMJ_2014_Feb_10_348_g1285.nxml.gz	2	['We utilised a central telephone randomisation server, with computer generated schedule, balanced variable blocks, and stratification for parity, body mass index (BMI) category, and hospital.']	(278, 468)
BMJ_2014_Feb_10_348_g1285.nxml.gz	3	['Setting Three public maternity hospitals across South Australia.']	(469, 533)
BMJ_2014_Feb_10_348_g1285.nxml.gz	4	['Participants 2212 women with a singleton pregnancy, between 10+0 and 20+0 weeks’ gestation, and BMI ≥25.']	(534, 638)
BMJ_2014_Feb_10_348_g1285.nxml.gz	5	['Interventions 1108 women were randomised to a comprehensive dietary and lifestyle intervention delivered by research staff; 1104 were randomised to standard care and received pregnancy care according to local guidelines, which did not include such information.']	(639, 899)
BMJ_2014_Feb_10_348_g1285.nxml.gz	6	['Main outcome measures Incidence of infants born large for gestational age (birth weight ≥90th centile for gestation and sex).']	(900, 1025)
BMJ_2014_Feb_10_348_g1285.nxml.gz	7	['Prespecified secondary outcomes included birth weight >4000 g, hypertension, pre-eclampsia, and gestational diabetes.']	(1026, 1143)
BMJ_2014_Feb_10_348_g1285.nxml.gz	8	['Analyses used intention to treat principles.']	(1144, 1188)
BMJ_2014_Feb_10_348_g1285.nxml.gz	9	['Results 2152 women and 2142 liveborn infants were included in the analyses.']	(1189, 1264)
BMJ_2014_Feb_10_348_g1285.nxml.gz	10	['The risk of the infant being large for gestational age was not significantly different in the two groups (lifestyle advice 203/1075 (19%) v standard care 224/1067 (21%); adjusted relative risk 0.90, 95% confidence interval 0.77 to 1.07; P=0.24).']	(1265, 1510)
BMJ_2014_Feb_10_348_g1285.nxml.gz	11	['Infants born to women after lifestyle advice were significantly less likely to have birth weight above 4000 g (lifestyle advice 164/1075 (15%) v standard care 201/1067 (19%); 0.82, 0.68 to 0.99; number needed to treat (NNT) 28, 15 to 263; P=0.04).']	(1511, 1758)
BMJ_2014_Feb_10_348_g1285.nxml.gz	12	['There were no differences in maternal pregnancy and birth outcomes between the two treatment groups.']	(1759, 1859)
BMJ_2014_Feb_10_348_g1285.nxml.gz	13	['Conclusions For women who were overweight or obese, the antenatal lifestyle advice used in this study did not reduce the risk delivering a baby weighing above the 90th centile for gestational age and sex or improve maternal pregnancy and birth outcomes.']	(1860, 2113)
BMJ_2014_Feb_10_348_g1285.nxml.gz	14	['Trial registration Australian and New Zealand Clinical Trials Registry (ACTRN12607000161426).']	(2114, 2207)
BMJ_2014_Feb_10_348_g1285.nxml.gz	15	['Introduction\nThe World Health Organization has identified obesity as a health problem of global importance,1contributing to the burden of disease through an increased risk of cardiovascular disease and diabetes and their complications.2Overweight and obesity are commonly encountered during pregnancy, with about half of women entering pregnancy with a body mass index (BMI) ≥25.34\nThe risks associated with overweight and obesity during pregnancy are well documented and increase with increasing BMI.56Maternal complications include an increased risk of hypertension and pre-eclampsia,567gestational diabetes,567need for both induction of labour and caesarean section,567and perinatal death.89Infants born to overweight or obese women are more likely to be macrosomic,6789be admitted to intensive care,569and require treatment for jaundice or hypoglycaemia.56Furthermore, population studies consistently identify both maternal overweight and obesity and high infant birth weight (variably defined as birth weight above the 90th centile for gestational age or birth weight above 4000 g or 4500 g) as important risk factors for the development of early infant10and childhood obesity.11\nSubstantial literature on maternal weight gain in pregnancy has been summarised by the Institute of Medicine.12Several population based cohort studies have evaluated the effect of varying degrees of gestational weight gain on pregnancy outcomes for women who are overweight or obese, suggesting that, compared with higher weight gain, weight gain within the recommendations of the Institute of Medicine is associated with a reduced risk of maternal complications and of infants being born large for gestational age.13141516Most small randomised trials to date evaluating antenatal dietary and lifestyle interventions in women who are overweight or obese have primarily focused on limiting gestational weight gain, often as a surrogate measure for clinical outcomes, based on the assumption that lower weight gain will in turn improve outcomes in pregnancy and childbirth.']	(2209, 4265)
BMJ_2014_Feb_10_348_g1285.nxml.gz	16	['While meta-analyses indicate that interventions seem effective in limiting gestational weight gain, the effect on maternal and perinatal outcomes, which have been under-reported, remains to be determined.171819\nWe conducted a randomised trial to evaluate whether provision of antenatal lifestyle advice to overweight or obese pregnant women was effective in improving maternal and infant health outcomes.']	(4266, 4670)
BMJ_2014_Feb_10_348_g1285.nxml.gz	17	['Methods\n\nParticipants\nWomen were recruited between June 2008 and December 2011 from the three major metropolitan maternity hospitals within Adelaide, South Australia.']	(4672, 4838)
BMJ_2014_Feb_10_348_g1285.nxml.gz	18	['Women were eligible if they had a BMI ≥ 25 and singleton pregnancy at 10+0 to 20+0 weeks’ gestation.']	(4839, 4939)
BMJ_2014_Feb_10_348_g1285.nxml.gz	19	['Women with type 1 or 2 diabetes diagnosed before pregnancy were ineligible.']	(4940, 5015)
BMJ_2014_Feb_10_348_g1285.nxml.gz	20	['Each participant provided written informed consent, and the ethics committee at each collaborating hospital approved the protocol.20\n\nRandomisation, allocation concealment, and blinding\nAll pregnant women presenting for antenatal care at the participating centres had their height and weight measured and BMI calculated at their first antenatal appointment.']	(5016, 5373)
BMJ_2014_Feb_10_348_g1285.nxml.gz	21	['A research assistant counselled eligible women and then randomised them to receive lifestyle advice or standard care by telephoning the central randomisation service.']	(5374, 5540)
BMJ_2014_Feb_10_348_g1285.nxml.gz	22	['The computer generated randomisation schedule used balanced variable blocks in the ratio 1:1 and was prepared by an investigator not involved with recruitment or clinical care.']	(5541, 5717)
BMJ_2014_Feb_10_348_g1285.nxml.gz	23	['Stratification occurred for parity (0 v ≥1), BMI at antenatal booking (25-29.9 v≥ 30), and collaborating centre.']	(5718, 5830)
BMJ_2014_Feb_10_348_g1285.nxml.gz	24	['Outcome assessors were blinded to the treatment group allocated.']	(5831, 5895)
BMJ_2014_Feb_10_348_g1285.nxml.gz	25	['Intervention—lifestyle advice\nWomen randomised to lifestyle advice participated in a comprehensive dietary and lifestyle intervention over the remainder of their pregnancy that included a combination of dietary, exercise, and behavioural strategies delivered by a research dietician and trained research assistants.20Women were provided with dietary advice consistent with current Australian standards21to maintain a balance of carbohydrates, fat, and protein and to reduce intake of foods high in refined carbohydrates and saturated fats, while increasing intake of fibre and promoting consumption of two servings of fruit, five servings of vegetables, and three servings of dairy each day.21Physical activity advice primarily encouraged women to increase their amount of walking and incidental activity.22Tailoring of the intervention was informed by stage theories of health decision making.23\nWithin two weeks of randomisation, women attended a planning session with a research dietician, during which a detailed dietary and exercise history was obtained.']	(5897, 6956)
BMJ_2014_Feb_10_348_g1285.nxml.gz	26	['Women were provided with individualised information, including meal plans, healthy recipes that were quick to prepare, simple food substitutions (including reducing sugar sweetened soft drinks and fruit juices, reducing added sugar and foods high in refined carbohydrates, and low fat alternatives), options for healthy snacking and eating out, and guidelines for healthy food preparation.']	(6957, 7346)
BMJ_2014_Feb_10_348_g1285.nxml.gz	27	['Women were encouraged to set achievable goals for dietary and exercise change, supported to make these lifestyle changes, and asked to self monitor their progress through the use of a work book provided.']	(7347, 7550)
BMJ_2014_Feb_10_348_g1285.nxml.gz	28	['Women were encouraged to identify potential barriers to implementation of their dietary and physical activity goals.']	(7551, 7667)
BMJ_2014_Feb_10_348_g1285.nxml.gz	29	['Using these perceived barriers, women were assisted to problem solve and to develop individualised strategies to facilitate their successful implementation.']	(7668, 7824)
BMJ_2014_Feb_10_348_g1285.nxml.gz	30	['This information was reinforced during subsequent inputs provided by the research dietician (at 28 weeks’ gestation) and trained research assistants (via telephone call at 22, 24, and 32 weeks’ gestation and a face to face visit at 36 weeks’ gestation).']	(7825, 8078)
BMJ_2014_Feb_10_348_g1285.nxml.gz	31	['Standard care\nWomen randomised to standard care continued to receive their pregnancy care according to state-wide perinatal practice and local hospital guidelines, which during the course of the trial did not include routine provision of advice related to diet, exercise, or gestational weight gain.24\n\nFollow-up of women in both groups\nAll women had their ongoing clinical care provided by clinicians at their planned hospital of birth.']	(8080, 8517)
BMJ_2014_Feb_10_348_g1285.nxml.gz	32	['Consistent with state-wide perinatal practices, all women were encouraged to undergo screening for gestational diabetes.25After birth, a research assistant not involved in providing the intervention and blinded to treatment allocation obtained information relating to antenatal, birth, and infant outcomes from the case notes.']	(8518, 8844)
BMJ_2014_Feb_10_348_g1285.nxml.gz	33	['Outcomes\nThe primary outcome was the incidence of infants born large for gestational age (birth weight ≥90th centile for gestational age and infant sex).26While large for gestational age, high infant birth weight, and infant macrosomia (variably defined as birth weight above 4000 g or 4500 g) are often used clinically, incorporation of a birthweight centile for gestational age was considered important, reflecting the possibility that the intervention might modify fetal growth across pregnancy and therefore plausibly mediate high infant birth weight across the gestational age spectrum.']	(8846, 9437)
BMJ_2014_Feb_10_348_g1285.nxml.gz	34	['Prespecified secondary infant outcomes included preterm birth (before 37 weeks); mortality (stillbirth (intrauterine fetal death after 20 weeks’ gestation and before birth), or infant death (death of a liveborn infant before hospital discharge, excluding lethal congenital anomalies)); weight >4000 g; hypoglycaemia requiring intravenous treatment; admission to neonatal intensive care unit or special care baby unit; hyperbilirubinaemia requiring phototherapy; nerve palsy (peripheral nerve injury, including spinal cord injury, present at discharge from hospital); fracture (basal skull or other fracture identified at birth); birth trauma (subdural or intracerebral haemorrhage, spinal cord injury, or peripheral nerve injury present at hospital discharge); or shoulder dystocia (one or more of moderate traction, suprapubic pressure, lithotomy position, McRoberts manoeuvre, rotation into the oblique plane, delivery of the posterior shoulder, cleidotomy, symphysiotomy, or Zavanelli manoeuvre to deliver the fetal shoulders).']	(9438, 10468)
BMJ_2014_Feb_10_348_g1285.nxml.gz	35	['Prespecified secondary maternal outcomes included hypertension (systolic blood pressure ≥140 mm Hg and/or diastolic ≥90 mm Hg on two occasions four or more hours apart) and pre-eclampsia27; gestational diabetes (positive 75g oral glucose tolerance test result with fasting blood glucose ≥5.5 mmol/L or 2 hour ≥7.8 mmol/L)25; need for and length of antepartum hospital stay; antepartum haemorrhage requiring stay in hospital; preterm ruptured membranes before labour; term ruptured membranes before labour; chorioamnionitis requiring antibiotics during labour; need for induction of labour; antibiotic use during labour; caesarean section; postpartum haemorrhage (>600 mL); perineal trauma; wound infection; endometritis; antibiotics postpartum; postpartum length of hospital stay; thromboembolic disease; and maternal death.']	(10469, 11293)
BMJ_2014_Feb_10_348_g1285.nxml.gz	36	['In a post hoc analysis, we categorised gestational weight gain (defined as the difference in weight measured between 36 weeks’ gestation (or closest to birth) and the antenatal booking visit) as the proportion of women whose weight gain was below, within, or exceeded the Institute of Medicine recommendations based on early BMI category.12\n\nStatistical analysis\nAnalyses were performed on an intention to treat basis, according to the treatment group allocated at randomisation.']	(11294, 11773)
BMJ_2014_Feb_10_348_g1285.nxml.gz	37	['Multiple imputation was performed separately by treatment group with chained equations to create 100 complete datasets.']	(11774, 11893)
BMJ_2014_Feb_10_348_g1285.nxml.gz	38	['Sensitivity analyses with the available data and different imputation models produced similar results.']	(11894, 11996)
BMJ_2014_Feb_10_348_g1285.nxml.gz	39	['Binary outcomes were analysed with log binomial regression, with treatment effects expressed as relative risks, or Fisher’s exact tests.']	(11997, 12133)
BMJ_2014_Feb_10_348_g1285.nxml.gz	40	['Continuous outcomes were analysed with linear regression, with treatment effects expressed as differences in means.']	(12134, 12249)
BMJ_2014_Feb_10_348_g1285.nxml.gz	41	['Count outcomes were analysed with Poisson regression, or negative binomial regression where overdispersion was present, with treatment effects expressed as ratios of means.']	(12250, 12422)
BMJ_2014_Feb_10_348_g1285.nxml.gz	42	['Both unadjusted and adjusted analyses were performed, with adjustment for the stratification variables.']	(12423, 12526)
BMJ_2014_Feb_10_348_g1285.nxml.gz	43	['Outcomes derived from birth weight were additionally adjusted for maternal age, socioeconomic status, and maternal smoking.']	(12527, 12650)
BMJ_2014_Feb_10_348_g1285.nxml.gz	44	['Significance was set at P<0.05 (two sided) with no adjustment for multiple comparisons.']	(12651, 12738)
BMJ_2014_Feb_10_348_g1285.nxml.gz	45	['All analyses followed a prespecified analysis plan with SAS v9.3 (Cary, NC, US).']	(12739, 12819)
BMJ_2014_Feb_10_348_g1285.nxml.gz	46	['Post hoc outcomes are clearly identified and no imputation was performed.']	(12820, 12893)
BMJ_2014_Feb_10_348_g1285.nxml.gz	47	['We estimated that a sample size of 2180 women would have 80% statistical power (two tailed α level 0.05) to detect a 30% relative reduction28in the occurrence of infants born large for gestational age from 14.4% to 10.1%, allowing for 15% attrition.3\n\nResults\nThe figure outlines the flow of participants in the trial.']	(12894, 13212)
BMJ_2014_Feb_10_348_g1285.nxml.gz	48	['A total of 2152 women and 2142 liveborn infants were included in the intention to treat analyses.']	(13213, 13310)
BMJ_2014_Feb_10_348_g1285.nxml.gz	49	['There were two maternal deaths (motor vehicle collision in lifestyle advice group; and ruptured maternal splenic artery aneurysm in standard care group).']	(13311, 13464)
