PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
BMJ_2010_Apr_29_340_c1640.nxml.gz	0	['Low maternal exposure to ultraviolet radiation in pregnancy, month of birth, and risk of multiple sclerosis in offspring: longitudinal analysis\n\nAbstract\nObjectives To investigate the distribution of month of birth in people with multiple sclerosis in Australia.']	(0, 262)
BMJ_2010_Apr_29_340_c1640.nxml.gz	1	['To use the large regional and seasonal variation in ambient ultraviolet radiation in Australia to explore the association between exposure to ultraviolet radiation during pregnancy and subsequent risk of multiple sclerosis in offspring.']	(263, 499)
BMJ_2010_Apr_29_340_c1640.nxml.gz	2	['Design Data were gathered on birth month and year (1920-1950), sex, and state of birth for all patients surveyed in 1981 in Queensland, Western Australia, New South Wales (including Australian Capital Territory), South Australia, and Hobart (Tasmania).']	(500, 752)
BMJ_2010_Apr_29_340_c1640.nxml.gz	3	['Population denominators were derived from the 1981 census and supplementary birth registration data.']	(753, 853)
BMJ_2010_Apr_29_340_c1640.nxml.gz	4	['A variable for exposure to ambient ultraviolet radiation “at birth” was generated from monthly averages of daily total ambient ultraviolet radiation for each region.']	(854, 1019)
BMJ_2010_Apr_29_340_c1640.nxml.gz	5	['Negative binomial regression models were used to investigate exposure to ambient ultraviolet radiation at birth and at various intervals before birth.']	(1020, 1170)
BMJ_2010_Apr_29_340_c1640.nxml.gz	6	['Setting Patient data from multiple sclerosis prevalence surveys carried out in 1981; 1981 Australian census (giving the total number of people born in Australia and still alive and living in Australia in 1981 by year of birth 1920-50); supplementary Australian birth registration data covering the same birth years by month and state.']	(1171, 1505)
BMJ_2010_Apr_29_340_c1640.nxml.gz	7	['Participants 1524 patients with multiple sclerosis born in Australia 1920-50 from total population of 2\u2009468\u2009779.']	(1506, 1618)
BMJ_2010_Apr_29_340_c1640.nxml.gz	8	['Main outcome measure Cumulative incidence rate of multiple sclerosis.']	(1619, 1688)
BMJ_2010_Apr_29_340_c1640.nxml.gz	9	['Results There was a pattern of risk of multiple sclerosis with month of birth (adjusted incidence rate ratio 1.32, 95% confidence interval 1.10 to 1.58, P<0.01, for those born in November-December compared with those born in May-June).']	(1689, 1924)
BMJ_2010_Apr_29_340_c1640.nxml.gz	10	['This pattern mirrored that previously reported in the northern hemisphere.']	(1925, 1999)
BMJ_2010_Apr_29_340_c1640.nxml.gz	11	['Region of birth was related to risk.']	(2000, 2036)
