	OBO_ID	OBO_LABEL	ENRICHMENT_P_VALUE	TOTAL_POPULATION	TOTAL_SUCCESSES	TOTAL_IGNORANCE_CATEGORY	TOTAL_SUCCESSES_IN_IGNORANCE_CATEGORY	BONFERRONI_CRRECTION_P_VALUE	BONFERRONI_CRRECTION_P_VALUE_REJECT	BH_CRRECTION_P_VALUE	BH_CRRECTION_P_VALUE_REJECT
5427	UBERON_0001987	placenta	0.0	182892	3752	33885	3752	0.0	True	0.0	True
6399	UBERON_0000310	breast	0.0	182892	1230	33885	1230	0.0	True	0.0	True
12608	CHEBI_15377	water	0.0	182892	968	33885	968	0.0	True	0.0	True
2303	CHEBI_17234	glucose	0.0	182892	3265	33885	3265	0.0	True	0.0	True
4011	CHEBI_27563	arsenic atom	0.0	182892	757	33885	757	0.0	True	0.0	True
13577	GO_0065007	biological regulation	0.0	182892	5256	33885	2395	0.0	True	0.0	True
7956	UBERON_0000955	brain	0.0	182892	3102	33885	3102	0.0	True	0.0	True
6316	UBERON_0002046	thyroid gland	0.0	182892	970	33885	970	0.0	True	0.0	True
1990	UBERON_0001013	adipose tissue	0.0	182892	871	33885	871	0.0	True	0.0	True
1929	SO_0000704	gene	0.0	182892	10620	33885	10620	0.0	True	0.0	True
1912	GO_0042571	immunoglobulin complex, circulating	0.0	182892	606	33885	606	0.0	True	0.0	True
12391	GO_0007596	blood coagulation	0.0	182892	888	33885	888	0.0	True	0.0	True
11687	UBERON_0002048	lung	0.0	182892	1133	33885	1133	0.0	True	0.0	True
5722	UBERON_0001898	hypothalamus	0.0	182892	775	33885	775	0.0	True	0.0	True
1526	UBERON_0000160	intestine	0.0	182892	851	33885	851	0.0	True	0.0	True
6130	GO_0010467	gene expression	0.0	182892	6405	33885	4312	0.0	True	0.0	True
11076	GO_0007568	aging	0.0	182892	801	33885	801	0.0	True	0.0	True
8512	UBERON_0002107	liver	0.0	182892	2215	33885	2215	0.0	True	0.0	True
3780	UBERON_0002113	kidney	0.0	182892	1353	33885	1353	0.0	True	0.0	True
6550	GO_0005739	mitochondrion	0.0	182892	672	33885	672	0.0	True	0.0	True
9062	UBERON_0002240	spinal cord	0.0	182892	1147	33885	816	0.0	True	0.0	True
2865	GO_0007420	brain development	0.0	182892	517	33885	496	0.0	True	0.0	True
10553	UBERON_0000178	blood	0.0	182892	5032	33885	5032	0.0	True	0.0	True
2718	CL_0000084	T cell	0.0	182892	612	33885	612	0.0	True	0.0	True
3235	PR_000045358	insulin family protein	1.1e-322	182892	3778	33885	1720	1.48107e-318	True	5.9243e-320	True
9315	GO_0006915	apoptotic process	2.8497074e-317	182892	431	33885	431	3.8830113098e-313	True	1.493465888e-314	True
10097	GO_0006955	immune response	5.1758748011981125e-304	182892	413	33885	413	7.052647004112549e-300	True	2.6120914830046477e-301	True
11440	CHEBI_16412	lipopolysaccharide	5.620101598654767e-279	182892	379	33885	379	7.657950438326986e-275	True	2.734982299402495e-276	True
262	CHEBI_18059	lipid	2.026669705127237e-269	182892	1341	33885	828	2.761540140206373e-265	True	9.522552207608183e-267	True
4365	GO_0005634	nucleus	4.7726803346326653e-262	182892	356	33885	356	6.503254223970469e-258	True	2.1677514079901566e-259	True
242	UBERON_0000479	tissue	3.097953499497759e-255	182892	1737	33885	955	4.221271438415647e-251	True	1.3617004640050473e-252	True
12236	UBERON_0002405	immune system	5.3883659872307864e-214	182892	2644	33885	1185	7.342187494200669e-210	True	2.294433591937709e-211	True
12252	GO_0045202	synapse	7.99175078691816e-210	182892	285	33885	285	1.0889559622254684e-205	True	3.29986655219839e-207	True
1812	GO_0006306	DNA methylation	6.608279702277574e-191	182892	1904	33885	916	9.004441922323423e-187	True	2.6483652712715946e-188	True
1115	GO_0006936	muscle contraction	4.2387232144867715e-184	182892	250	33885	250	5.775684252059675e-180	True	1.6501955005884785e-181	True
4334	NCBITaxon_10088	Mus <genus>	3.891951618148257e-183	182892	8040	33885	2541	5.3031732748888155e-179	True	1.4731036874691154e-180	True
11146	CL_0000771	eosinophil	9.435131863811822e-177	182892	240	33885	240	1.2856310677629988e-172	True	3.474678561521619e-174	True
11563	CL_0000775	neutrophil	8.193288979502528e-174	182892	236	33885	236	1.1164175563470145e-169	True	2.9379409377553014e-171	True
7815	GO_0006629	lipid metabolic process	6.171255303506018e-168	182892	228	33885	228	8.4089524765573e-164	True	2.1561416606557176e-165	True
7936	GO_0006006	glucose metabolic process	6.06092659569307e-154	182892	213	33885	212	8.258618579291377e-150	True	2.0646546448228445e-151	True
3913	GO_0005783	endoplasmic reticulum	1.4170742779038526e-149	182892	203	33885	203	1.9309054110717894e-145	True	4.7095253928580234e-147	True
184	GO_0016020	membrane	9.169523221549577e-141	182892	191	33885	191	1.2494392341683454e-136	True	2.974855319448441e-138	True
701	UBERON_0001155	colon	7.924922960963554e-138	182892	187	33885	187	1.079850002660894e-133	True	2.5112790759555673e-135	True
