	ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)	CLUSTER	PREPROCESSED_SENTENCE
S84-PMC3156327	PMC3156327	4/2011	S84-PMC3156327	['allergic disease is ASSOCIATED with significant differences in this pattern of Immune Development: firstly, in the neonatal T Cell function and, secondly, in the Postnatal maturation PATTERNS.']	[('SUPERFICIAL_RELATIONSHIP', 20), ('SUPERFICIAL_RELATIONSHIP', 183)]	2	[('GO_0001822', 'kidney development', 79, 'immune development'), ('UBERON_0002405', 'immune system', 79, 'immune'), ('CL_0000084', 'T cell', 124, 'T cell'), ('GO_0007567', 'parturition', 162, 'postnatal')]	0	['allergic disease : firstly, neonatal cell and, secondly, postnatal maturation patterns.']
S134-PMC4377888	PMC4377888	3/2015	S134-PMC4377888	['Arcade formation is a period of rapid Nephron Formation and THEREFORE disruption of Kidney Development durign this CRITICAL window CAN have a PROFOUND IMPACT.']	[('PROBABLE_UNDERSTANDING', 60), ('IMPORTANT_CONSIDERATION', 115), ('INCOMPLETE_EVIDENCE', 131), ('IMPORTANT_CONSIDERATION', 142), ('SUPERFICIAL_RELATIONSHIP', 151)]	5	[('GO_0006953', 'acute-phase response', 0, 'Arcade'), ('GO_0072006', 'nephron development', 38, 'nephron formation'), ('UBERON_0001285', 'nephron', 38, 'nephron'), ('GO_0001822', 'kidney development', 84, 'kidney development'), ('UBERON_0002113', 'kidney', 84, 'kidney')]	0	['arcade formation period rapid nephron formation  durign window impact.']
S71-PMC3227644	PMC3227644	11/2011	S71-PMC3227644	['HOWEVER, such EFFECTS were more modest than observed in Pregnancy which SUGGESTS the EFFECTS of the developmental environment on the female offspring were cryptic UNLESS challenged by the metabolic demands of Pregnancy.10.1371/journal.pone.0028282.g004\n\ncaption (fig): figure 4\noffspring phenotype and mrna Expression of Genes INVOLVED in Hepatic Gluconeogenesis and Ketogenesis.']	[('ALTERNATIVE_OPTIONS_CONTROVERSY', 0), ('ANOMALY_CURIOUS_FINDING', 0), ('SUPERFICIAL_RELATIONSHIP', 14), ('INCOMPLETE_EVIDENCE', 72), ('SUPERFICIAL_RELATIONSHIP', 85), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 163), ('SUPERFICIAL_RELATIONSHIP', 327)]	7	[('GO_0007565', 'female pregnancy', 56, 'pregnancy'), ('GO_0007565', 'female pregnancy', 209, 'pregnancy'), ('GO_0010467', 'gene expression', 307, 'expression'), ('SO_0000704', 'gene', 321, 'genes'), ('GO_0007568', 'aging', 339, 'hepatic'), ('UBERON_0002107', 'liver', 339, 'hepatic'), ('GO_0006094', 'gluconeogenesis', 347, 'gluconeogenesis'), ('GO_0001822', 'kidney development', 367, 'ketogenesis')]	0	['however, pregnancy developmental environment female offspring cryptic metabolic pregnancy.10.1371/journal.pone.0028282.g004\n\ncaption (fig): figure 4\noffspring phenotype mrna expression genes hepatic gluconeogenesis .']
S174-PMC3534399	PMC3534399	10/2012	S174-PMC3534399	['in the event that NONE of the supplementation combinations under trial have a marked impact on Immune Development across the whole cohort, data obtained MAY help pinpoint specific vulnerable groups (such as women with low Pre-Pregnancy bmi’s for whom intervention MAY BE most efficacious), for FURTHER TARGETED RESEARCH.']	[('INCOMPLETE_EVIDENCE', 18), ('INCOMPLETE_EVIDENCE', 153), ('INCOMPLETE_EVIDENCE', 264), ('FUTURE_WORK', 294)]	4	[('GO_0001822', 'kidney development', 95, 'immune development'), ('UBERON_0002405', 'immune system', 95, 'immune'), ('GO_0007568', 'aging', 222, 'pre'), ('GO_0007565', 'female pregnancy', 226, 'pregnancy')]	0	['event supplementation combinations marked  whole cohort, (such women pre-pregnancy bmi’s efficacious), research.']
S58-PMC4918713	PMC4918713	6/2015	S58-PMC4918713	['THERE IS EVIDENCE from Animal and Human studies of teratogenicity of natural and synthetic Retinoids through AFFECTING the Development Of Cephalic Neural-Crest Cells and their derivatives and perhaps INTERFERING with the Closure Of the Neural Tube.46\n\nFetal Organ Development\nid MAY also interfere with normal fetal Kidney Development by reducing Nephron number.39this MAY result in the OBSERVED ASSOCIATION between maternal id and high Blood pressure in the offspring AS Kidney Nephron number is an IMPORTANT DETERMINANT of Blood pressure.']	[('INCOMPLETE_EVIDENCE', 0), ('SUPERFICIAL_RELATIONSHIP', 109), ('SUPERFICIAL_RELATIONSHIP', 200), ('INCOMPLETE_EVIDENCE', 279), ('INCOMPLETE_EVIDENCE', 369), ('INCOMPLETE_EVIDENCE', 387), ('SUPERFICIAL_RELATIONSHIP', 396), ('PROBABLE_UNDERSTANDING', 469), ('IMPORTANT_CONSIDERATION', 500), ('SUPERFICIAL_RELATIONSHIP', 510)]	10	[('NCBITaxon_33208', 'Metazoa', 23, 'animal'), ('NCBITaxon_9606', 'Homo sapiens', 34, 'human'), ('CHEBI_26537', 'retinoid', 91, 'retinoids'), ('GO_0048468', 'cell development', 123, 'development of ... cells'), ('UBERON_0001456', 'face', 138, 'cephalic'), ('UBERON_0002342', 'neural crest', 147, 'neural-crest'), ('GO_0043277', 'apoptotic cell clearance', 221, 'closure of ... neural tube'), ('UBERON_0001049', 'neural tube', 236, 'neural tube'), ('GO_0008618', '7-methylguanosine metabolic process', 252, 'Fetal'), ('GO_0048513', 'animal organ development', 258, 'Organ Development'), ('UBERON_0000033', 'head', 258, 'Organ'), ('GO_0001822', 'kidney development', 316, 'kidney development'), ('UBERON_0002113', 'kidney', 316, 'kidney'), ('UBERON_0001285', 'nephron', 347, 'nephron'), ('UBERON_0000178', 'blood', 437, 'blood'), ('UBERON_0002113', 'kidney', 472, 'kidney'), ('UBERON_0001285', 'nephron', 479, 'nephron'), ('UBERON_0000178', 'blood', 525, 'blood')]	0	['animal human teratogenicity natural synthetic retinoids cephalic neural-crest cells derivatives closure neural tube.46\n\nfetal organ development\nid normal fetal  reducing nephron number.39this result maternal id blood pressure offspring kidney nephron blood pressure.']
S26-PMC5716389	PMC5716389	9/2017	S26-PMC5716389	['KEY maternal nutrition/Nutrients and their POTENTIAL EFFECT on fetal Immunity and vaccine response.Nutrientrole in immunityfetal Immune deficitvaccines that MAY BE AFFECTED pem– building blocks of proteins and peptides– precursors for the Synthesis Of nitrogenous Hormones– substrates for the Production Of numerous Substances, including dna, Neurotransmitters, Vasodilators and Signaling Molecules– major Metabolic fuels for the Small Intestine and cells Of the Immune System– iugr causing reduced fetal Thymic function– neurological damage– anemia– impaired Blood flowall vaccineszinc– Fetal Growth and Development, Regulation Of Food– Intake, Development Of Immune System– Thymic atrophy– distortion of the Cell-Mediated Immune Response– impaired Mucosal integrityall vaccinesvitamin amaintaining the integrity of Mucosal Surfaces, Cell-Mediated and humoral Immune Responsesweakened Mucosal integrityoral vaccines like rota and oral polio more affected than nonoral vaccinesvitamin d– Promotion Of Th2 and Treg Signaling– Cell-Mediated and humoral Immune Responsesimpaired absorption of dietary Calcium and phosphorentus to support fetal growth and developmmore EFFECT on live attenuated than killed vaccinesvitamin cconnective Tissue growth and developmentprotect mother and fetus from oxidative stress– iugr– subcutaneous hemorrhage– defective collagen structureall vaccinesfolate– Cell Proliferation, Central Nervous System Cell Repair– appropriate epigenetic Expression of the Genome– Immune Development– Formation Of Red Blood Cells– impaired Immune System– neural defectslive vaccinesiodineproduction of Thyroid Hormonespoor Immune Responseall vaccinesiron– Oxygen binding, Transport, storage and sensingmetabolism Of Nutrients including Proteins, Lipids and Glucose– Mitochondrial Electron Transport and Atp Production dna synthesis, Antioxidative Reactions, immunity– iugr– impaired Immune Systemall vaccines\niugr:\xa0Intrauterine growth retardation; pem:\xa0protein energy malnutrition.']	[('IMPORTANT_CONSIDERATION', 0), ('INCOMPLETE_EVIDENCE', 43), ('SUPERFICIAL_RELATIONSHIP', 53), ('INCOMPLETE_EVIDENCE', 157), ('SUPERFICIAL_RELATIONSHIP', 164), ('SUPERFICIAL_RELATIONSHIP', 1165)]	6	[('CHEBI_33284', 'nutrient', 23, 'nutrients'), ('GO_0007566', 'embryo implantation', 69, 'immunity'), ('CHEBI_7772', 'omeprazole', 99, 'NutrientRole'), ('UBERON_0002405', 'immune system', 129, 'immune'), ('GO_0007416', 'synapse assembly', 239, 'synthesis of ... hormones'), ('GO_0043277', 'apoptotic cell clearance', 293, 'production of ... substances'), ('CHEBI_25512', 'neurotransmitter', 343, 'neurotransmitters'), ('GO_0042118', 'endothelial cell activation', 362, 'vasodilators'), ('CHEBI_62488', 'signalling molecule', 379, 'signaling molecules'), ('GO_0008152', 'metabolic process', 406, 'metabolic'), ('UBERON_0002108', 'small intestine', 430, 'small intestine'), ('CL_0000024', 'oogonial cell', 456, 'of'), ('UBERON_0002405', 'immune system', 463, 'immune system'), ('CL_0000034', 'stem cell', 470, 'system'), ('UBERON_0002370', 'thymus', 505, 'thymic'), ('UBERON_0000178', 'blood', 560, 'blood'), ('GO_0008618', '7-methylguanosine metabolic process', 588, 'Fetal'), ('GO_0008406', 'gonad development', 594, 'growth ... development'), ('GO_0006450', 'regulation of translational fidelity', 618, 'regulation of food'), ('CHEBI_33290', 'food', 632, 'food'), ('GO_0007631', 'feeding behavior', 638, 'Intake'), ('GO_0002206', 'gene conversion of immunoglobulin genes', 646, 'development of immune system'), ('UBERON_0002405', 'immune system', 661, 'immune system'), ('UBERON_0002370', 'thymus', 676, 'Thymic'), ('GO_0006968', 'cellular defense response', 710, 'cell-mediated immune response'), ('UBERON_0002405', 'immune system', 724, 'immune'), ('UBERON_0000344', 'mucosa', 750, 'mucosal'), ('UBERON_0000344', 'mucosa', 817, 'mucosal'), ('GO_0009986', 'cell surface', 825, 'surfaces'), ('GO_0098761', 'cellular response to interleukin-7', 835, 'cell-mediated ... immune responsesWeakened'), ('UBERON_0000344', 'mucosa', 886, 'mucosal'), ('GO_0007565', 'female pregnancy', 988, 'Promotion of'), ('GO_0042633', 'hair cycle', 1001, 'Th2 ...'), ('CL_0000901', 'Tr1 cell', 1009, 'Treg'), ('GO_0008036', 'diuretic hormone receptor activity', 1009, 'Treg signaling'), ('GO_0071321', 'cellular response to cGMP', 1025, 'Cell-mediated ... immune responsesImpaired'), ('UBERON_0002405', 'immune system', 1051, 'immune'), ('CHEBI_22313', 'alkaline earth metal atom', 1098, 'calcium'), ('UBERON_0000479', 'tissue', 1231, 'tissue'), ('GO_0008283', 'cell proliferation', 1387, 'Cell proliferation'), ('UBERON_0001017', 'central nervous system', 1407, 'central nervous system'), ('CL_0000047', 'neuronal stem cell', 1415, 'nervous system cell'), ('GO_0007267', 'cell-cell signaling', 1415, 'nervous system'), ('GO_0008219', 'cell death', 1430, 'cell repair'), ('GO_0010467', 'gene expression', 1466, 'expression'), ('SO_0001026', 'genome', 1484, 'genome'), ('GO_0001822', 'kidney development', 1492, 'Immune development'), ('GO_0048468', 'cell development', 1512, 'Formation of ... blood cells'), ('CL_0000232', 'erythrocyte', 1525, 'red blood cells'), ('UBERON_0000178', 'blood', 1529, 'blood'), ('UBERON_0002405', 'immune system', 1551, 'immune system'), ('CHEBI_71207', '(2Z,4E)-2-hydroxy-6-oxohexa-2,4-dienoic acid', 1613, 'thyroid hormonesPoor'), ('UBERON_0001478', 'teres major muscle', 1613, 'thyroid hormonesPoor'), ('GO_0002443', 'leukocyte mediated immunity', 1634, 'immune responseAll'), ('UBERON_0002405', 'immune system', 1634, 'immune'), ('CHEBI_33309', 'noble gas atom', 1667, 'Oxygen'), ('GO_0006409', 'tRNA export from nucleus', 1683, 'transport ... of nutrients'), ('CHEBI_33284', 'nutrient', 1727, 'nutrients'), ('GO_0007567', 'parturition', 1747, 'proteins'), ('CHEBI_18059', 'lipid', 1757, 'lipids'), ('CHEBI_17234', 'glucose', 1768, 'glucose'), ('GO_0005739', 'mitochondrion', 1777, 'Mitochondrial'), ('CHEBI_10545', 'electron', 1791, 'electron'), ('GO_0006809', 'nitric oxide biosynthetic process', 1800, 'transport'), ('GO_0006754', 'ATP biosynthetic process', 1814, 'ATP production'), ('GO_0019985', 'translesion synthesis', 1844, 'antioxidative reactions'), ('UBERON_0004204', 'outer medullary collecting duct', 1894, 'immune systemAll'), ('UBERON_0035108', 'temporalis fascia', 1926, 'Intrauterine')]	0	['key maternal nutrition/nutrients fetal immunity vaccine response.nutrientrole immunityfetal immune deficitvaccines pem– blocks proteins peptides– precursors synthesis nitrogenous hormones– production substances, dna, neurotransmitters, vasodilators signaling molecules– metabolic fuels intestine cells immune system– iugr fetal thymic function– neurological damage– anemia– blood flowall vaccineszinc– fetal development, food– intake, immune system– thymic atrophy– cell-mediated immune response– mucosal integrityall vaccinesvitamin amaintaining integrity mucosal surfaces, cell-mediated humoral immune responsesweakened mucosal integrityoral vaccines rota oral polio nonoral vaccinesvitamin d– th2 treg signaling– cell-mediated humoral immune responsesimpaired absorption dietary calcium phosphorentus fetal developmmore live attenuated killed vaccinesvitamin cconnective tissue developmentprotect mother fetus oxidative stress– iugr– subcutaneous hemorrhage– defective collagen structureall vaccinesfolate– cell proliferation, central nervous system cell repair– epigenetic expression genome– formation red blood cells– immune system– neural defectslive vaccinesiodineproduction thyroid hormonespoor immune responseall vaccinesiron– oxygen binding, transport, storage sensingmetabolism nutrients proteins, lipids glucose– mitochondrial electron transport atp production dna synthesis, antioxidative reactions, immunity– iugr– immune systemall vaccines\niugr:\xa0intrauterine retardation; pem:\xa0protein energy malnutrition.']
S170-PMC4377888	PMC4377888	3/2015	S170-PMC4377888	['these molecular changes were ACCOMPANIED with increased Apoptosis in the Nephrogenic zone (the area of active Nephrogenesis) of the Kidney [115].']	[('SUPERFICIAL_RELATIONSHIP', 29)]	1	[('GO_0006915', 'apoptotic process', 56, 'apoptosis'), ('GO_0001822', 'kidney development', 73, 'nephrogenic'), ('GO_0001822', 'kidney development', 110, 'nephrogenesis'), ('UBERON_0002113', 'kidney', 132, 'kidney')]	0	['molecular changes apoptosis  zone (the kidney [115].']
S209-PMC4377888	PMC4377888	3/2015	S209-PMC4377888	['the removal of Dicer lead TO elevated Apoptosis and premature termination of Nephrogenesis.']	[('QUESTION_ANSWERED_BY_THIS_WORK', 26)]	1	[('CHEBI_37958', 'dye', 15, 'Dicer'), ('PR_000006305', 'dermcidin', 15, 'Dicer'), ('GO_0006915', 'apoptotic process', 38, 'apoptosis'), ('GO_0001822', 'kidney development', 77, 'nephrogenesis')]	0	['removal dicer elevated apoptosis premature termination .']
S202-PMC4789467	PMC4789467	3/2016	S202-PMC4789467	['dysregulated Glial Cell Line-Derived Neurotrophic Factor (Gdnf) and Mitogen-activated protein kinase-Extracellular signal-Regulated protein kinase (mapk–erk) signaling and increased Apoptosis (henry et al.,2010; tafti et al.,2011), IN conjunction with elevated vasopressin (sebaai et al.,2002b), angiotensin ii and Aldosterone levels (Ang Ii; riviere et al.,2005), MAY BE key UNDERLYING FACTORS in the pathogenesis of reduced offspring Nephrogenesis and programmed Hypertension.']	[('QUESTION_ANSWERED_BY_THIS_WORK', 232), ('INCOMPLETE_EVIDENCE', 365), ('SUPERFICIAL_RELATIONSHIP', 376), ('SUPERFICIAL_RELATIONSHIP', 387)]	4	[('CL_0000125', 'glial cell', 13, 'glial cell'), ('PR_000007939', 'glial fibrillary acidic protein', 13, 'glial cell line-derived neurotrophic factor'), ('PR_000007939', 'glial fibrillary acidic protein', 58, 'GDNF'), ('CHEBI_52290', 'mitogen', 68, 'mitogen'), ('GO_0005576', 'extracellular region', 101, 'extracellular'), ('GO_0065007', 'biological regulation', 122, 'regulated'), ('GO_0006915', 'apoptotic process', 182, 'apoptosis'), ('CHEBI_27584', 'aldosterone', 315, 'aldosterone'), ('PR_000003539', 'ATP-binding cassette sub-family A member 12', 335, 'Ang II'), ('GO_0001822', 'kidney development', 436, 'nephrogenesis'), ('GO_0007599', 'hemostasis', 465, 'hypertension')]	0	['dysregulated glial cell line-derived neurotrophic (gdnf) mitogen-activated protein kinase-extracellular signal-regulated protein kinase (mapk–erk) signaling apoptosis (henry et al.,2010; tafti et al.,2011), elevated vasopressin (sebaai et al.,2002b), angiotensin ii aldosterone levels (ang ii; riviere et al.,2005), pathogenesis offspring  programmed hypertension.']
S112-PMC3600625	PMC3600625	2/2013	S112-PMC3600625	['in experimental studies it HAS BEEN demonstrated that hypertensive offspring CAN be produced by a range of Nutrient restrictions provided during Pregnancy in a variety of species.37–39one of the POSTULATED mechanisms is a reduction in Kidney Nephron number, which MAY lead to hyperfiltration and ultimately to glomerulosclerosis.40,41in Humans, Nephrogenesis occurs between weeks 8 and 36 of Gestation with no POTENTIAL for increase after Birth, SUGGESTING that Pregnancy MAY BE acritical window for development.40HOWEVER, data from Human studies on the IMPACT of environmental exposures during Pregnancy, including diet, are SCARCE with the MAJORITY of EVIDENCE derived from studies of Birth weight ASSOCIATIONS.2,3,42\nthe health EFFECTS of chronic Arsenic exposure HAVE BEEN extensively studied, PARTICULARLY in areas such as bangladesh where contamination of drinking Water is often particularly high, and HAVE BEEN FOUND to increase all-cause10,43and Cardiovascular-related mortality.10recent data from the national Health and nutrition examination survey (nhanes) in the us FOUND no association in a cross-sectional analysis between Urinary Arsenic (much lower concentrations, APPROXIMATELY 10% of the present study levels) or cadmium levels and hypertension in us Adults.44,45there was, HOWEVER, SOME EVIDENCE that Blood cadmium levels MAY BE ASSOCIATED with raised diastolic, BUT not systolic, Blood pressure.45in a RECENT systematic REVIEW of the EFFECT of Arsenic exposure on Cardiovascular RISK, the authors REPORTED that the MAJORITY of studies used ecological exposure assessment (drinking Water) and that most were not of sufficient quality to allow for a definitive INTERPRETATION.11\none of the strengths of the CURRENT study was the assessment of Arsenic and cadmium at the Individual level IN CONTRAST TO ecological exposure assessment utilized by MANY STUDIES in this field.']	[('INCOMPLETE_EVIDENCE', 27), ('INCOMPLETE_EVIDENCE', 77), ('INCOMPLETE_EVIDENCE', 195), ('INCOMPLETE_EVIDENCE', 264), ('INCOMPLETE_EVIDENCE', 410), ('INCOMPLETE_EVIDENCE', 446), ('INCOMPLETE_EVIDENCE', 472), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 512), ('SUPERFICIAL_RELATIONSHIP', 554), ('INCOMPLETE_EVIDENCE', 626), ('PROBABLE_UNDERSTANDING', 642), ('INCOMPLETE_EVIDENCE', 654), ('SUPERFICIAL_RELATIONSHIP', 700), ('SUPERFICIAL_RELATIONSHIP', 731), ('INCOMPLETE_EVIDENCE', 767), ('IMPORTANT_CONSIDERATION', 798), ('INCOMPLETE_EVIDENCE', 909), ('INCOMPLETE_EVIDENCE', 1079), ('INCOMPLETE_EVIDENCE', 1182), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 1293), ('ANOMALY_CURIOUS_FINDING', 1293), ('INCOMPLETE_EVIDENCE', 1302), ('INCOMPLETE_EVIDENCE', 1342), ('SUPERFICIAL_RELATIONSHIP', 1349), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 1383), ('INCOMPLETE_EVIDENCE', 1423), ('INCOMPLETE_EVIDENCE', 1441), ('SUPERFICIAL_RELATIONSHIP', 1455), ('IMPORTANT_CONSIDERATION', 1500), ('INCOMPLETE_EVIDENCE', 1518), ('PROBABLE_UNDERSTANDING', 1536), ('INCOMPLETE_EVIDENCE', 1680), ('QUESTION_ANSWERED_BY_THIS_WORK', 1726), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 1806), ('INCOMPLETE_EVIDENCE', 1864)]	35	[('CHEBI_33284', 'nutrient', 107, 'nutrient'), ('GO_0007565', 'female pregnancy', 145, 'pregnancy'), ('UBERON_0002113', 'kidney', 235, 'kidney'), ('UBERON_0001285', 'nephron', 242, 'nephron'), ('NCBITaxon_9606', 'Homo sapiens', 337, 'humans'), ('GO_0001822', 'kidney development', 345, 'nephrogenesis'), ('GO_0007565', 'female pregnancy', 392, 'gestation'), ('GO_0007567', 'parturition', 439, 'birth'), ('GO_0007565', 'female pregnancy', 462, 'pregnancy'), ('NCBITaxon_9606', 'Homo sapiens', 533, 'human'), ('GO_0007565', 'female pregnancy', 595, 'pregnancy'), ('GO_0007567', 'parturition', 687, 'birth'), ('CHEBI_27563', 'arsenic atom', 750, 'arsenic'), ('CHEBI_15377', 'water', 871, 'water'), ('UBERON_0004535', 'cardiovascular system', 955, 'cardiovascular'), ('UBERON_0000925', 'endoderm', 1020, 'Health'), ('UBERON_0001088', 'urine', 1138, 'urinary'), ('CHEBI_27563', 'arsenic atom', 1146, 'arsenic'), ('UBERON_0007023', 'adult organism', 1270, 'adults'), ('UBERON_0000178', 'blood', 1321, 'blood'), ('UBERON_0000178', 'blood', 1401, 'blood'), ('CHEBI_27563', 'arsenic atom', 1465, 'arsenic'), ('UBERON_0004535', 'cardiovascular system', 1485, 'cardiovascular'), ('CHEBI_15377', 'water', 1602, 'water'), ('CHEBI_27563', 'arsenic atom', 1762, 'arsenic'), ('NCBITaxon_1', 'root', 1789, 'individual')]	0	['hypertensive offspring nutrient pregnancy species.37–39one mechanisms reduction kidney nephron number, hyperfiltration glomerulosclerosis.40,41in humans,  occurs weeks 8 36 gestation increase birth, pregnancy acritical window development.40however, human environmental exposures pregnancy, diet, birth associations.2,3,42\nthe chronic arsenic exposure extensively studied, bangladesh drinking water high, increase all-cause10,43and cardiovascular-related mortality.10recent national nutrition survey (nhanes) us cross-sectional urinary arsenic (much concentrations, 10% levels) cadmium levels hypertension us adults.44,45there was, however, blood cadmium levels diastolic, systolic, blood pressure.45in arsenic exposure cardiovascular risk, authors ecological exposure (drinking water) interpretation.11\none arsenic cadmium individual ecological exposure utilized field.']
