PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
PMC5827025.nxml.gz	0	['Influent factors of gestational vitamin D deficiency and its relation to an increased risk of preterm delivery in Chinese population\n\nAbstract\nGestational vitamin D deficiency (VDD) has been linked with adverse pregnant outcomes.']	(0, 229)
PMC5827025.nxml.gz	1	['To investigate influent factors of gestational VDD and its relation to the incidence of preterm delivery, total 3598 eligible mother-and-singleton-offspring pairs were recruited.']	(230, 408)
PMC5827025.nxml.gz	2	['For serum 25(OH)D concentration, 941 pregnant women were sufficient, 1260 insufficient, and 1397 deficient.']	(409, 516)
PMC5827025.nxml.gz	3	['Further analysis showed that VDD was more prevalent in winter than in other seasons.']	(517, 601)
PMC5827025.nxml.gz	4	['Underweight but not overweight was a risk factor for gestational VDD.']	(602, 671)
PMC5827025.nxml.gz	5	['Multivitamin use reduced risk of gestational VDD.']	(672, 721)
PMC5827025.nxml.gz	6	['Interestingly, 8.23% delivered preterm infants among subjects with VDD (adjusted RR: 4.02; 95% CI: 2.33, 6.92) and 3.81% among subjects with gestational vitamin D insufficiency (VDI) (adjusted RR: 2.07; 95% CI: 1.16, 3.71).']	(722, 945)
PMC5827025.nxml.gz	7	['Moreover, 2.59% delivered early preterm infants among subjects with VDD (adjusted RR: 2.97; 95% CI: 1.41, 6.24) and 0.49% among subjects with VDI (adjusted RR: 0.54; 95% CI: 0.19, 1.51).']	(946, 1132)
PMC5827025.nxml.gz	8	['The incidence of late preterm delivery was 5.64% among subjects with VDD (adjusted RR: 3.90; 95% CI: 2.26, 6.72) and 3.32% among subjects with VDI (adjusted RR: 2.09; 95% CI: 1.17, 3.74).']	(1133, 1320)
PMC5827025.nxml.gz	9	['In conclusion, pre-pregnancy BMI, seasonality and multivitamin use are influent factors of gestational vitamin D status.']	(1321, 1441)
PMC5827025.nxml.gz	10	['Gestational VDD is associated with an increased risk of preterm delivery in Chinese population.']	(1442, 1537)
PMC5827025.nxml.gz	11	['Introduction\nVitamin D, a secosteroid hormone, is synthesized primarily in the skin upon exposure to sunlight and is converted to active vitamin D3 in the liver and the kidney.']	(1539, 1715)
PMC5827025.nxml.gz	12	['The classical function of vitamin D is regulating calcium and phosphorus homeostasis1.']	(1716, 1802)
PMC5827025.nxml.gz	13	['Recently, vitamin D is well recognized for its non-classical actions including antioxidant activity, modulation of innate immune response and adaptive immune response2–4.']	(1803, 1973)
PMC5827025.nxml.gz	14	['Vitamin D deficiency (VDD), defined as serum 25(OH)D level <20\u2009ng/ml, is very prevalent in worldwide and affects people of all age, especially women of childbearing age5.']	(1974, 2144)
PMC5827025.nxml.gz	15	['Although some potential influent factors for vitamin D status, such as seasonality, age, smoking, race and ethnicity have been identified in several case-control studies6–8, research reports on the influent factors for gestational vitamin D status in a population-based cohort are lacking.']	(2145, 2434)
PMC5827025.nxml.gz	16	['Several epidemiological investigations have demonstrated that gestational VDD elevates risk of pregnancy complications including preeclampsia9,10.']	(2435, 2581)
PMC5827025.nxml.gz	17	['In contrast, the reports from randomized controlled trials indicate that gestational vitamin D supplementation can markedly decrease pregnancy complications including preeclampsia and pregnancy induced hypertension11.']	(2582, 2799)
PMC5827025.nxml.gz	18	['Moreover, gestational VDD has been linked with the impaired neurobehavioral development, the increased asthma and schizophrenia in adult offspring12,13.']	(2800, 2952)
PMC5827025.nxml.gz	19	['A recent study suggests that gestational VDD elevates risks of small for gestational age and low birth weight infants14.']	(2953, 3073)
PMC5827025.nxml.gz	20	['On the other hand, animal experiments demonstrate that gestational VDD results in reproductive dysfunction and impairment of neurobehavioral development in adult offspring15,16.']	(3074, 3251)
PMC5827025.nxml.gz	21	['By contrast, vitamin D3 supplementation protects mice from lipopolysaccharide-induced fetal intrauterine growth restriction and neural tube defects17,18.']	(3252, 3405)
PMC5827025.nxml.gz	22	['Preterm delivery, defined as spontaneous or iatrogenic delivery before gestational week 37, is a major reason for neonatal deaths19.']	(3406, 3538)
PMC5827025.nxml.gz	23	['Several studies explored the association between gestational VDD and preterm delivery with contradictory results20–23.']	(3539, 3657)
PMC5827025.nxml.gz	24	['A case-cohort study from the US Collaborative Perinatal Project showed that gestational VDD elevated risk of preterm delivery among nonwhite women but not white women, indicating a racial disparity on the link between VDD and preterm delivery24.']	(3658, 3903)
PMC5827025.nxml.gz	25	['The objective of the present study was to analyze influent factors of gestational VDD and its relation to the incidence of preterm delivery in Chinese population.']	(3904, 4066)
PMC5827025.nxml.gz	26	['Results\n\nDemographic characteristics of pregnant women\nNo subjects were suffering from preeclampsia, gestational diabetes, maternal drug uses, smoking cigarette and drinking alcohol throughout pregnancy (data not shown) in this study.']	(4068, 4302)
PMC5827025.nxml.gz	27	['Serum 25(OH)D concentration was measured among 3598 pregnant women.']	(4303, 4370)
PMC5827025.nxml.gz	28	['The mean maternal serum 25(OH)D concentration was 24.91\u2009±\u20099.30 (±SD) ng/ml in this cohort.']	(4371, 4461)
PMC5827025.nxml.gz	29	['For 25(OH)D concentration, only 941 pregnant women (26.15%) were sufficient, 1260 (35.02%) insufficient, and 1397 (38.83%) deficient (Table\xa01).']	(4462, 4605)
PMC5827025.nxml.gz	30	['The demographic characteristics of pregnant women and their newborns were compared among subjects with sufficiency, insufficiency and deficiency.']	(4606, 4751)
PMC5827025.nxml.gz	31	['No significant difference on maternal age, family monthly income, gestational week of blood sample and parity was observed among three groups (Table\xa01).']	(4752, 4904)
PMC5827025.nxml.gz	32	['There was a significant difference on pre-pregnancy BMI, season of blood sample and periconceptional multivitamin use among three groups (Table\xa01).']	(4905, 5052)
PMC5827025.nxml.gz	33	['Caption (TABLE-WRAP): TABLE 1\n\nDemographic characteristics of 3598 mothers.Demographic variablesGestational vitamin D status1P -value2DeficiencyInsufficiencySufficiencyPregnant women [n (%)]1397 (38.83)1260 (35.02)941 (26.15)Maternal age [years, n (%)]\xa0\xa0<25\xa0\xa025–34\xa0\xa0≥35220 (15.75)1131 (80.96)46 (3.29)194 (15.40)1022 (81.11)44 (3.49)147 (15.62)768 (81.61)26 (2.77)0.909Maternal BMI [kg/m2, n (%)]\xa0\xa0Underweight (<18.5)\xa0\xa0Normal weight (18.5–22.9)\xa0\xa0Overweight (≥23.0)333 (23.84)925 (66.21)139 (9.95)271 (21.51)859 (68.17)130 (10.32)168 (17.85)649 (68.97)124 (13.18)0.003Season of blood sample [n (%)]\xa0\xa0Spring\xa0\xa0Summer\xa0\xa0Fall\xa0\xa0Winter477 (34.14)311 (22.26)279 (19.97)330 (23.62)468 (37.14)271 (21.51)275 (21.83)246 (19.52)371 (39.43)225 (23.91)193 (20.51)152 (16.15)0.001Periconceptional multivitamin use [n (%)]\xa0\xa0No\xa0\xa0Less than one month\xa0\xa0More than one month1220 (87.33)97 (6.94)80 (5.73)1033 (81.98)112 (8.89)115 (9.13)743 (78.96)81 (8.61)117 (12.43)<0.001Family monthly income (RMB/yuan) [n (%)]\xa0\xa0Low (<2000)\xa0\xa0Middle (2000–3999)\xa0\xa0High (≥4000)611 (43.74)590 (42.23)196 (14.03)557 (44.21)516 (40.95)187 (14.84)432 (45.91)372 (39.53)137 (14.56)0.746Parity [n(%)]\xa0\xa01 >11345 (96.87)60 (3.13)1238 (96.97)51 (3.03)927 (96.58)37 (3.42)0.854Gestational week of blood sample [w, n (%)]\xa0\xa0First-trimester (<13)\xa0\xa0Second-trimester (13–27)519 (37.15)878 (62.85)444 (35.24)816 (64.76)337 (35.81)604 (64.19)0.575\n125(OH)D < 20\u2009ng/ml for deficiency; 20\u2009≤\u200925(OH)D < 30\u2009ng/ml for insufficiency; 25(OH)D ≥ 30\u2009ng/ml for sufficiency.']	(5054, 6559)
PMC5827025.nxml.gz	34	['2Differences among groups were assessed with a chi-square test for categorical variables.']	(6560, 6649)
PMC5827025.nxml.gz	35	['Influence of demographic characteristics on gestational serum 25(OH)D concentration\nThe demographic characteristics for influencing gestational vitamin D status were analyzed.']	(6651, 6826)
PMC5827025.nxml.gz	36	['As shown in Table\xa02, maternal age, family monthly income, parity and gestational week of blood sample, did not influence gestational serum 25(OH)D concentration.']	(6827, 6988)
PMC5827025.nxml.gz	37	['As expected, gestational serum 25(OH)D concentration was higher in spring and summer than in winter (Table\xa02).']	(6989, 7099)
PMC5827025.nxml.gz	38	['Serum 25(OH)D concentration was increased among multivitamin users (Table\xa02).']	(7100, 7177)
PMC5827025.nxml.gz	39	['In addition, serum 25(OH)D concentration was slightly higher among subjects with either normal weight or overweight than those of subjects with underweight (Table\xa02).']	(7178, 7344)
PMC5827025.nxml.gz	40	['The association between maternal pre-pregnancy BMI and serum 25(OH)D concentration were then analyzed based on linear regression analyses.']	(7345, 7483)
PMC5827025.nxml.gz	41	['As shown in Fig.']	(7484, 7500)
