PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	C_START	C_END	CONCEPT_MENTION_ID
PMC1247630	PMC1247630.nxml.gz-1	[49]	[109]	Mother’s Pre-pregnancy Diet May Influence Child Cancer Risk
	Influence	[81]	[90]	PMC1247630.nxml.gz-3
PMC1247630	PMC1247630.nxml.gz-22	[1066]	[1166]	It is the first study to capture mothers’ overall dietary patterns and relate them to child leukemia	relate	[1137]	[1143]	PMC1247630.nxml.gz-24
PMC1247630	PMC1247630.nxml.gz-27	[1970]	[2031]	String beans and peas also correlated inversely with ALL risk	correlated	[1997]	[2007]	PMC1247630.nxml.gz-28
PMC1247630	PMC1247630.nxml.gz-31	[2355]	[2423]	a cause-and-effect relationship can not be concluded from this study	relationship	[2374]	[2386]	PMC1247630.nxml.gz-32
PMC1247630	PMC1247630.nxml.gz-916	[2033]	[2145]	Among the proteins, beef and beans—both sources of the antioxidant glutathione—showed the highest inverse effect	inverse effect	[2131]	[2145]	PMC1247630.nxml.gz-914
PMC1474522	PMC1474522.nxml.gz-1	[0]	[85]	Lesions of testis and epididymis associated with prenatal diethylstilbestrol exposure	associated	[33]	[43]	PMC1474522.nxml.gz-2
PMC1533075	PMC1533075.nxml.gz-1	[0]	[120]	Results from an international case-control study of childhood brain tumors: the role of prenatal vitamin supplementation	role	[80]	[84]	PMC1533075.nxml.gz-2
PMC1533075	PMC1533075.nxml.gz-2623	[1621]	[1847]	Mothers also took individual micronutrient supplements (e.g., vitamin C tablets), but most mothers who took these also took multivitamins, making it impossible to determine potential independent effects of these micronutrients	effects	[1816]	[1823]	PMC1533075.nxml.gz-15
PMC1626394	PMC1626394.nxml.gz-20	[2613]	[2672]	This kind of damage has been implicated in cancer induction	implicated	[2642]	[2652]	PMC1626394.nxml.gz-22
PMC2009866	PMC2009866.nxml.gz-1	[185]	[309]	The main aim was to study factors identified in a previous study as potentially causally related to cancer of the oesophagus	related	[274]	[281]	PMC2009866.nxml.gz-5
PMC2009866	PMC2009866.nxml.gz-13	[1211]	[1338]	Strongly associated with risk of oesophageal cancer were low socio-economic status and low intake of fresh fruit and vegetables	associated	[1220]	[1230]	PMC2009866.nxml.gz-14
PMC2009866	PMC2009866.nxml.gz-6	[544]	[683]	to verify that expected associations, such as between lung cancer and cigarette smoking, would emerge under the prevailing field conditions	associations	[568]	[580]	PMC2009866.nxml.gz-8
PMC2265032	PMC2265032.nxml.gz-1	[47]	[238]	In the February 2008 issue of Food and Chemical Toxicology , researchers from India report that aqueous garlic extract (AGE) fed to at-risk individuals may reduce the toxic effects of arsenic	effects	[220]	[227]	PMC2265032.nxml.gz-3
PMC2265032	PMC2265032.nxml.gz-26	[2706]	[2810]	The group cites insufficient evidence on the impact of nanomaterials on the environment and human health	impact	[2751]	[2757]	PMC2265032.nxml.gz-28
PMC2265032	PMC2265032.nxml.gz-8	[1272]	[1392]	Moreover, previously noted associations between current smoking and age at menopause were not observed among these women	associations	[1299]	[1311]	PMC2265032.nxml.gz-10
PMC2396486	PMC2396486.nxml.gz-103	[16762]	[17025]	Several of the components of the network converge on MAPK1, a MAP kinase that serves to integrate multiple biochemical signals (previously known as ERK2), that was found to be significantly down-regulated in the proteomics study.10.1371/journal.pone.0002383.g002
	converge	[16803]	[16811]	PMC2396486.nxml.gz-104
PMC2396486	PMC2396486.nxml.gz-106	[17353]	[17544]	Developmental vitamin D deficiency is associated with a subtle alteration in the expression of protein involved in functions related to calcium binding proteins, and mitochondrial functioning	associated	[17391]	[17401]	PMC2396486.nxml.gz-107
PMC2396486	PMC2396486.nxml.gz-106	[17353]	[17544]	Developmental vitamin D deficiency is associated with a subtle alteration in the expression of protein involved in functions related to calcium binding proteins, and mitochondrial functioning	involved	[17456]	[17464]	PMC2396486.nxml.gz-108
PMC2396486	PMC2396486.nxml.gz-106	[17353]	[17544]	Developmental vitamin D deficiency is associated with a subtle alteration in the expression of protein involved in functions related to calcium binding proteins, and mitochondrial functioning	related	[17478]	[17485]	PMC2396486.nxml.gz-109
PMC2396486	PMC2396486.nxml.gz-12	[1300]	[1410]	Other proteins associated with DVD deficiency related to mitochondrial function, and the dynamin-like proteins	associated	[1315]	[1325]	PMC2396486.nxml.gz-13
PMC2396486	PMC2396486.nxml.gz-12	[1300]	[1410]	Other proteins associated with DVD deficiency related to mitochondrial function, and the dynamin-like proteins	related	[1346]	[1353]	PMC2396486.nxml.gz-14
PMC2396486	PMC2396486.nxml.gz-127	[18496]	[18617]	The potential links between vitamin D and neuronal calcium binding proteins has been noted in a recent review article[30]	links	[18510]	[18515]	PMC2396486.nxml.gz-129
PMC2396486	PMC2396486.nxml.gz-131	[18732]	[18871]	These proteins are essential for clathrin-mediated endocytosis, a role of particular importance in neurons for neurotransmitter release[31]	role	[18798]	[18802]	PMC2396486.nxml.gz-133
PMC2396486	PMC2396486.nxml.gz-137	[19127]	[19249]	These findings suggest that proteins involved in SNAP and SNARE mediated vesicle release may be disrupted in the DVD model	involved	[19164]	[19172]	PMC2396486.nxml.gz-139
PMC2396486	PMC2396486.nxml.gz-15	[1425]	[1541]	Developmental vitamin D deficiency was associated with subtle changes in protein expression in the nucleus accumbens	associated	[1464]	[1474]	PMC2396486.nxml.gz-16
PMC2396486	PMC2396486.nxml.gz-161	[20493]	[20662]	The protein with the greatest fold change in this study was thimet oligopeptidase (down-regulated 1.67), which is involved in the degradation of these small proteins[37]	involved	[20607]	[20615]	PMC2396486.nxml.gz-163
PMC2396486	PMC2396486.nxml.gz-164	[20664]	[20825]	Neuropeptides such as neurotensin can indirectly influence dopaminergic transmission in the nucleus accumbens via glutamate and GABA-ergic mediated processes[38]	influence	[20713]	[20722]	PMC2396486.nxml.gz-165
PMC2396486	PMC2396486.nxml.gz-17	[1543]	[1743]	Disruptions in pathways related to calcium-binding proteins and mitochondrial function may underlie some of the behavioural features associated with animal models of developmental vitamin D deficiency	related	[1567]	[1574]	PMC2396486.nxml.gz-18
PMC2396486	PMC2396486.nxml.gz-17	[1543]	[1743]	Disruptions in pathways related to calcium-binding proteins and mitochondrial function may underlie some of the behavioural features associated with animal models of developmental vitamin D deficiency	associated	[1676]	[1686]	PMC2396486.nxml.gz-21
PMC2396486	PMC2396486.nxml.gz-182	[21332]	[21523]	A range of studies (proteomics, genomics, gene association studies) have linked schizophrenia with alterations in malate dehydrogenase cytoplasmic (MDHC, now known as malic enzyme 2)[42]–[47]	linked	[21405]	[21411]	PMC2396486.nxml.gz-185
PMC2396486	PMC2396486.nxml.gz-192	[21745]	[21857]	Like the previous proteomic study[18], we found no alterations in proteins directly associated with DA signaling	associated	[21829]	[21839]	PMC2396486.nxml.gz-193
PMC2396486	PMC2396486.nxml.gz-199	[22038]	[22222]	It is conceivable that a slight reduction in calcium buffering proteins may affect the ability of neurons within the nucleus accumbens to repolarise in response to psychomimetic agents	affect	[22114]	[22120]	PMC2396486.nxml.gz-202
PMC2396486	PMC2396486.nxml.gz-236	[23406]	[23537]	In conclusion, developmental vitamin D deficiency is associated with subtle changes in a range of proteins in the nucleus accumbens	associated	[23459]	[23469]	PMC2396486.nxml.gz-237
PMC2396486	PMC2396486.nxml.gz-238	[23539]	[23730]	These findings suggest that pathways involved in calcium binding and mitochondrial function may underpin the behavioural features associated with this particular animal model of schizophrenia	involved	[23576]	[23584]	PMC2396486.nxml.gz-240
PMC2396486	PMC2396486.nxml.gz-238	[23539]	[23730]	These findings suggest that pathways involved in calcium binding and mitochondrial function may underpin the behavioural features associated with this particular animal model of schizophrenia	associated	[23669]	[23679]	PMC2396486.nxml.gz-242
PMC2396486	PMC2396486.nxml.gz-244	[23732]	[23922]	Combined with other experimental findings, the current study lends further credibility to the notion that developmental vitamin D deficiency impacts adversely on normal brain development[30]	impacts	[23873]	[23880]	PMC2396486.nxml.gz-250
PMC2396486	PMC2396486.nxml.gz-3	[209]	[362]	Animal models have confirmed that DVD deficiency is associated with a range of altered genomic, proteomic, structural and behavioural outcomes in the rat	associated	[261]	[271]	PMC2396486.nxml.gz-6
PMC2396486	PMC2396486.nxml.gz-30	[2118]	[2363]	Given that vitamin D levels in the population fluctuate across the seasons and decrease across higher latitude[4], low prenatal vitamin D ‘fits’ these key environmental features and is therefore a plausible candidate risk factor for this disease	fits	[2257]	[2261]	PMC2396486.nxml.gz-31
PMC2396486	PMC2396486.nxml.gz-53	[3738]	[3836]	Dysfunction of DA signalling has been strongly implicated in the pathogenesis of schizophrenia[13]	implicated	[3785]	[3795]	PMC2396486.nxml.gz-55
PMC2396486	PMC2396486.nxml.gz-56	[3838]	[4037]	Dopamine projections involve a range of cortical and subcortical regions, however its role in the nucleus accumbens has been of particular interest with respect to neuropsychiatric disorders[14]–[16]	role	[3924]	[3928]	PMC2396486.nxml.gz-58
PMC2396486	PMC2396486.nxml.gz-61	[4039]	[4180]	In the nucleus accumbens, dopamine influences the integration of inputs from the ventral hippocampus, the amygdala, and the prefrontal cortex	influences	[4074]	[4084]	PMC2396486.nxml.gz-62
PMC2396486	PMC2396486.nxml.gz-63	[4182]	[4364]	Grace and colleagues have suggested that dopamine may modulate a range of limbic and cortical functions relevant to the pathophysiology of schizophrenia via the nucleus accumbens[17]	relevant to	[4286]	[4297]	PMC2396486.nxml.gz-66
PMC2396486	PMC2396486.nxml.gz-69	[4656]	[4857]	These proteins are associated with several biological pathways including oxidative phosphorylation, cytoskeleton maintenance, calcium homeostasis, chaperoning, synaptic plasticity and neurotransmission	associated	[4675]	[4685]	PMC2396486.nxml.gz-70
PMC2396486	PMC2396486.nxml.gz-7	[364]	[551]	Because the nucleus accumbens has been implicated in neuropsychiatric disorders, in the current study we examined protein expression in this region in adult rats exposed to DVD deficiency	implicated	[403]	[413]	PMC2396486.nxml.gz-9
PMC2396486	PMC2396486.nxml.gz-76	[5046]	[5166]	In order to further explore the impact of DVD on brain function, we undertook a proteomic study of the nucleus accumbens	impact	[5078]	[5084]	PMC2396486.nxml.gz-80
PMC2516588	PMC2516588.nxml.gz-11	[1380]	[1605]	In previous work and a scoping study, we found that most of the research carried out in relation to impaired spermatogenesis had investigated time trends rather than association with specific risk factors (Martin et al. 2007)	relation	[1468]	[1476]	PMC2516588.nxml.gz-12
