PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
BMJ_2012_Aug_30_345_e5605.nxml.gz	0	['Low glycaemic index diet in pregnancy to prevent macrosomia (ROLO study): randomised control trial\n\nAbstract\nObjective To determine if a low glycaemic index diet in pregnancy could reduce the incidence of macrosomia in an at risk group.']	(0, 236)
BMJ_2012_Aug_30_345_e5605.nxml.gz	1	['Design Randomised controlled trial.']	(237, 272)
BMJ_2012_Aug_30_345_e5605.nxml.gz	2	['Setting Maternity hospital in Dublin, Ireland.']	(273, 319)
BMJ_2012_Aug_30_345_e5605.nxml.gz	3	['Participants 800 women without diabetes, all in their second pregnancy between January 2007 to January 2011, having previously delivered an infant weighing greater than 4 kg.']	(320, 494)
BMJ_2012_Aug_30_345_e5605.nxml.gz	4	['Intervention Women were randomised to receive no dietary intervention or start on a low glycaemic index diet from early pregnancy.']	(495, 625)
BMJ_2012_Aug_30_345_e5605.nxml.gz	5	['Main outcomes The primary outcome measure was difference in birth weight.']	(626, 699)
BMJ_2012_Aug_30_345_e5605.nxml.gz	6	['The secondary outcome measure was difference in gestational weight gain.']	(700, 772)
BMJ_2012_Aug_30_345_e5605.nxml.gz	7	['Results No significant difference was seen between the two groups in absolute birth weight, birthweight centile, or ponderal index.']	(773, 904)
BMJ_2012_Aug_30_345_e5605.nxml.gz	8	['Significantly less gestational weight gain occurred in women in the intervention arm (12.2 v 13.7 kg; mean difference −1.3, 95% confidence interval −2.4 to −0.2; P=0.01).']	(905, 1075)
BMJ_2012_Aug_30_345_e5605.nxml.gz	9	['The rate of glucose intolerance was also lower in the intervention arm: 21% (67/320) compared with 28% (100/352) of controls had a fasting glucose of 5.1 mmol/L or greater or a 1 hour glucose challenge test result of greater than 7.8 mmol/L (P=0.02).']	(1076, 1326)
BMJ_2012_Aug_30_345_e5605.nxml.gz	10	['Conclusion A low glycaemic index diet in pregnancy did not reduce the incidence of large for gestational age infants in a group at risk of fetal macrosomia.']	(1327, 1483)
BMJ_2012_Aug_30_345_e5605.nxml.gz	11	['It did, however, have a significant positive effect on gestational weight gain and maternal glucose intolerance.']	(1484, 1596)
BMJ_2012_Aug_30_345_e5605.nxml.gz	12	['Trial registration Current Controlled Trials ISRCTN54392969.']	(1597, 1657)
BMJ_2012_Aug_30_345_e5605.nxml.gz	13	['Introduction\nLarge for gestational age or macrosomic infants are predisposed to a variety of adverse obstetric and neonatal outcomes, and delivery of a large infant significantly increases the risk of birth complications for the mother.12In the long term, infants at the highest end of the distribution for weight or body mass index are more likely to be obese in childhood, adolescence, and early adulthood than are other infants,3and they are at greater risk of cardiovascular and metabolic complications later in life.45\nSeveral factors influence birth weight, including maternal age, parity, ethnicity, and previous delivery of a large for gestational age infant.6Both maternal weight and gestational weight gain exert a significant influence on birth weight.789Increased maternal body mass index confers an elevated risk of delivering a heavier infant,10and evidence supports a strong associations between excessive weight gain and an increased birth weight.1112\nGlucose is the main energy substrate for fetal growth.13Birth weights in infants of mothers with diabetes are increased; up to 35% are above the 95th centile.14Moreover, a strong, continuous association has been shown between maternal glucose concentrations below those diagnostic of diabetes and the incidence of macrosomia and its inherent complications.15Maternal diet, and particularly the type and content of carbohydrate, influences maternal blood glucose concentrations.']	(1659, 3104)
BMJ_2012_Aug_30_345_e5605.nxml.gz	14	['However, different carbohydrate foods produce different glycaemic responses.']	(3105, 3181)
