DATE,ARTICLE,SENTENCE,IGNORANCE_CATEGORIES,ANNOTATED LEXICAL CUES
6/2008,PMC2396486,Developmental vitamin D deficiency was associated with subtle changes in protein expression in the nucleus accumbens,{'SUPERFICIAL_RELATIONSHIP'},"[('associated', 'SUPERFICIAL_RELATIONSHIP')]"
6/2008,PMC2396486,Disruptions in pathways related to calcium-binding proteins and mitochondrial function may underlie some of the behavioural features associated with animal models of developmental vitamin D deficiency,"{'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('related', 'SUPERFICIAL_RELATIONSHIP'), ('may', 'INCOMPLETE_EVIDENCE'), ('some', 'INCOMPLETE_EVIDENCE'), ('associated', 'SUPERFICIAL_RELATIONSHIP'), ('models', 'INCOMPLETE_EVIDENCE')]"
6/2008,PMC2396486,"Given that vitamin D levels in the population fluctuate across the seasons and decrease across higher latitude[4], low prenatal vitamin D ‘fits’ these key environmental features and is therefore a plausible candidate risk factor for this disease","{'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('fits', 'SUPERFICIAL_RELATIONSHIP'), ('therefore', 'PROBABLE_UNDERSTANDING'), ('plausible', 'INCOMPLETE_EVIDENCE'), ('candidate', 'INCOMPLETE_EVIDENCE')]"
6/2008,PMC2396486,"Developmental vitamin D deficiency is associated with a subtle alteration in the expression of protein involved in functions related to calcium binding proteins, and mitochondrial functioning",{'SUPERFICIAL_RELATIONSHIP'},"[('associated', 'SUPERFICIAL_RELATIONSHIP'), ('involved', 'SUPERFICIAL_RELATIONSHIP'), ('related', 'SUPERFICIAL_RELATIONSHIP')]"
6/2008,PMC2396486,The potential links between vitamin D and neuronal calcium binding proteins has been noted in a recent review article[30],"{'ANOMALY_CURIOUS_FINDING', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('potential', 'INCOMPLETE_EVIDENCE'), ('links', 'SUPERFICIAL_RELATIONSHIP'), ('has_been_noted', 'ANOMALY_CURIOUS_FINDING')]"
6/2008,PMC2396486,"In conclusion, developmental vitamin D deficiency is associated with subtle changes in a range of proteins in the nucleus accumbens",{'SUPERFICIAL_RELATIONSHIP'},"[('associated', 'SUPERFICIAL_RELATIONSHIP')]"
6/2008,PMC2396486,"Combined with other experimental findings, the current study lends further credibility to the notion that developmental vitamin D deficiency impacts adversely on normal brain development[30]","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'QUESTION_ANSWERED_BY_THIS_WORK', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('other', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('the_current_study', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('lends_further_credibility', 'INCOMPLETE_EVIDENCE'), ('notion', 'INCOMPLETE_EVIDENCE'), ('impacts', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,"Low intake of fish, polyunsaturated fatty acids (PUFA) and vitamin D deficiency has been suggested to play a role in the development of schizophrenia","{'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('has_been_suggested', 'INCOMPLETE_EVIDENCE'), ('role', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,"Our aim was to evaluate the association between the intake of different fish species, PUFA and vitamin D and the prevalence of psychotic-like symptoms in a population-based study among Swedish women","{'QUESTION_ANSWERED_BY_THIS_WORK', 'SUPERFICIAL_RELATIONSHIP'}","[('aim', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('to_evaluate', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('association', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,"Fatty fish is a rich dietary source of essential fatty acids and vitamin D, both of which could be implicated in the development of schizophrenia","{'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('could_be', 'INCOMPLETE_EVIDENCE'), ('implicated', 'SUPERFICIAL_RELATIONSHIP')]"
