DATE,ARTICLE,SENTENCE,IGNORANCE_CATEGORIES,ANNOTATED LEXICAL CUES
6/2008,PMC2396486,"In order to explore the biological plausibility of this candidate, we have a rat model that we call the Developmental Vitamin D (DVD) model","{'QUESTION_ANSWERED_BY_THIS_WORK', 'INCOMPLETE_EVIDENCE'}","[('in_order_to', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('plausibility', 'INCOMPLETE_EVIDENCE'), ('candidate', 'INCOMPLETE_EVIDENCE'), ('model', 'INCOMPLETE_EVIDENCE'), ('model', 'INCOMPLETE_EVIDENCE')]"
6/2008,PMC2396486,"Combined with other experimental findings, the current study lends further credibility to the notion that developmental vitamin D deficiency impacts adversely on normal brain development[30]","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'QUESTION_ANSWERED_BY_THIS_WORK', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('other', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('the_current_study', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('lends_further_credibility', 'INCOMPLETE_EVIDENCE'), ('notion', 'INCOMPLETE_EVIDENCE'), ('impacts', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,"Our aim was to evaluate the association between the intake of different fish species, PUFA and vitamin D and the prevalence of psychotic-like symptoms in a population-based study among Swedish women","{'QUESTION_ANSWERED_BY_THIS_WORK', 'SUPERFICIAL_RELATIONSHIP'}","[('aim', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('to_evaluate', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('association', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,"Our findings raise a possibility that adult women with a high intake of fish, omega-3 or omega-6 PUFA and vitamin D have a lower rate of psychotic-like symptoms","{'QUESTION_ANSWERED_BY_THIS_WORK', 'EXPLICIT_QUESTION', 'INCOMPLETE_EVIDENCE'}","[('our_findings', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('raise', 'EXPLICIT_QUESTION'), ('possibility', 'INCOMPLETE_EVIDENCE')]"
5/2010,PMC2889879,"The main purpose of the present study was to evaluate the association between the dietary intake of different fish species, the dietary intake of PUFAs (omega-3 and omega-6) and vitamin D and the prevalence of positive psychotic-like symptoms in a population-based study among Swedish women","{'QUESTION_ANSWERED_BY_THIS_WORK', 'SUPERFICIAL_RELATIONSHIP'}","[('purpose', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('present_study', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('to_evaluate', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('association', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,"We report here results from the first study that has evaluated the dietary intake of fish, PUFA and vitamin D in relation to the experience of positive psychotic-like symptoms in a large cohort of over 30 000 Swedish women","{'QUESTION_ANSWERED_BY_THIS_WORK', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('here', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('first_study', 'INCOMPLETE_EVIDENCE'), ('relation', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,Our findings indicated a protective effect of vitamin D for the risk of psychotic-like symptoms,"{'QUESTION_ANSWERED_BY_THIS_WORK', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('our_findings', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('indicated', 'INCOMPLETE_EVIDENCE'), ('protective', 'SUPERFICIAL_RELATIONSHIP'), ('effect', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2898025,"This paper reviews the plausibility of evidence focusing on the seasonal interrelation of farming, allergies, viruses, vitamin D, diet, birth weight, and handedness","{'QUESTION_ANSWERED_BY_THIS_WORK', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('this_paper', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('plausibility', 'INCOMPLETE_EVIDENCE'), ('focusing', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('interrelation', 'SUPERFICIAL_RELATIONSHIP')]"
4/2012,PMC3348565,Our aim was to assess whether oral supplementation of vitamin D3(cholecalciferol) will reduce the incidence and severity of pneumonia in a high-risk infant population,"{'QUESTION_ANSWERED_BY_THIS_WORK', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'FUTURE_PREDICTION'}","[('aim', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('to_assess', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('whether', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('will', 'FUTURE_PREDICTION')]"
4/2012,PMC3348565,"On the basis of findings that vitamin D is an immunomodulator, that deficiency is a risk factor for pneumonia, and that quarterly supplementation had better compliance than daily or weekly supplementation,13,14we aimed to test the hypothesis that quarterly 100 000 IU vitamin D supplementation would reduce the incidence of radiologically confirmed pneumonia by 35% in our study population","{'QUESTION_ANSWERED_BY_THIS_WORK', 'FUTURE_PREDICTION', 'INCOMPLETE_EVIDENCE'}","[('on_the_basis_of', 'INCOMPLETE_EVIDENCE'), ('aimed', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('to_test', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('hypothesis', 'INCOMPLETE_EVIDENCE'), ('would', 'FUTURE_PREDICTION')]"
