DATE,ARTICLE,SENTENCE,IGNORANCE_CATEGORIES,ANNOTATED LEXICAL CUES
6/2008,PMC2396486,"Given that vitamin D levels in the population fluctuate across the seasons and decrease across higher latitude[4], low prenatal vitamin D ‘fits’ these key environmental features and is therefore a plausible candidate risk factor for this disease","{'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('fits', 'SUPERFICIAL_RELATIONSHIP'), ('therefore', 'PROBABLE_UNDERSTANDING'), ('plausible', 'INCOMPLETE_EVIDENCE'), ('candidate', 'INCOMPLETE_EVIDENCE')]"
6/2008,PMC2396486,"Calbindin is strongly induced by vitamin D[29], and thus it is feasible that the reduction in this protein may be a consequence of the early life reduction in vitamin D","{'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE'}","[('thus', 'PROBABLE_UNDERSTANDING'), ('feasible', 'PROBABLE_UNDERSTANDING'), ('may_be', 'INCOMPLETE_EVIDENCE')]"
5/2010,PMC2889879,"However, to our knowledge, no study has investigated the association between dietary intake of fish, omega-3 and omega-6 PUFA or vitamin D and the risk of having positive psychotic symptoms in the general adult population","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PROBABLE_UNDERSTANDING', 'FULL_UNKNOWN', 'SUPERFICIAL_RELATIONSHIP'}","[('however', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('to_our_knowledge', 'PROBABLE_UNDERSTANDING'), ('no_study', 'FULL_UNKNOWN'), ('association', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,We decided not to include dietary Vitamin D estimates in the final multivariate models as fish is a rich source of vitamin D and could account for some of the effect of fish on our outcome,"{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('decided', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('estimates', 'INCOMPLETE_EVIDENCE'), ('models', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('as', 'PROBABLE_UNDERSTANDING'), ('could', 'INCOMPLETE_EVIDENCE'), ('some', 'INCOMPLETE_EVIDENCE'), ('effect', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,No earlier studies that we are aware of have evaluated the relationship between adult vitamin D levels and psychotic symptoms,"{'PROBABLE_UNDERSTANDING', 'FULL_UNKNOWN', 'SUPERFICIAL_RELATIONSHIP'}","[('no...studies', 'FULL_UNKNOWN'), ('are_aware_of', 'PROBABLE_UNDERSTANDING'), ('relationship', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,"Our results of a protective effect of vitamin D intake must be considered as rough, since we only measure the dietary intake of vitamin D","{'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'PROBLEM_COMPLICATION', 'IMPORTANT_CONSIDERATION', 'SUPERFICIAL_RELATIONSHIP'}","[('protective', 'SUPERFICIAL_RELATIONSHIP'), ('effect', 'SUPERFICIAL_RELATIONSHIP'), ('must...be', 'IMPORTANT_CONSIDERATION'), ('considered', 'IMPORTANT_CONSIDERATION'), ('as', 'PROBABLE_UNDERSTANDING'), ('rough', 'INCOMPLETE_EVIDENCE'), ('since', 'PROBLEM_COMPLICATION'), ('only', 'INCOMPLETE_EVIDENCE')]"
5/2010,PMC2889879,"The absorption of dietary vitamin D is generally high at all stages of life [34], but serum levels also depend on the endogenous production of vitamin D due to sun exposure which is subject to seasonal variations","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PROBABLE_UNDERSTANDING', 'DIFFICULT_TASK'}","[('generally', 'PROBABLE_UNDERSTANDING'), ('but', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('variations', 'DIFFICULT_TASK')]"
5/2010,PMC2889879,"Thus, the correlation between vitamin D intake and serum levels may vary","{'PROBABLE_UNDERSTANDING', 'DIFFICULT_TASK', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('thus', 'PROBABLE_UNDERSTANDING'), ('correlation', 'SUPERFICIAL_RELATIONSHIP'), ('may', 'INCOMPLETE_EVIDENCE'), ('vary', 'DIFFICULT_TASK')]"
5/2010,PMC2889879,"Misclassification of fish and PUFA or vitamin D intake due to measurement error associated with the food frequency questionnaire is unavoidable, but given the study design likely non-differential, and thus attenuating any true association","{'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'PROBLEM_COMPLICATION', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'SUPERFICIAL_RELATIONSHIP'}","[('misclassification', 'PROBLEM_COMPLICATION'), ('error', 'PROBLEM_COMPLICATION'), ('associated', 'SUPERFICIAL_RELATIONSHIP'), ('unavoidable', 'PROBLEM_COMPLICATION'), ('but', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('given', 'INCOMPLETE_EVIDENCE'), ('likely', 'PROBABLE_UNDERSTANDING'), ('thus', 'PROBABLE_UNDERSTANDING'), ('true', 'PROBABLE_UNDERSTANDING'), ('association', 'SUPERFICIAL_RELATIONSHIP')]"
12/2011,PMC3272870,"Although vitamin D is undoubtedly important for foetal bone development, we know that it plays a much wider role in health and disease prevention","{'ANOMALY_CURIOUS_FINDING', 'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'IMPORTANT_CONSIDERATION', 'SUPERFICIAL_RELATIONSHIP'}","[('although', 'ANOMALY_CURIOUS_FINDING'), ('undoubtedly', 'PROBABLE_UNDERSTANDING'), ('important', 'IMPORTANT_CONSIDERATION'), ('know', 'INCOMPLETE_EVIDENCE'), ('role', 'SUPERFICIAL_RELATIONSHIP')]"
12/2011,PMC3272870,"Vitamin D is likely safe during pregnancy and breast feeding when taken by mouth in recommended amounts, that is 10 mcg (400 USP units) of vitamin D daily in normal pregnancy. but sometimes thyroidectomised women need more","{'PROBABLE_UNDERSTANDING', 'FUTURE_WORK', 'INCOMPLETE_EVIDENCE', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'IMPORTANT_CONSIDERATION'}","[('likely', 'PROBABLE_UNDERSTANDING'), ('safe', 'IMPORTANT_CONSIDERATION'), ('recommended', 'FUTURE_WORK'), ('but', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('sometimes', 'INCOMPLETE_EVIDENCE'), ('need', 'IMPORTANT_CONSIDERATION')]"
4/2012,PMC3348565,"Therefore, breastmilk, a normally poor source of vitamin D,11becomes even more deficient","{'ANOMALY_CURIOUS_FINDING', 'PROBABLE_UNDERSTANDING', 'PROBLEM_COMPLICATION'}","[('therefore', 'PROBABLE_UNDERSTANDING'), ('poor', 'PROBLEM_COMPLICATION'), ('even', 'ANOMALY_CURIOUS_FINDING')]"
4/2012,PMC3348565,Thus young children are at a high risk of vitamin D deficiency,{'PROBABLE_UNDERSTANDING'},"[('thus', 'PROBABLE_UNDERSTANDING')]"
