DATE,ARTICLE,SENTENCE,IGNORANCE_CATEGORIES,ANNOTATED LEXICAL CUES
5/2010,PMC2889879,"Our results of a protective effect of vitamin D intake must be considered as rough, since we only measure the dietary intake of vitamin D","{'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'PROBLEM_COMPLICATION', 'IMPORTANT_CONSIDERATION', 'SUPERFICIAL_RELATIONSHIP'}","[('protective', 'SUPERFICIAL_RELATIONSHIP'), ('effect', 'SUPERFICIAL_RELATIONSHIP'), ('must...be', 'IMPORTANT_CONSIDERATION'), ('considered', 'IMPORTANT_CONSIDERATION'), ('as', 'PROBABLE_UNDERSTANDING'), ('rough', 'INCOMPLETE_EVIDENCE'), ('since', 'PROBLEM_COMPLICATION'), ('only', 'INCOMPLETE_EVIDENCE')]"
5/2010,PMC2889879,"Misclassification of fish and PUFA or vitamin D intake due to measurement error associated with the food frequency questionnaire is unavoidable, but given the study design likely non-differential, and thus attenuating any true association","{'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'PROBLEM_COMPLICATION', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'SUPERFICIAL_RELATIONSHIP'}","[('misclassification', 'PROBLEM_COMPLICATION'), ('error', 'PROBLEM_COMPLICATION'), ('associated', 'SUPERFICIAL_RELATIONSHIP'), ('unavoidable', 'PROBLEM_COMPLICATION'), ('but', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('given', 'INCOMPLETE_EVIDENCE'), ('likely', 'PROBABLE_UNDERSTANDING'), ('thus', 'PROBABLE_UNDERSTANDING'), ('true', 'PROBABLE_UNDERSTANDING'), ('association', 'SUPERFICIAL_RELATIONSHIP')]"
4/2012,PMC3348565,"Vitamin D deficiency rickets in children younger than 5 years is an endemic problem in developing countries, ranging from 5–45%, even where sunlight is abundant,1,2,7,8and has also re-emerged in some developed countries","{'ANOMALY_CURIOUS_FINDING', 'INCOMPLETE_EVIDENCE', 'PROBLEM_COMPLICATION'}","[('problem', 'PROBLEM_COMPLICATION'), ('even', 'ANOMALY_CURIOUS_FINDING'), ('some', 'INCOMPLETE_EVIDENCE')]"
4/2012,PMC3348565,"Therefore, breastmilk, a normally poor source of vitamin D,11becomes even more deficient","{'ANOMALY_CURIOUS_FINDING', 'PROBABLE_UNDERSTANDING', 'PROBLEM_COMPLICATION'}","[('therefore', 'PROBABLE_UNDERSTANDING'), ('poor', 'PROBLEM_COMPLICATION'), ('even', 'ANOMALY_CURIOUS_FINDING')]"
4/2012,PMC3348565,Thus the lack of a protective effect of vitamin D against pneumonia is probably not due to misclassification of outcomes or inadequate supplementation,"{'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP', 'PROBLEM_COMPLICATION'}","[('thus', 'PROBABLE_UNDERSTANDING'), ('lack_of', 'INCOMPLETE_EVIDENCE'), ('protective', 'SUPERFICIAL_RELATIONSHIP'), ('effect', 'SUPERFICIAL_RELATIONSHIP'), ('probably', 'PROBABLE_UNDERSTANDING'), ('misclassification', 'PROBLEM_COMPLICATION'), ('inadequate', 'PROBLEM_COMPLICATION')]"
4/2012,PMC3348565,"However, a limitation due to the high-risk nature of our population is that the generalisability of our findings to populations with low-to-moderate risk of vitamin deficiency is unknown","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'FULL_UNKNOWN', 'INCOMPLETE_EVIDENCE', 'PROBLEM_COMPLICATION'}","[('however', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('limitation', 'INCOMPLETE_EVIDENCE'), ('due...to', 'PROBLEM_COMPLICATION'), ('unknown', 'FULL_UNKNOWN')]"
4/2012,PMC3348565,It can be argued that a steady-state adequate vitamin D concentration was not reached in some children because of fluctuations in serum concentrations due to our study regimen,"{'INCOMPLETE_EVIDENCE', 'PROBLEM_COMPLICATION'}","[('argued', 'INCOMPLETE_EVIDENCE'), ('some', 'INCOMPLETE_EVIDENCE'), ('because', 'PROBLEM_COMPLICATION'), ('due...to', 'PROBLEM_COMPLICATION')]"
4/2012,PMC3348565,"An associated issue is that, after the start of our trial, speculations arose that high fluctuations of natural or supplemented vitamin D intake might be linked to negative outcomes","{'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP', 'PROBLEM_COMPLICATION'}","[('associated', 'SUPERFICIAL_RELATIONSHIP'), ('issue', 'PROBLEM_COMPLICATION'), ('speculations', 'INCOMPLETE_EVIDENCE'), ('might', 'INCOMPLETE_EVIDENCE'), ('linked', 'SUPERFICIAL_RELATIONSHIP')]"
4/2012,PMC3348565,Our findings and particularly the slightly higher repeat episodes of pneumonia in the vitamin D group could be due to such fluctuations if the hypothesis is true,"{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'PROBLEM_COMPLICATION'}","[('could_be', 'INCOMPLETE_EVIDENCE'), ('due...to', 'PROBLEM_COMPLICATION'), ('if', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('hypothesis', 'INCOMPLETE_EVIDENCE'), ('true', 'PROBABLE_UNDERSTANDING')]"
4/2012,PMC3348565,"It is important to note that in our study, where community supplementation was in a population with known high rates of vitamin D deficiency, 1% of children tested had a calcifediol concentration greater than 375 nmol/L—thought undesirably high","{'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE', 'PROBLEM_COMPLICATION'}","[('important', 'IMPORTANT_CONSIDERATION'), ('thought', 'INCOMPLETE_EVIDENCE'), ('undesirably', 'PROBLEM_COMPLICATION')]"
