DATE,ARTICLE,SENTENCE,IGNORANCE_CATEGORIES,ANNOTATED LEXICAL CUES
12/2011,PMC3272870,"Moreover, the usual recommendations to avoid sun exposure reduces dermal synthesis of vitamin D3",{'FUTURE_WORK'},"[('recommendations', 'FUTURE_WORK')]"
12/2011,PMC3272870,"Vitamin D is likely safe during pregnancy and breast feeding when taken by mouth in recommended amounts, that is 10 mcg (400 USP units) of vitamin D daily in normal pregnancy. but sometimes thyroidectomised women need more","{'PROBABLE_UNDERSTANDING', 'FUTURE_WORK', 'INCOMPLETE_EVIDENCE', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'IMPORTANT_CONSIDERATION'}","[('likely', 'PROBABLE_UNDERSTANDING'), ('safe', 'IMPORTANT_CONSIDERATION'), ('recommended', 'FUTURE_WORK'), ('but', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('sometimes', 'INCOMPLETE_EVIDENCE'), ('need', 'IMPORTANT_CONSIDERATION')]"
4/2012,PMC3348565,"A systematic review of the role of vitamin D supplementation in infectious diseases had mixed findings, concluding that more rigorously designed clinical trials are needed (panel)","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PROBABLE_UNDERSTANDING', 'FUTURE_WORK', 'SUPERFICIAL_RELATIONSHIP'}","[('role', 'SUPERFICIAL_RELATIONSHIP'), ('mixed', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('concluding', 'PROBABLE_UNDERSTANDING'), ('are_needed', 'FUTURE_WORK')]"
4/2012,PMC3348565,"As in our studies, these inconsistent findings point to the existence of complicated pathways for the function of vitamin D in disease processes, or simply that the correct effective dose of vitamin D supplementation needs to be better defined","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'DIFFICULT_TASK', 'INCOMPLETE_EVIDENCE', 'FUTURE_WORK'}","[('as_in', 'INCOMPLETE_EVIDENCE'), ('inconsistent', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('point', 'INCOMPLETE_EVIDENCE'), ('complicated', 'DIFFICULT_TASK'), ('needs', 'FUTURE_WORK'), ('better', 'INCOMPLETE_EVIDENCE')]"
4/2012,PMC3348565,"Further questions arise with respect to the previous treatment trial in the same region of Kabul, which showed that a single high-dose supplementation with 100 000 IU vitamin D3given orally to young children, along with antibiotic treatment at the time of diagnosis, reduced repeat episodes of pneumonia in the subsequent 3 months",{'FUTURE_WORK'},"[('further_questions', 'FUTURE_WORK')]"
4/2012,PMC3348565,"Higher than recommended doses of daily supplementation of vitamin D (500–1000 IU per day, adding up to 120 000 IU over 3 months) plus additional milk fortified with vitamin D, has been shown not to induce an overload,13including in infants starting with normal ranges of vitamin D, even when supplementation continued during the summer (in France) and when mothers had antenatal vitamin D supplementation","{'ANOMALY_CURIOUS_FINDING', 'INCOMPLETE_EVIDENCE', 'FUTURE_WORK'}","[('recommended', 'FUTURE_WORK'), ('has_been', 'INCOMPLETE_EVIDENCE'), ('even', 'ANOMALY_CURIOUS_FINDING')]"
4/2012,PMC3348565,The speculative negative role of fluctuations is vitamin D needs to be considered with caution until further evidence is available,"{'INCOMPLETE_EVIDENCE', 'FUTURE_WORK', 'SUPERFICIAL_RELATIONSHIP'}","[('speculative', 'INCOMPLETE_EVIDENCE'), ('role', 'SUPERFICIAL_RELATIONSHIP'), ('needs', 'FUTURE_WORK'), ('considered', 'FUTURE_WORK'), ('caution', 'INCOMPLETE_EVIDENCE'), ('until', 'FUTURE_WORK'), ('further_evidence', 'INCOMPLETE_EVIDENCE')]"
8/2012,PMC3427250,A targeted screening strategy to detect and treat women at high risk of severe vitamin D deficiency is needed in Belgium and in Europe,{'FUTURE_WORK'},"[('strategy', 'FUTURE_WORK'), ('is needed', 'FUTURE_WORK')]"
8/2012,PMC3427250,The adequacy of the current vitamin D dietary recommendations to reach an optimal vitamin D status during pregnancy has been questioned[24],"{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'FUTURE_WORK'}","[('recommendations', 'FUTURE_WORK'), ('has_been_questioned', 'ALTERNATIVE_OPTIONS_CONTROVERSY')]"
8/2012,PMC3427250,"The adequate intake of vitamin D during pregnancy and lactation is unknown, although it appears to be greater than the current dietary recommendations of 400 IU/d or 10 µg/d[58]","{'ANOMALY_CURIOUS_FINDING', 'FULL_UNKNOWN', 'FUTURE_WORK'}","[('unknown', 'FULL_UNKNOWN'), ('although', 'ANOMALY_CURIOUS_FINDING'), ('appears_to_be', 'ANOMALY_CURIOUS_FINDING'), ('recommendations', 'FUTURE_WORK')]"
8/2012,PMC3427250,Some studies suggest that the dietary requirement during pregnancy and lactation may be as high as 6000 IU/d[59]and recognize that at least 1500–2000 IU/d of vitamin D may be needed in order to maintain a blood level of 25(OH)D above 30 ng/ml[24],"{'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'FUTURE_WORK'}","[('some', 'INCOMPLETE_EVIDENCE'), ('suggest', 'INCOMPLETE_EVIDENCE'), ('may_be', 'INCOMPLETE_EVIDENCE'), ('at_least', 'PROBABLE_UNDERSTANDING'), ('may_be', 'INCOMPLETE_EVIDENCE'), ('needed', 'FUTURE_WORK')]"
8/2012,PMC3427250,"As those authors recognize that the evidence to propose such intakes is scarce and as long as the health benefits of having serum 25(OH)D levels higher than 30 ng/ml are not clearly established particularly in pregnant women, the Belgian Superior Health council still recommends a vitamin D supplement of 20 µg/day or 800 IU during pregnancy[58]","{'IMPORTANT_CONSIDERATION', 'FULL_UNKNOWN', 'INCOMPLETE_EVIDENCE', 'FUTURE_WORK'}","[('evidence...is_scarce', 'INCOMPLETE_EVIDENCE'), ('not...established', 'FULL_UNKNOWN'), ('still', 'IMPORTANT_CONSIDERATION'), ('recommends', 'FUTURE_WORK')]"
