DATE,ARTICLE,SENTENCE,IGNORANCE_CATEGORIES,ANNOTATED LEXICAL CUES
5/2010,PMC2889879,"However, to our knowledge, no study has investigated the association between dietary intake of fish, omega-3 and omega-6 PUFA or vitamin D and the risk of having positive psychotic symptoms in the general adult population","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PROBABLE_UNDERSTANDING', 'FULL_UNKNOWN', 'SUPERFICIAL_RELATIONSHIP'}","[('however', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('to_our_knowledge', 'PROBABLE_UNDERSTANDING'), ('no_study', 'FULL_UNKNOWN'), ('association', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,No earlier studies that we are aware of have evaluated the relationship between adult vitamin D levels and psychotic symptoms,"{'PROBABLE_UNDERSTANDING', 'FULL_UNKNOWN', 'SUPERFICIAL_RELATIONSHIP'}","[('no...studies', 'FULL_UNKNOWN'), ('are_aware_of', 'PROBABLE_UNDERSTANDING'), ('relationship', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,"Results from the Northern Finland 1966 Birth Cohort showed that vitamin D supplementation during the first year of life was associated with a reduced risk of schizophrenia in males, but not in women [32]","{'FULL_UNKNOWN', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('showed', 'INCOMPLETE_EVIDENCE'), ('associated', 'SUPERFICIAL_RELATIONSHIP'), ('but_not', 'FULL_UNKNOWN')]"
5/2010,PMC2889879,"A more complete picture of the vitamin D status could have been supplied through vitamin D levels in blood; however, no biological samples are available","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'FULL_UNKNOWN', 'INCOMPLETE_EVIDENCE'}","[('could', 'INCOMPLETE_EVIDENCE'), ('however', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('no...available', 'FULL_UNKNOWN')]"
5/2010,PMC2889879,"Unfortunately, we do not have information about specific vitamin D supplementation","{'IMPORTANT_CONSIDERATION', 'FULL_UNKNOWN'}","[('Unfortunately', 'IMPORTANT_CONSIDERATION'), ('do_not_have', 'FULL_UNKNOWN')]"
4/2012,PMC3348565,"However, a limitation due to the high-risk nature of our population is that the generalisability of our findings to populations with low-to-moderate risk of vitamin deficiency is unknown","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'FULL_UNKNOWN', 'INCOMPLETE_EVIDENCE', 'PROBLEM_COMPLICATION'}","[('however', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('limitation', 'INCOMPLETE_EVIDENCE'), ('due...to', 'PROBLEM_COMPLICATION'), ('unknown', 'FULL_UNKNOWN')]"
4/2012,PMC3348565,"Although this is probably true, a sufficient serum concentrations for the immunological effects of vitamin D is unknown and could be higher or lower than that of the skeletal system accepted concentrations","{'ANOMALY_CURIOUS_FINDING', 'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'FULL_UNKNOWN', 'SUPERFICIAL_RELATIONSHIP'}","[('although', 'ANOMALY_CURIOUS_FINDING'), ('probably', 'PROBABLE_UNDERSTANDING'), ('true', 'PROBABLE_UNDERSTANDING'), ('effects', 'SUPERFICIAL_RELATIONSHIP'), ('unknown', 'FULL_UNKNOWN'), ('could_be', 'INCOMPLETE_EVIDENCE')]"
8/2012,PMC3427250,There are no representative country data available on vitamin D status of pregnant women in Europe,{'FULL_UNKNOWN'},"[('no...available', 'FULL_UNKNOWN')]"
8/2012,PMC3427250,"However there is so far no conclusive evidence about the causality of these relationships, as no randomised controlled trials of vitamin D supplementation with an appropriate assessment of a variety of health outcomes have been carried out to date[21]","{'ANOMALY_CURIOUS_FINDING', 'DIFFICULT_TASK', 'INCOMPLETE_EVIDENCE', 'FULL_UNKNOWN', 'SUPERFICIAL_RELATIONSHIP'}","[('however', 'ANOMALY_CURIOUS_FINDING'), ('no_conclusive_evidence', 'INCOMPLETE_EVIDENCE'), ('relationships', 'SUPERFICIAL_RELATIONSHIP'), ('no...trials', 'FULL_UNKNOWN'), ('variety', 'DIFFICULT_TASK')]"
8/2012,PMC3427250,Smoking increased the risk of both vitamin D deficiency and severe vitamin D deficiency; the mechanism for this appears to be unclear[50],"{'ANOMALY_CURIOUS_FINDING', 'FULL_UNKNOWN'}","[('appears_to_be', 'ANOMALY_CURIOUS_FINDING'), ('unclear', 'FULL_UNKNOWN')]"
