DATE,ARTICLE,SENTENCE,IGNORANCE_CATEGORIES,ANNOTATED LEXICAL CUES
6/2008,PMC2396486,The potential links between vitamin D and neuronal calcium binding proteins has been noted in a recent review article[30],"{'ANOMALY_CURIOUS_FINDING', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('potential', 'INCOMPLETE_EVIDENCE'), ('links', 'SUPERFICIAL_RELATIONSHIP'), ('has_been_noted', 'ANOMALY_CURIOUS_FINDING')]"
5/2010,PMC2889879,"Interestingly, we found a lower rate of psychotic-like symptoms with increasing vitamin D intake","{'ANOMALY_CURIOUS_FINDING', 'INCOMPLETE_EVIDENCE'}","[('interestingly', 'ANOMALY_CURIOUS_FINDING'), ('found', 'INCOMPLETE_EVIDENCE')]"
12/2011,PMC3272870,"Although vitamin D is undoubtedly important for foetal bone development, we know that it plays a much wider role in health and disease prevention","{'ANOMALY_CURIOUS_FINDING', 'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'IMPORTANT_CONSIDERATION', 'SUPERFICIAL_RELATIONSHIP'}","[('although', 'ANOMALY_CURIOUS_FINDING'), ('undoubtedly', 'PROBABLE_UNDERSTANDING'), ('important', 'IMPORTANT_CONSIDERATION'), ('know', 'INCOMPLETE_EVIDENCE'), ('role', 'SUPERFICIAL_RELATIONSHIP')]"
4/2012,PMC3348565,"However, the risk of repeated pneumonia in the subsequent 3 months was 13% (relative risk [RR] 0·78, 95% CI 0·64–0·94; p=0·01) lower in the vitamin D3compared with the placebo group","{'ANOMALY_CURIOUS_FINDING', 'ALTERNATIVE_OPTIONS_CONTROVERSY'}","[('however', 'ANOMALY_CURIOUS_FINDING'), ('however', 'ALTERNATIVE_OPTIONS_CONTROVERSY')]"
4/2012,PMC3348565,"Vitamin D deficiency rickets in children younger than 5 years is an endemic problem in developing countries, ranging from 5–45%, even where sunlight is abundant,1,2,7,8and has also re-emerged in some developed countries","{'ANOMALY_CURIOUS_FINDING', 'INCOMPLETE_EVIDENCE', 'PROBLEM_COMPLICATION'}","[('problem', 'PROBLEM_COMPLICATION'), ('even', 'ANOMALY_CURIOUS_FINDING'), ('some', 'INCOMPLETE_EVIDENCE')]"
4/2012,PMC3348565,"Therefore, breastmilk, a normally poor source of vitamin D,11becomes even more deficient","{'ANOMALY_CURIOUS_FINDING', 'PROBABLE_UNDERSTANDING', 'PROBLEM_COMPLICATION'}","[('therefore', 'PROBABLE_UNDERSTANDING'), ('poor', 'PROBLEM_COMPLICATION'), ('even', 'ANOMALY_CURIOUS_FINDING')]"
4/2012,PMC3348565,"As with other studies, dietary calcium deficiency might have led to so-called wastage of body stores of vitamin D in both groups, affecting the maintenance of even higher vitamin D levels in the intervention group","{'ANOMALY_CURIOUS_FINDING', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('as_with_other_studies', 'INCOMPLETE_EVIDENCE'), ('might', 'INCOMPLETE_EVIDENCE'), ('affecting', 'SUPERFICIAL_RELATIONSHIP'), ('even', 'ANOMALY_CURIOUS_FINDING')]"
4/2012,PMC3348565,"Although this is probably true, a sufficient serum concentrations for the immunological effects of vitamin D is unknown and could be higher or lower than that of the skeletal system accepted concentrations","{'ANOMALY_CURIOUS_FINDING', 'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'FULL_UNKNOWN', 'SUPERFICIAL_RELATIONSHIP'}","[('although', 'ANOMALY_CURIOUS_FINDING'), ('probably', 'PROBABLE_UNDERSTANDING'), ('true', 'PROBABLE_UNDERSTANDING'), ('effects', 'SUPERFICIAL_RELATIONSHIP'), ('unknown', 'FULL_UNKNOWN'), ('could_be', 'INCOMPLETE_EVIDENCE')]"
4/2012,PMC3348565,"Higher than recommended doses of daily supplementation of vitamin D (500–1000 IU per day, adding up to 120 000 IU over 3 months) plus additional milk fortified with vitamin D, has been shown not to induce an overload,13including in infants starting with normal ranges of vitamin D, even when supplementation continued during the summer (in France) and when mothers had antenatal vitamin D supplementation","{'ANOMALY_CURIOUS_FINDING', 'INCOMPLETE_EVIDENCE', 'FUTURE_WORK'}","[('recommended', 'FUTURE_WORK'), ('has_been', 'INCOMPLETE_EVIDENCE'), ('even', 'ANOMALY_CURIOUS_FINDING')]"
8/2012,PMC3427250,"Of all women, 74.1% (95%CI = 71.8–76.5%) were vitamin D insufficient (25-(OH)D <30 ng/ml), 44.6% (95%CI = 41.9–47.3%) were vitamin D deficient (25-(OH)D <20 ng/ml), while 12.1% (95%CI = 10.3–13.8%) were severely vitamin D deficient (25-(OH)D <10 ng/ml)",{'ANOMALY_CURIOUS_FINDING'},"[('while', 'ANOMALY_CURIOUS_FINDING')]"
