Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_ALL	GO:0042581~specific granule	10	23.809523809523807	1.3316771409976722E-11	MS4A3, CLEC12A, ARG1, CRISP3, HP, LCN2, CEACAM8, OLFM4, MMP8, LILRA3	39	160	20163	32.31249999999999	3.0495453939849426E-9	2.2889013748439328E-9	2.019030907067574E-9
GOTERM_CC_ALL	GO:0030141~secretory granule	16	38.095238095238095	1.999040502047103E-11	MS4A3, SIGLEC14, CLEC12A, ARG1, ITGB3, CRISP3, ITGA2B, HP, RNASE3, OLFM4, MMP8, LILRA3, CLEC4C, VNN1, LCN2, CEACAM8	39	876	20163	9.442922374429223	4.577813905726202E-9	2.2889013748439328E-9	2.019030907067574E-9
GOTERM_CC_ALL	GO:0099503~secretory vesicle	16	38.095238095238095	2.578063881395477E-10	MS4A3, SIGLEC14, CLEC12A, ARG1, ITGB3, CRISP3, ITGA2B, HP, RNASE3, OLFM4, MMP8, LILRA3, CLEC4C, VNN1, LCN2, CEACAM8	39	1051	20163	7.870599429115128	5.9037673638684396E-8	1.967922096131881E-8	1.7358963468062878E-8
GOTERM_BP_ALL	GO:0002376~immune system process	23	54.761904761904766	4.3308856325229405E-10	RSAD2, ARG1, CRISP3, TMEM176A, ALOX15, CLEC12B, ITGA2B, HP, IFI44, C4BPA, RNASE3, MMP8, LILRA3, IFI44L, JCHAIN, CLEC4C, VNN1, IGKC, OAS3, IFIT1B, LCN2, CEACAM8, HLA-DQB1	37	2923	19157	4.074035376464387	5.547862980126439E-7	5.543533609629364E-7	5.391952612491061E-7
GOTERM_CC_ALL	GO:0070820~tertiary granule	9	21.428571428571427	6.412923077479611E-10	CLEC4C, SIGLEC14, CLEC12A, CRISP3, HP, CEACAM8, OLFM4, MMP8, LILRA3	39	164	20163	28.371951219512194	1.4685593796581742E-7	3.671398461857077E-8	3.2385261541272035E-8
GOTERM_BP_ALL	GO:0006955~immune response	19	45.23809523809524	2.238468542209158E-9	RSAD2, ARG1, CRISP3, ALOX15, CLEC12B, IFI44, C4BPA, RNASE3, LILRA3, IFI44L, JCHAIN, CLEC4C, VNN1, IGKC, OAS3, IFIT1B, LCN2, CEACAM8, HLA-DQB1	37	1969	19157	4.996129191659917	2.8674740681911004E-6	1.432619867013861E-6	1.393446667525201E-6
GOTERM_CC_ALL	GO:0044433~cytoplasmic vesicle part	17	40.476190476190474	8.002360709834304E-9	MS4A3, SIGLEC14, CLEC12A, ARG1, ITGB3, CRISP3, ITGA2B, HP, RNASE3, OLFM4, MMP8, LILRA3, CLEC4C, VNN1, LCN2, CEACAM8, HLA-DQB1	39	1581	20163	5.559139784946236	1.8325389200546383E-6	3.665081205104111E-7	3.232953726773059E-7
GOTERM_BP_ALL	GO:0045087~innate immune response	14	33.33333333333333	1.0214895855203406E-8	RSAD2, ARG1, CRISP3, CLEC12B, C4BPA, RNASE3, JCHAIN, CLEC4C, VNN1, IGKC, OAS3, IFIT1B, LCN2, HLA-DQB1	37	969	19157	7.480489777703401	1.308519599785285E-5	4.3583555648867866E-6	4.239181779909414E-6
GOTERM_BP_ALL	GO:0006952~defense response	17	40.476190476190474	4.64795271771771E-8	RSAD2, ARG1, CRISP3, ALOX15, CLEC12B, HP, C4BPA, RNASE3, IFI44L, JCHAIN, CLEC4C, VNN1, IGKC, OAS3, IFIT1B, LCN2, HLA-DQB1	37	1817	19157	4.844174389028544	5.953850327444776E-5	1.4873448696696671E-5	1.4466752833896371E-5
GOTERM_CC_ALL	GO:0030667~secretory granule membrane	9	21.428571428571427	1.0059623749368394E-7	CLEC4C, MS4A3, SIGLEC14, VNN1, CLEC12A, ITGB3, ITGA2B, CEACAM8, LILRA3	39	313	20163	14.865814696485623	2.3036274195975537E-5	3.5414922798966927E-6	3.123936421568262E-6
GOTERM_CC_ALL	GO:0035580~specific granule lumen	6	14.285714285714285	1.0825522252959323E-7	ARG1, CRISP3, HP, LCN2, OLFM4, MMP8	39	62	20163	50.03225806451613	2.4790140028430052E-5	3.5414922798966927E-6	3.123936421568262E-6
GOTERM_BP_ALL	GO:0098542~defense response to other organism	11	26.190476190476193	3.230631444715816E-7	CLEC4C, RSAD2, IGKC, ARG1, OAS3, IFIT1B, HP, LCN2, RNASE3, IFI44L, JCHAIN	37	679	19157	8.387811965131554	4.1375833330226097E-4	8.270416498472488E-5	8.044272297342382E-5
GOTERM_BP_ALL	GO:0051707~response to other organism	13	30.952380952380953	9.519564521816474E-7	RSAD2, ARG1, HP, IFI44, C4BPA, RNASE3, IFI44L, JCHAIN, CLEC4C, IGKC, OAS3, IFIT1B, LCN2	37	1188	19157	5.665688415688416	0.0012187135604382338	1.7879274435395545E-4	1.7390388025052697E-4
GOTERM_BP_ALL	GO:0043207~response to external biotic stimulus	13	30.952380952380953	9.777728206856938E-7	RSAD2, ARG1, HP, IFI44, C4BPA, RNASE3, IFI44L, JCHAIN, CLEC4C, IGKC, OAS3, IFIT1B, LCN2	37	1191	19157	5.651417160233281	0.0012517435103805985	1.7879274435395545E-4	1.7390388025052697E-4
GOTERM_BP_ALL	GO:0009607~response to biotic stimulus	13	30.952380952380953	1.5493673138908958E-6	RSAD2, ARG1, HP, IFI44, C4BPA, RNASE3, IFI44L, JCHAIN, CLEC4C, IGKC, OAS3, IFIT1B, LCN2	37	1244	19157	5.410641348744242	0.0019827727704919695	2.4789877022254333E-4	2.4112028822427064E-4
GOTERM_CC_ALL	GO:0031410~cytoplasmic vesicle	17	40.476190476190474	4.688179734209546E-6	MS4A3, SIGLEC14, CLEC12A, ARG1, ITGB3, CRISP3, ITGA2B, HP, RNASE3, OLFM4, MMP8, LILRA3, CLEC4C, VNN1, LCN2, CEACAM8, HLA-DQB1	39	2509	20163	3.5029892387405344	0.0010730195780853657	1.23097391404278E-4	1.0858372516883912E-4
GOTERM_CC_ALL	GO:0097708~intracellular vesicle	17	40.476190476190474	4.837888745146298E-6	MS4A3, SIGLEC14, CLEC12A, ARG1, ITGB3, CRISP3, ITGA2B, HP, RNASE3, OLFM4, MMP8, LILRA3, CLEC4C, VNN1, LCN2, CEACAM8, HLA-DQB1	39	2515	20163	3.4946322067594435	0.0011072657309518785	1.23097391404278E-4	1.0858372516883912E-4
GOTERM_BP_ALL	GO:0006950~response to stress	21	50.0	7.937784162561086E-6	RSAD2, ARG1, ITGB3, CRISP3, ALOX15, CLEC12B, ITGA2B, HP, C4BPA, RNASE3, MMP8, IFI44L, JCHAIN, CLEC4C, VNN1, IGKC, OAS3, IFIT1B, LCN2, MYL9, HLA-DQB1	37	4107	19157	2.647404892109056	0.010116819062829796	0.0011289293031197989	0.001098060142487617
GOTERM_CC_ALL	GO:0070821~tertiary granule membrane	5	11.904761904761903	1.0632278132943554E-5	CLEC4C, SIGLEC14, CLEC12A, CEACAM8, LILRA3	39	73	20163	35.410958904109584	0.0024318429036468414	2.411159668894404E-4	2.1268744677583828E-4
GOTERM_CC_ALL	GO:0030659~cytoplasmic vesicle membrane	10	23.809523809523807	1.1581989675911985E-5	CLEC4C, MS4A3, SIGLEC14, VNN1, CLEC12A, ITGB3, ITGA2B, CEACAM8, LILRA3, HLA-DQB1	39	785	20163	6.585987261146496	0.0026487767790424055	2.411159668894404E-4	2.1268744677583828E-4
GOTERM_CC_ALL	GO:0031982~vesicle	21	50.0	1.3651737296400933E-5	MS4A3, SIGLEC14, CLEC12A, ARG1, ITGB3, CRISP3, ITGA2B, HP, RNASE3, OLFM4, MMP8, LILRA3, KRT73, JCHAIN, CLEC4C, VNN1, TUBB2A, IGKC, LCN2, CEACAM8, HLA-DQB1	39	4177	20163	2.599233899928178	0.003121387489416372	2.54432400272632E-4	2.2443382032782383E-4
GOTERM_CC_ALL	GO:0012506~vesicle membrane	10	23.809523809523807	1.444376071416688E-5	CLEC4C, MS4A3, SIGLEC14, VNN1, CLEC12A, ITGB3, ITGA2B, CEACAM8, LILRA3, HLA-DQB1	39	807	20163	6.406443618339528	0.0033021808592271773	2.54432400272632E-4	2.2443382032782383E-4
GOTERM_BP_ALL	GO:0002682~regulation of immune system process	13	30.952380952380953	1.5561737693619493E-5	RSAD2, ARG1, TMEM176A, ALOX15, CLEC12B, ITGA2B, C4BPA, MMP8, VNN1, IGKC, OAS3, IFIT1B, HLA-DQB1	37	1555	19157	4.328513078995394	0.019737357914361042	0.001991902424783295	0.001937436342855627
GOTERM_CC_ALL	GO:0034774~secretory granule lumen	7	16.666666666666664	2.8412805821821212E-5	ARG1, CRISP3, HP, LCN2, RNASE3, OLFM4, MMP8	39	322	20163	11.23913043478261	0.006485502721458647	4.6475232379978985E-4	4.099561982862775E-4
GOTERM_CC_ALL	GO:0060205~cytoplasmic vesicle lumen	7	16.666666666666664	3.9152586252847944E-5	ARG1, CRISP3, HP, LCN2, RNASE3, OLFM4, MMP8	39	341	20163	10.612903225806452	0.008926042006541568	5.695984379686474E-4	5.024405435356627E-4
GOTERM_CC_ALL	GO:0031983~vesicle lumen	7	16.666666666666664	3.9797270775102E-5	ARG1, CRISP3, HP, LCN2, RNASE3, OLFM4, MMP8	39	342	20163	10.58187134502924	0.009072351961188274	5.695984379686474E-4	5.024405435356627E-4
GOTERM_CC_ALL	GO:0005615~extracellular space	14	33.33333333333333	5.25248152535843E-5	ARG1, CRISP3, ITGA2B, HP, C4BPA, RNASE3, OLFM4, MMP8, JCHAIN, IGKC, OAS3, LCN2, UTS2, CEACAM8	39	2037	20163	3.553264604810997	0.011956445390587045	7.075401584159297E-4	6.241183930131782E-4
GOTERM_BP_ALL	GO:0002250~adaptive immune response	9	21.428571428571427	7.108617747707112E-5	CLEC4C, RSAD2, IGKC, ARG1, ALOX15, C4BPA, LILRA3, JCHAIN, HLA-DQB1	37	767	19157	6.075372634694668	0.08704129562418661	0.00827184610642282	0.008045662814450322
GOTERM_BP_ALL	GO:0044419~interspecies interaction between organisms	9	21.428571428571427	1.0586602948492555E-4	CLEC4C, GYPA, RSAD2, ARG1, ITGB3, OAS3, IFIT1B, IFI44, IFI44L	37	812	19157	5.738683264545334	0.12682698884030563	0.010603544780921226	0.01031360410331791
GOTERM_BP_ALL	GO:0009617~response to bacterium	9	21.428571428571427	1.0769225168123119E-4	IGKC, ARG1, OAS3, HP, LCN2, IFI44, C4BPA, RNASE3, JCHAIN	37	814	19157	5.724583305664387	0.12886751176853162	0.010603544780921226	0.01031360410331791
GOTERM_BP_ALL	GO:0051704~multi-organism process	15	35.714285714285715	1.1947571168096152E-4	GYPA, RSAD2, ARG1, ITGB3, HP, IFI44, C4BPA, RNASE3, IFI44L, JCHAIN, CLEC4C, IGKC, OAS3, IFIT1B, LCN2	37	2563	19157	3.0301800044289315	0.14191964512076338	0.010923493639402197	0.010624804360199793
GOTERM_CC_ALL	GO:1904724~tertiary granule lumen	4	9.523809523809524	1.5141869963822778E-4	CRISP3, HP, OLFM4, MMP8	39	55	20163	37.599999999999994	0.03408313320849288	0.0019263823453974534	0.0016992542959401117
